sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
1,12_C_65_17,ATP_C_65_Amalladinne,Peddapappur,,,,,,
2,12_C_65_17,ATP_C_65_Amalladinne,Chagallu,,,,,,
3,12_C_65_17,ATP_C_65_Amalladinne,Tabjula,,,,,,
4,12_C_65_17,ATP_C_65_Amalladinne,Mutchukota,,,,,,
5,12_C_65_17,ATP_C_65_Amalladinne,Amaladinne,,,,,,
6,12_C_65_17,ATP_C_65_Amalladinne,Surepalli,,,,,,
7,12_C_65_17,ATP_C_65_Amalladinne,Arakatavemula,,,,,,
8,12_C_65_17,ATP_C_65_Amalladinne,Komatikuntla,,,,,,
9,12_C_65_17,ATP_C_65_Amalladinne,Cherlopalli,,,,,,
10,12_C_65_17,ATP_C_65_Amalladinne,Kadavakallu,,,,,,
11,12_C_65_17,ATP_C_65_Amalladinne,Dosaledu,,,,,,
12,12_C_65_17,ATP_C_65_Amalladinne,Chalivemula,,,,,,
13,12_C_65_17,ATP_C_65_Amalladinne,Chintakunta,,,,,,
14,12_C_65_17,ATP_C_65_Amalladinne,Ullikallu,,,,,,
15,12_C_65_17,ATP_C_65_Amalladinne,Komali,,,,,,
16,12_C_65_17,ATP_C_65_Amalladinne,Chinnapolamada,,,,,,
17,12_C_65_17,ATP_C_65_Amalladinne,Peddapolamada,,,,,,
18,12_C_65_17,ATP_C_65_Amalladinne,Nandalapadu,,,,,,
19,12_D_46_03,ATP_C_46_Chadam,Dodagatta,0,0,1,41,,
20,12_D_46_03,ATP_C_46_Chadam,Hullikal,0,0,1,17,,
21,12_D_46_03,ATP_C_46_Chadam,Mechiri,0,0,2,1,,
22,12_D_46_03,ATP_C_46_Chadam,Mallapuram,0,0,2,10,0,0
23,12_D_46_03,ATP_C_46_Chadam,Chadam,0,0,1,8,,
