S.No,Watershed code,Watershed Name,Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
1,12_C_65_17,ATP_C_65_Amalladinne,Peddapappur,,,,,,,,,,,1,,2,,3,,23,,20,,,,,,,,,,,
2,12_C_65_17,ATP_C_65_Amalladinne,Chagallu,,,,,,,,,,,2,,1,,5,,20,,25,,,,,,,,,,,
3,12_C_65_17,ATP_C_65_Amalladinne,Tabjula,,,,,,,,,,,1,,1,,5,,2,,14,,,,,,,,,,,
4,12_C_65_17,ATP_C_65_Amalladinne,Mutchukota,,,,,,,,,,,1,,5,,2,,13,,15,,,,,,,,,,,
5,12_C_65_17,ATP_C_65_Amalladinne,Amaladinne,,,,,,,,,,,1,,3,,5,,22,,15,,,,,,,,,,,
6,12_C_65_17,ATP_C_65_Amalladinne,Surepalli,,,,,,,,,,,2,,0,,4,,21,,,,,,,,,,,,,
7,12_C_65_17,ATP_C_65_Amalladinne,Arakatavemula,,,,,,,,,,,4,,5,,2,,36,,24,,,,,,,,,,,
8,12_C_65_17,ATP_C_65_Amalladinne,Komatikuntla,,,,,,,,,,,4,,0,,2,,42,,21,,,,,,,,,,,
9,12_C_65_17,ATP_C_65_Amalladinne,Cherlopalli,,,,,,,,,,,4,,0,,3,,5,,1,,,,,,,,,,,
10,12_C_65_17,ATP_C_65_Amalladinne,Kadavakallu,,,,,,,,,,,3,,0,,0,,30,,0,,,,,,,,,,,
11,12_C_65_17,ATP_C_65_Amalladinne,Dosaledu,,,,,,,,,,,1,,0,,0,,0,,0,,,,,,,,,,,
12,12_C_65_17,ATP_C_65_Amalladinne,Chalivemula,,,,,,,,,,,2,,2,,6,,14,,15,,,,,,,,,,,
13,12_C_65_17,ATP_C_65_Amalladinne,Chintakunta,,,,,,,,,,,2,,2,,1,,4,,14,,,,,,,,,,,
14,12_C_65_17,ATP_C_65_Amalladinne,Ullikallu,,,,,,,,,,,2,,1,,1,,2,,12,,,,,,,,,,,
15,12_C_65_17,ATP_C_65_Amalladinne,Komali,,,,,,,,,,,1,,2,,8,,7,,14,,,,,,,,,,,
16,12_C_65_17,ATP_C_65_Amalladinne,Chinnapolamada,,,,,,,,,,,1,,1,,3,,1,,1,,,,,,,,,,,
17,12_C_65_17,ATP_C_65_Amalladinne,Peddapolamada,,,,,,,,,,,1,,0,,0,,2,,15,,,,,,,,,,,
18,12_C_65_17,ATP_C_65_Amalladinne,Nandalapadu,,,,,,,,,,,1,,0,,1,,1,,1,,,,,,,,,,,
19,12_D_46_03,ATP_C_46_Chadam,Dodagatta,,0.2,,0.1,0,0.1,,0.01,,0.01,2,0.2,2,0.1,0,,12,0.01,10,0.01,,,,,,,,,,
20,12_D_46_03,ATP_C_46_Chadam,Hullikal,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,2,0.1,3,0.6,5,0.01,5,0.01,1,10,1,0.5,6,0.6,3,0.3,10,1
21,12_D_46_03,ATP_C_46_Chadam,Mechiri,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,2,0.1,6,,7,0.01,8,0.01,,,,,,,,,,
22,12_D_46_03,ATP_C_46_Chadam,Mallapuram,,0.2,,0.1,0,0.1,,0.01,,0.01,2,0.2,3,0.1,4,,1,0.01,12,0.01,,,,,,,,,,
23,12_D_46_03,ATP_C_46_Chadam,Chadam,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,0,0.1,7,,1,0.01,15,0.01,,,,,,,,,,
24,12_D_46_03,ATP_C_46_Chadam,Bondanakal,,0.2,,0.1,0,0.1,,0.01,,0.01,0,0.2,0,0.1,3,,2,0.01,20,0.01,,,,,,,,,,
25,12_D_46_03,ATP_C_46_Chadam,Elangi,2,0.2,2,0.1,0,0.1,1,0.01,15,0.01,0,0.2,0,0.1,0,,0,0.01,0,0.01,,,,,,,,,,
26,12_D_46_01,ATP_D_46_D.Hirehal,Malapanagudi,2,16,2,1,1,1.3,12,3,10,1,0,0,2,0,1,0,2,0,15,0,,,,,,,,,,
27,12_D_46_01,ATP_D_46_D.Hirehal,H.Siddapuram,0,0,0,0,0,0,2,0.8,4,0.4,2,10,1,0.5,0,0.6,4,0.3,15,1,,,,,,,,,,
28,12_D_46_01,ATP_D_46_D.Hirehal,Obulapuram,0,0,0,0,0,0,3,1.2,5,0.5,1,0,1,0,2,0,6,0,16,0,,,,,,,,,,
29,12_D_46_01,ATP_D_46_D.Hirehal,D.Hirehal,0,0,0,0,0,0,1,0.4,6,0.6,2,0,0,0,2,0,8,0,19,0,,,,,,,,,,
30,12_D_46_01,ATP_D_46_D.Hirehal,H.Hosahalli,0,0,0,0,0,0,2,0.8,4,0.4,1,0,1,0,2,0,5,0,6,0,,,,,,,,,,
31,12_D_46_01,ATP_D_46_D.Hirehal,Lakshmipuram,0,0,0,0,0,0,1,0.4,6,0.6,2,0,2,0,3,0,6,0,10,0,,,,,,,,,,
32,12_D_46_01,ATP_D_46_D.Hirehal,Madanahalli,0,0,0,0,0,0,3,1.2,3,0.3,2,0,0,0,1,0,2,0,3,0,,,,,,,,,,
33,12_D_46_01,ATP_D_46_D.Hirehal,Lingamanhalli,0,0,0,0,0,0,2,0.8,5,0.5,1,0,2,0,0,0,12,0,15,0,,,,,,,,,,
34,12_D_46_01,ATP_D_46_D.Hirehal,Jajrakal,0,0,0,0,0,0,2,0.8,6,0.6,2,0,2,0,0,0,25,0,15,0,,,,,,,,,,
35,12_D_46_01,ATP_D_46_D.Hirehal,Hirdehal,0,0,0,0,0,0,1,0.4,5,0.5,1,0,2,0,4,0,15,0,20,0,,,,,,,,,,
36,12_D_46_01,ATP_D_46_D.Hirehal,Pulakurthi,0,0,3,0,4,5.2,29,0.8,4,0.4,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
37,12_D_46_01,ATP_D_46_D.Hirehal,Nagalapuram,0,0,0,0,0,0,8,0.4,5,0.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
38,12_D_46_01,ATP_D_46_D.Hirehal,Somalapuram,0,0,0,0,0,0,2,0.8,6,0.6,1,0,2,0,3,0,31,0,10,0,,,,,,,,,,
39,12_D_46_01,ATP_D_46_D.Hirehal,Kuruvalli,0,0,0,0,0,0,3,0.4,4,0.4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
40,12_D_46_01,ATP_D_46_D.Hirehal,Siddarampuram,0,0,0,0,0,0,1,0.4,5,0.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
41,12_D_46_01,ATP_D_46_D.Hirehal,Haresamudram,0,0,0,0,0,0,2,0.8,6,0.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
42,12_D_46_01,ATP_D_46_D.Hirehal,Bommanahal,0,0,0,0,0,0,1,0.4,5,0.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
43,12_D_46_01,ATP_D_46_D.Hirehal,Nemakallu,0,0,0,0,0,0,2,0.8,6,0.6,0,0,1,0,2,0,3,0,20,,,,,,,,,,,
44,12_D_46_01,ATP_D_46_D.Hirehal,Unthakallu,0,0,0,0,0,0,1,0.4,7,0.7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
45,12_D_46_01,ATP_D_46_D.Hirehal,Uddehal,0,0,0,0,0,0,3,0.8,4,0.4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
46,12_D_46_01,ATP_D_46_D.Hirehal,Bandur,0,0,0,0,0,0,1,0.4,5,0.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
47,12_D_46_01,ATP_D_46_Donekal,Donekal,2,0.2,2,0.1,0,0.1,0,0.01,0,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
48,12_D_46_01,ATP_D_46_Donekal,Kadadarabenchi,,0.2,,0.1,0,0.1,0,0.01,,0.01,2,0.2,1,0.1,0,0.1,3,0.01,10,0.01,1,10,1,0.5,6,0.6,3,0.3,10,1
49,12_D_46_01,ATP_D_46_Donekal,Gadekal,,0.2,,0.1,0,0.1,0,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
50,12_D_46_01,ATP_D_46_Donekal,N.Thimmapuram,,0.2,,0.1,0,0.1,0,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
51,12_D_46_01,ATP_D_46_Donekal,Velpumadugu,,0.2,,0.1,0,0.1,0,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
52,12_D_46_01,ATP_D_46_Donekal,Chabala,,0.2,,0.1,0,0.1,0,0.01,,0.01,4,0.2,2,0.1,3,0.1,30,0.01,25,0.01,,,,,,,,,,
53,12_D_46_01,ATP_D_46_Donekal,Konakondla,,0.2,,0.1,5,0.1,0,0.01,,0.01,2,0.2,2,0.1,4,0.1,30,0.01,30,0.01,,,,,,,,,,
54,12_D_46_01,ATP_D_46_Donekal,Gulyapalem,,0.2,,0.1,0,0.1,0,0.01,,0.01,2,0.2,1,0.1,0,0.1,10,0.01,11,0.01,,,,,,,,,,
55,12_D_46_01,ATP_D_46_Donekal,Pottipadu,,0.2,,0.1,0,0.1,0,0.01,,0.01,0,0.2,0,0.1,0,0.1,0,0.01,0,0.01,,,,,,,,,,
56,12_D_46_01,ATP_D_46_Donekal,Gadehothur,,0.2,,0.1,0,0.1,0,0.01,,0.01,0,0,0,0.1,0,0.1,0,0.01,0,0.01,,,,,,,,,,
57,12_D_46_01,ATP_D_46_Donekal,Chinnahothur,,0.2,,0.1,0,0.1,0,0.01,,0.01,0,0.2,0,0.1,0,0.1,0,0.01,0,0.01,,,,,,,,,,
58,12_D_46_01,ATP_D_46_Donekal,Anchanahal,,0.2,,0.1,0,0.1,0,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
59,12_D_46_01,ATP_D_46_Donekal,Poliki,,0.2,,0.1,0,0.1,0,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
60,12_D_46_10,ATP_D_46_Kanekal,Brahmasamudram,2,0.2,2,0.1,0,0.1,12,0.01,10,0.01,0,0.2,0,0.1,0,0.1,1,0.01,2,0.01,,,,,,,,,,
61,12_D_46_10,ATP_D_46_Kanekal,Bennikal,0,0.2,0,0.1,0,0.1,0,0.01,3,0.01,1,0.2,1,0.1,1,0.1,3,0.01,10,0.01,,,,,,,,,,
62,12_D_46_10,ATP_D_46_Kanekal,Udegolam,0,0.2,0,0.1,0,0.1,0,0.01,2,0.01,0,0.2,0,0.1,0,0.1,2,0.01,1,0.01,,,,,,,,,,
63,12_D_46_10,ATP_D_46_Kanekal,Kanekal,0,0.2,0,0.1,1,0.1,1,0.01,2,0.01,0,0.2,0,0.1,0,0.1,2,0.01,2,0.01,,,,,,,,,,
64,12_D_46_10,ATP_D_46_Kanekal,Hulikera,0,0.2,0,0.1,0,0.1,0,0.01,3,0.01,1,0.2,2,0.1,1,0.1,15,0.01,12,0.01,,,,,,,,,,
65,12_D_46_10,ATP_D_46_Kanekal,D. Kondapuram,0,0.2,8,0.1,5,0.1,105,0.01,4,0.01,2,0.2,1,0.1,1,0.1,3,0.01,12,0.01,,,,,,,,,,
66,12_D_46_10,ATP_D_46_Kanekal,Vadrahonnur,2,0.2,0,0.1,5,0.1,12,0.01,3,0.01,1,0.2,2,0.1,0,0.1,3,0.01,10,0.01,,,,,,,,,,
67,12_D_46_10,ATP_D_46_Kanekal,Gramadatla,3,0.2,6,0.1,0,0.1,6,0.01,2,0.01,1,0.2,0,0.1,3,0.1,2,0.01,10,0.01,,,,,,,,,,
68,12_C_65_03,ATP_C_65_Ubicherla,G.Anantapur,0,0.2,0,0.1,0,0.1,0,0.01,0,0.01,1,0.2,3,0.1,12,0.1,33,0.01,10,0.01,,,,,,,,,,
69,12_C_65_03,ATP_C_65_Ubicherla,Virupapuram,,0.2,,0.1,0,0.1,,0.01,,0.01,2,0.2,2,0.1,0,0.1,29,0.01,15,0.01,0,0,0,0,0,0,0,0,0,0
