Sr.no,,,Village name,T.Area (ha),Watershed command area,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,12_C_65_17,ATP_C_65_Amalladinne,Peddapappur,819,0,0,0,0,819,0,0,819,0,0,0,0
2,12_C_65_17,ATP_C_65_Amalladinne,Chagallu,1775,0,0,0,0,1775,0,0,1775,0,0,0,0
3,12_C_65_17,ATP_C_65_Amalladinne,Tabjula,826,0,0,0,0,443,383,383,826,0,0,0,0
4,12_C_65_17,ATP_C_65_Amalladinne,Mutchukota,5685,0,0,0,0,3924,1761,1761,5685,0,0,0,0
5,12_C_65_17,ATP_C_65_Amalladinne,Amaladinne,1675,0,0,0,0,1675,0,0,1675,0,0,0,0
6,12_C_65_17,ATP_C_65_Amalladinne,Surepalli,1453,1336,117,117,1453,0,0,0,0,,,0,0
7,12_C_65_17,ATP_C_65_Amalladinne,Arakatavemula,764,0,0,0,0,764,0,0,764,0,,0,0
8,12_C_65_17,ATP_C_65_Amalladinne,Komatikuntla,131,0,0,0,0,131,0,0,131,0,,0,0
9,12_C_65_17,ATP_C_65_Amalladinne,Cherlopalli,3598,3034,564,564,3598,0,0,0,0,,,0,0
10,12_C_65_17,ATP_C_65_Amalladinne,Kadavakallu,2822,1590,1232,1232,2822,0,0,0,0,,,0,0
11,12_C_65_17,ATP_C_65_Amalladinne,Dosaledu,2005,441,1564,1564,2005,0,0,0,0,,,0,0
12,12_C_65_17,ATP_C_65_Amalladinne,Chalivemula,1665,0,0,0,0,1665,0,0,1665,0,0,0,0
13,12_C_65_17,ATP_C_65_Amalladinne,Chintakunta,431,0,0,0,0,431,0,0,431,0,0,0,0
14,12_C_65_17,ATP_C_65_Amalladinne,Ullikallu,899,0,0,0,0,899,0,0,899,0,0,0,0
15,12_C_65_17,ATP_C_65_Amalladinne,Komali,836,0,0,0,0,836,0,0,836,0,0,0,0
16,12_C_65_17,ATP_C_65_Amalladinne,Chinnapolamada,1989,0,0,0,0,1989,0,0,1989,0,0,0,0
17,12_C_65_17,ATP_C_65_Amalladinne,Peddapolamada,2392,0,0,0,0,2392,0,0,2392,0,0,0,0
18,12_C_65_17,ATP_C_65_Amalladinne,Nandalapadu,1141,0,0,0,0,1141,0,0,1141,0,0,0,0
19,12_D_46_03,ATP_C_46_Chadam,Dodagatta,1386,0,0,0,0,1386,0,0,1386,0,,,
20,12_D_46_03,ATP_C_46_Chadam,Hullikal,1694,0,0,0,0,1662,32,0,1694,0,,,
21,12_D_46_03,ATP_C_46_Chadam,Mechiri,886,0,0,0,0,877,9,0,886,0,,,
22,12_D_46_03,ATP_C_46_Chadam,Mallapuram,3066,0,0,0,0,2237,829,0,3066,0,,,
23,12_D_46_03,ATP_C_46_Chadam,Chadam,825,0,0,0,0,825,0,0,825,0,,,
24,12_D_46_03,ATP_C_46_Chadam,Bondanakal,2458,0,0,0,0,1459,999,0,2458,0,,,
25,12_D_46_03,ATP_C_46_Chadam,Elangi,2176,2176,0,0,2176,0,0,0,0,0,,,
26,12_D_46_01,ATP_D_46_D.Hirehal,Malapanagudi,1793,0,0,0,0,760,1033,0,1793,0,,,
27,12_D_46_01,ATP_D_46_D.Hirehal,H.Siddapuram,2352,0,0,0,0,530,1822,0,2352,0,,,
28,12_D_46_01,ATP_D_46_D.Hirehal,Obulapuram,2525,0,0,0,0,1473,1052,0,2525,0,,,
