Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,
1,12_C_65_17,ATP_C_65_Amalladinne,13,Peddapappur,0,34629,34629,1904595,,
2,12_C_65_17,ATP_C_65_Amalladinne,14,Chagallu,0,2283,2283,125565,,
3,12_C_65_17,ATP_C_65_Amalladinne,15,Tabjula,0,1809,1809,99495,,
4,12_C_65_17,ATP_C_65_Amalladinne,16,Mutchukota,0,4862,4862,267410,,
5,12_C_65_17,ATP_C_65_Amalladinne,17,Amaladinne,0,2357,2357,129635,,
6,12_C_65_17,ATP_C_65_Amalladinne,1,Surepalli,1711,0,1711,94105,,
7,12_C_65_17,ATP_C_65_Amalladinne,2,Arakatavemula,0,2034,2034,111870,,
8,12_C_65_17,ATP_C_65_Amalladinne,8,Komatikuntla,0,1829,1829,100595,,
9,12_C_65_17,ATP_C_65_Amalladinne,9,Cherlopalli,3334,0,3334,183370,,
10,12_C_65_17,ATP_C_65_Amalladinne,10,Kadavakallu,4040,0,4040,222200,,
11,12_C_65_17,ATP_C_65_Amalladinne,11,Dosaledu,1683,0,1683,92565,,
12,12_C_65_17,ATP_C_65_Amalladinne,15,Chalivemula,0,1247,1247,68585,,
13,12_C_65_17,ATP_C_65_Amalladinne,3,Chintakunta,0,863,863,47465,,
14,12_C_65_17,ATP_C_65_Amalladinne,6,Ullikallu,0,2005,2005,110275,,
15,12_C_65_17,ATP_C_65_Amalladinne,15,Komali,0,837,837,46035,,
16,12_C_65_17,ATP_C_65_Amalladinne,21,Chinnapolamada,0,4181,4181,229955,,
17,12_C_65_17,ATP_C_65_Amalladinne,22,Peddapolamada,0,5802,5802,319110,,
18,12_C_65_17,ATP_C_65_Amalladinne,23,Nandalapadu,0,847,847,46585,,
19,12_D_46_03,ATP_C_46_Chadam,15,Dodagatta,0,1145,1145,62975,,
20,12_D_46_03,ATP_C_46_Chadam,17,Hullikal,0,2120,2120,116600,,
21,12_D_46_03,ATP_C_46_Chadam,1,Mechiri,0,1946,1946,107030,,
22,12_D_46_03,ATP_C_46_Chadam,2,Mallapuram,0,3720,3720,204600,,
23,12_D_46_03,ATP_C_46_Chadam,3,Chadam,0,3417,3417,187935,,
24,12_D_46_03,ATP_C_46_Chadam,4,Bondanakal,0,2454,2454,134970,,
25,12_D_46_03,ATP_C_46_Chadam,16,Elangi,1489,0,1489,81895,,
26,12_D_46_01,ATP_D_46_D.Hirehal,1,Malapanagudi,0,970,970,53350,,
27,12_D_46_01,ATP_D_46_D.Hirehal,2,H.Siddapuram,0,1758,1758,96690,,
28,12_D_46_01,ATP_D_46_D.Hirehal,3,Obulapuram,0,3541,3541,194755,,
29,12_D_46_01,ATP_D_46_D.Hirehal,4,D.Hirehal,0,8996,8996,494780,,
30,12_D_46_01,ATP_D_46_D.Hirehal,5,H.Hosahalli,0,4,4,220,,
31,12_D_46_01,ATP_D_46_D.Hirehal,6,Lakshmipuram,0,158,158,8690,,
32,12_D_46_01,ATP_D_46_D.Hirehal,7,Madanahalli,0,1393,1393,76615,,
33,12_D_46_01,ATP_D_46_D.Hirehal,8,Lingamanhalli,0,872,872,47960,,
34,12_D_46_01,ATP_D_46_D.Hirehal,9,Jajrakal,0,960,960,52800,,
35,12_D_46_01,ATP_D_46_D.Hirehal,10,Hirdehal,0,912,912,50160,,
36,12_D_46_01,ATP_D_46_D.Hirehal,11,Pulakurthi,32,5102,5134,282370,,
