,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
1,12_C_65_17,ATP_C_65_Amalladinne,Peddapappur,,,,26,,,26
2,12_C_65_17,ATP_C_65_Amalladinne,Chagallu,,,,2,,,2
3,12_C_65_17,ATP_C_65_Amalladinne,Tabjula,,,,,,,0
4,12_C_65_17,ATP_C_65_Amalladinne,Mutchukota,,,,9,,,9
5,12_C_65_17,ATP_C_65_Amalladinne,Amaladinne,,,,6,,,6
6,12_C_65_17,ATP_C_65_Amalladinne,Surepalli,,2,,,,,2
7,12_C_65_17,ATP_C_65_Amalladinne,Arakatavemula,,,,3,,,3
8,12_C_65_17,ATP_C_65_Amalladinne,Komatikuntla,,,,8,,,8
9,12_C_65_17,ATP_C_65_Amalladinne,Cherlopalli,,9,,,,,9
10,12_C_65_17,ATP_C_65_Amalladinne,Kadavakallu,,2,,,,,2
11,12_C_65_17,ATP_C_65_Amalladinne,Dosaledu,,3,,,,,3
12,12_C_65_17,ATP_C_65_Amalladinne,Chalivemula,,,,3,,,3
13,12_C_65_17,ATP_C_65_Amalladinne,Chintakunta,,,,9,,,9
14,12_C_65_17,ATP_C_65_Amalladinne,Ullikallu,,,,0,,,0
15,12_C_65_17,ATP_C_65_Amalladinne,Komali,,,,1,,,1
16,12_C_65_17,ATP_C_65_Amalladinne,Chinnapolamada,,,,7,,,7
17,12_C_65_17,ATP_C_65_Amalladinne,Peddapolamada,,,,23,,,23
18,12_C_65_17,ATP_C_65_Amalladinne,Nandalapadu,,,,15,,,15
19,12_D_46_03,ATP_C_46_Chadam,Dodagatta,0,0,,7,,,7
20,12_D_46_03,ATP_C_46_Chadam,Hullikal,0,0,,5,,,5
21,12_D_46_03,ATP_C_46_Chadam,Mechiri,0,0,,4,,,4
22,12_D_46_03,ATP_C_46_Chadam,Mallapuram,0,0,,9,,,9
23,12_D_46_03,ATP_C_46_Chadam,Chadam,0,0,,0,,,0
24,12_D_46_03,ATP_C_46_Chadam,Bondanakal,0,0,,2,,,2
25,12_D_46_03,ATP_C_46_Chadam,Elangi,3,1,,7,,,11
26,12_D_46_01,ATP_D_46_D.Hirehal,Malapanagudi,0,0,8,2,,,10
27,12_D_46_01,ATP_D_46_D.Hirehal,H.Siddapuram,0,0,8,13,,,21
28,12_D_46_01,ATP_D_46_D.Hirehal,Obulapuram,0,0,6,3,,,9
29,12_D_46_01,ATP_D_46_D.Hirehal,D.Hirehal,0,0,18,7,,,25
30,12_D_46_01,ATP_D_46_D.Hirehal,H.Hosahalli,0,0,1,1,,,2
31,12_D_46_01,ATP_D_46_D.Hirehal,Lakshmipuram,0,0,2,6,,,8
32,12_D_46_01,ATP_D_46_D.Hirehal,Madanahalli,0,0,3,1,,,4
33,12_D_46_01,ATP_D_46_D.Hirehal,Lingamanhalli,0,0,0,2,,,2
34,12_D_46_01,ATP_D_46_D.Hirehal,Jajrakal,0,0,3,1,,,4
35,12_D_46_01,ATP_D_46_D.Hirehal,Hirdehal,0,0,6,8,,,14
36,12_D_46_01,ATP_D_46_D.Hirehal,Pulakurthi,6,10,0,0,,,16
37,12_D_46_01,ATP_D_46_D.Hirehal,Nagalapuram,3,6,0,0,,,9
38,12_D_46_01,ATP_D_46_D.Hirehal,Somalapuram,0,0,3,7,,,10
39,12_D_46_01,ATP_D_46_D.Hirehal,Kuruvalli,0,11,0,0,,,11
40,12_D_46_01,ATP_D_46_D.Hirehal,Siddarampuram,13,4,0,0,,,17
41,12_D_46_01,ATP_D_46_D.Hirehal,Haresamudram,2,1,0,0,,,3
42,12_D_46_01,ATP_D_46_D.Hirehal,Bommanahal,5,19,0,0,,,24
43,12_D_46_01,ATP_D_46_D.Hirehal,Nemakallu,0,0,10,5,,,15
44,12_D_46_01,ATP_D_46_D.Hirehal,Unthakallu,5,7,0,0,,,12
45,12_D_46_01,ATP_D_46_D.Hirehal,Uddehal,5,14,0,0,,,19
46,12_D_46_01,ATP_D_46_D.Hirehal,Bandur,4,20,0,0,,,24
47,12_D_46_01,ATP_D_46_Donekal,Donekal,15,1,0,1,,,17
48,12_D_46_01,ATP_D_46_Donekal,Kadadarabenchi,5,1,0,1,,,7
49,12_D_46_01,ATP_D_46_Donekal,Gadekal,14,1,0,1,,,16
50,12_D_46_01,ATP_D_46_Donekal,N.Thimmapuram,8,1,0,1,,,10
51,12_D_46_01,ATP_D_46_Donekal,Velpumadugu,15,1,0,1,,,17
52,12_D_46_01,ATP_D_46_Donekal,Chabala,0,0,11,0,,,11
53,12_D_46_01,ATP_D_46_Donekal,Konakondla,,,0,1,,,1
54,12_D_46_01,ATP_D_46_Donekal,Gulyapalem,0,0,7,0,,,7
55,12_D_46_01,ATP_D_46_Donekal,Pottipadu,0,0,19,0,,,19
56,12_D_46_01,ATP_D_46_Donekal,Gadehothur,0,0,0,0,,,0
57,12_D_46_01,ATP_D_46_Donekal,Chinnahothur,0,0,10,0,,,10
