,,,,CA,NCA,PQA,,,,,,,,,,,,,,,
,,,,Industrial,Industrial,Industrial,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total,,,,,,,,,,,,,,
1,12_C_65_17,ATP_C_65_Amalladinne,Peddapappur,,,,0,,,,,,,,,,,,,,
2,12_C_65_17,ATP_C_65_Amalladinne,Chagallu,,,,0,,,,,,,,,,,,,,
3,12_C_65_17,ATP_C_65_Amalladinne,Tabjula,,,,0,,,,,,,,,,,,,,
4,12_C_65_17,ATP_C_65_Amalladinne,Mutchukota,,,,0,,,,,,,,,,,,,,
5,12_C_65_17,ATP_C_65_Amalladinne,Amaladinne,,,,0,,,,,,,,,,,,,,
6,12_C_65_17,ATP_C_65_Amalladinne,Surepalli,,,,0,,,,,,,,,,,,,,
7,12_C_65_17,ATP_C_65_Amalladinne,Arakatavemula,,,,0,,,,,,,,,,,,,,
8,12_C_65_17,ATP_C_65_Amalladinne,Komatikuntla,,,,0,,,,,,,,,,,,,,
9,12_C_65_17,ATP_C_65_Amalladinne,Cherlopalli,,,,0,,,,,,,,,,,,,,
10,12_C_65_17,ATP_C_65_Amalladinne,Kadavakallu,,,,0,,,,,,,,,,,,,,
11,12_C_65_17,ATP_C_65_Amalladinne,Dosaledu,,,,0,,,,,,,,,,,,,,
12,12_C_65_17,ATP_C_65_Amalladinne,Chalivemula,,,,0,,,,,,,,,,,,,,
13,12_C_65_17,ATP_C_65_Amalladinne,Chintakunta,,,,0,,,,,,,,,,,,,,
14,12_C_65_17,ATP_C_65_Amalladinne,Ullikallu,,,,0,,,,,,,,,,,,,,
15,12_C_65_17,ATP_C_65_Amalladinne,Komali,,,,0,,,,,,,,,,,,,,
16,12_C_65_17,ATP_C_65_Amalladinne,Chinnapolamada,,,,0,,,,,,,,,,,,,,
17,12_C_65_17,ATP_C_65_Amalladinne,Peddapolamada,,,,0,,,,,,,,,,,,,,
18,12_C_65_17,ATP_C_65_Amalladinne,Nandalapadu,,15,,15,,,,,,,,,,,,,,
19,12_D_46_03,ATP_C_46_Chadam,Dodagatta,0,0,,0,,,,,,,,,,,,,,
20,12_D_46_03,ATP_C_46_Chadam,Hullikal,0,0,,0,,,,,,,,,,,,,,
21,12_D_46_03,ATP_C_46_Chadam,Mechiri,0,0,,0,,,,,,,,,,,,,,
22,12_D_46_03,ATP_C_46_Chadam,Mallapuram,0,0,,0,,,,,,,,,,,,,,
23,12_D_46_03,ATP_C_46_Chadam,Chadam,0,0,,0,,,,,,,,,,,,,,
24,12_D_46_03,ATP_C_46_Chadam,Bondanakal,0,0,,0,,,,,,,,,,,,,,
25,12_D_46_03,ATP_C_46_Chadam,Elangi,0,0,,0,,,,,,,,,,,,,,
26,12_D_46_01,ATP_D_46_D.Hirehal,Malapanagudi,,,,0,,,,,,,,,,,,,,
27,12_D_46_01,ATP_D_46_D.Hirehal,H.Siddapuram,,2,,2,,,,,,,,,,,,,,
28,12_D_46_01,ATP_D_46_D.Hirehal,Obulapuram,,25,,25,,,,,,,,,,,,,,
29,12_D_46_01,ATP_D_46_D.Hirehal,D.Hirehal,,28,,28,,,,,,,,,,,,,,
30,12_D_46_01,ATP_D_46_D.Hirehal,H.Hosahalli,,,,0,,,,,,,,,,,,,,
31,12_D_46_01,ATP_D_46_D.Hirehal,Lakshmipuram,,,,0,,,,,,,,,,,,,,
32,12_D_46_01,ATP_D_46_D.Hirehal,Madanahalli,,,,0,,,,,,,,,,,,,,
33,12_D_46_01,ATP_D_46_D.Hirehal,Lingamanhalli,,,,0,,,,,,,,,,,,,,
34,12_D_46_01,ATP_D_46_D.Hirehal,Jajrakal,,,,0,,,,,,,,,,,,,,
35,12_D_46_01,ATP_D_46_D.Hirehal,Hirdehal,,2,,2,,,,,,,,,,,,,,
36,12_D_46_01,ATP_D_46_D.Hirehal,Pulakurthi,,,,0,,,,,,,,,,,,,,
37,12_D_46_01,ATP_D_46_D.Hirehal,Nagalapuram,,,,0,,,,,,,,,,,,,,
38,12_D_46_01,ATP_D_46_D.Hirehal,Somalapuram,0,,,0,,,,,,,,,,,,,,
39,12_D_46_01,ATP_D_46_D.Hirehal,Kuruvalli,,,,0,,,,,,,,,,,,,,
40,12_D_46_01,ATP_D_46_D.Hirehal,Siddarampuram,,,,0,,,,,,,,,,,,,,
