,,,,Command Area,,,,,,,,Non-Command Area,,,,,,,,Poor GW quality area,,,,,,,,,,,,,,,,,,,,,,
,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,,,,,,,,,,,,,,,
1,12_C_65_17,ATP_C_65_Amalladinne,Peddapappur,,,,,,,,0,,0,218,,,,0,218,,,,,,,,0,,,,,,,,,,,,,,,
2,12_C_65_17,ATP_C_65_Amalladinne,Chagallu,,,,,,,,0,,0,75,,,,0,75,,,,,,,,0,,,,,,,,,,,,,,,
3,12_C_65_17,ATP_C_65_Amalladinne,Tabjula,,,,,,,,0,,0,25,,,,,25,,,,,,,,0,,,,,,,,,,,,,,,
4,12_C_65_17,ATP_C_65_Amalladinne,Mutchukota,,,,,,,,0,,0,520,,,,,520,,,,,,,,0,,,,,,,,,,,,,,,
5,12_C_65_17,ATP_C_65_Amalladinne,Amaladinne,,,,,,,,0,,0,443,,,,,443,,,,,,,,0,,,,,,,,,,,,,,,
6,12_C_65_17,ATP_C_65_Amalladinne,Surepalli,,0,141,,,,,141,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
7,12_C_65_17,ATP_C_65_Amalladinne,Arakatavemula,,,,,,,,0,,0,187,,,,,187,,,,,,,,0,,,,,,,,,,,,,,,
8,12_C_65_17,ATP_C_65_Amalladinne,Komatikuntla,,,,,,,,0,,0,346,,,,,346,,,,,,,,0,,,,,,,,,,,,,,,
9,12_C_65_17,ATP_C_65_Amalladinne,Cherlopalli,,0,527,,,,,527,,0,0,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
10,12_C_65_17,ATP_C_65_Amalladinne,Kadavakallu,,0,185,,,,,185,,0,0,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
11,12_C_65_17,ATP_C_65_Amalladinne,Dosaledu,,0,383,,,,,383,,0,0,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
12,12_C_65_17,ATP_C_65_Amalladinne,Chalivemula,,,,,,,,0,,0,52,,,,,52,,,,,,,,0,,,,,,,,,,,,,,,
13,12_C_65_17,ATP_C_65_Amalladinne,Chintakunta,,,,,,,,0,,0,27,,,,,27,,,,,,,,0,,,,,,,,,,,,,,,
14,12_C_65_17,ATP_C_65_Amalladinne,Ullikallu,,,,,,,,0,,0,51,,,,0,51,,,,,,,,0,,,,,,,,,,,,,,,
15,12_C_65_17,ATP_C_65_Amalladinne,Komali,,,,,,,,0,,0,45,,,,,45,,,,,,,,0,,,,,,,,,,,,,,,
16,12_C_65_17,ATP_C_65_Amalladinne,Chinnapolamada,,,,,,,,0,,0,274,,,,0,274,,,,,,,,0,,,,,,,,,,,,,,,
17,12_C_65_17,ATP_C_65_Amalladinne,Peddapolamada,,,,,,,,0,,0,394,,,,0,394,,,,,,,,0,,,,,,,,,,,,,,,
18,12_C_65_17,ATP_C_65_Amalladinne,Nandalapadu,,,,,,,,0,,0,35,,,,0,35,,,,,,,,0,,,,,,,,,,,,,,,
19,12_D_46_03,ATP_C_46_Chadam,Dodagatta,0,0,0,0,0,0,0,0,,,98,0,,0,0,98,,,,,,,,0,,,,,,,,,,,,,,,
20,12_D_46_03,ATP_C_46_Chadam,Hullikal,0,0,0,0,0,0,0,0,,,112,0,,0,0,112,,,,,,,,0,,,,,,,,,,,,,,,
21,12_D_46_03,ATP_C_46_Chadam,Mechiri,0,0,0,0,0,0,0,0,,,179,0,,0,0,179,,,,,,,,0,,,,,,,,,,,,,,,
22,12_D_46_03,ATP_C_46_Chadam,Mallapuram,0,0,0,0,0,0,0,0,,,354,0,,0,0,354,,,,,,,,0,,,,,,,,,,,,,,,
23,12_D_46_03,ATP_C_46_Chadam,Chadam,0,0,0,0,0,0,0,0,,,68,0,,0,0,68,,,,,,,,0,,,,,,,,,,,,,,,
24,12_D_46_03,ATP_C_46_Chadam,Bondanakal,0,0,0,0,0,0,0,0,,,200,0,,0,15,215,,,,,,,,0,,,,,,,,,,,,,,,
25,12_D_46_03,ATP_C_46_Chadam,Elangi,,,,0,0,0,0,0,,,183,0,0,0,0,183,,,,,,,,0,,,,,,,,,,,,,,,
26,12_D_46_01,ATP_D_46_D.Hirehal,Malapanagudi,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42,,,,,,,,0,,,,,,,,,,,,,,,
27,12_D_46_01,ATP_D_46_D.Hirehal,H.Siddapuram,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,,,,,,,,0,,,,,,,,,,,,,,,
28,12_D_46_01,ATP_D_46_D.Hirehal,Obulapuram,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91,,,,,,,,0,,,,,,,,,,,,,,,
29,12_D_46_01,ATP_D_46_D.Hirehal,D.Hirehal,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,200,,,,,,,,0,,,,,,,,,,,,,,,
30,12_D_46_01,ATP_D_46_D.Hirehal,H.Hosahalli,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54,,,,,,,,0,,,,,,,,,,,,,,,
31,12_D_46_01,ATP_D_46_D.Hirehal,Lakshmipuram,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,,,,,,,,0,,,,,,,,,,,,,,,
32,12_D_46_01,ATP_D_46_D.Hirehal,Madanahalli,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,51,,,,,,,,0,,,,,,,,,,,,,,,
33,12_D_46_01,ATP_D_46_D.Hirehal,Lingamanhalli,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78,,,,,,,,0,,,,,,,,,,,,,,,
34,12_D_46_01,ATP_D_46_D.Hirehal,Jajrakal,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,55,,,,,,,,0,,,,,,,,,,,,,,,
35,12_D_46_01,ATP_D_46_D.Hirehal,Hirdehal,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,122,,,,,,,,0,,,,,,,,,,,,,,,
36,12_D_46_01,ATP_D_46_D.Hirehal,Pulakurthi,0,0,297,0,0,0,0,297,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
37,12_D_46_01,ATP_D_46_D.Hirehal,Nagalapuram,0,0,542,0,0,0,0,542,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
