S.No,Watershed code,Watershed Name,Village Name,Length,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor,No.of operating days of canal,,Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon,N-Monsoon,Monsoon,Non-Monsoon,( ha.m )
1,12_C_65_17,ATP_C_65_Amalladinne,Peddapappur,0,0,0,0,0,0,15,30,90,0,0,0
2,12_C_65_17,ATP_C_65_Amalladinne,Chagallu,0,0,0,0,0,0,15,30,90,0,0,0
3,12_C_65_17,ATP_C_65_Amalladinne,Tabjula,0,0,0,0,0,0,15,30,90,0,0,0
4,12_C_65_17,ATP_C_65_Amalladinne,Mutchukota,0,0,0,0,0,0,15,30,90,0,0,0
5,12_C_65_17,ATP_C_65_Amalladinne,Amaladinne,0,0,0,0,0,0,15,30,90,0,0,0
6,12_C_65_17,ATP_C_65_Amalladinne,Surepalli,250,2,5,45,8.3941125497,0.0020985281,15,30,90,0.9443376618,2.8330129855,3.7773506474
7,12_C_65_17,ATP_C_65_Amalladinne,Arakatavemula,0,0,0,0,0,0,15,30,90,0,0,0
8,12_C_65_17,ATP_C_65_Amalladinne,Komatikuntla,200,2,5,45,8.3941125497,0.0016788225,15,30,90,0.7554701295,2.2664103884,3.0218805179
9,12_C_65_17,ATP_C_65_Amalladinne,Cherlopalli,1300,2,5,45,8.3941125497,0.0109123463,15,30,90,4.9105558416,14.7316675247,19.6422233663
10,12_C_65_17,ATP_C_65_Amalladinne,Kadavakallu,250,2,5,45,8.3941125497,0.0020985281,15,30,90,0.9443376618,2.8330129855,3.7773506474
11,12_C_65_17,ATP_C_65_Amalladinne,Dosaledu,320,2,5,45,8.3941125497,0.002686116,15,30,90,1.2087522072,3.6262566215,4.8350088286
12,12_C_65_17,ATP_C_65_Amalladinne,Chalivemula,0,1,5,45,6.6970562748,0,15,30,90,0,0,0
13,12_C_65_17,ATP_C_65_Amalladinne,Chintakunta,0,1,5,45,6.6970562748,0,15,30,90,0,0,0
14,12_C_65_17,ATP_C_65_Amalladinne,Ullikallu,0,1,5,45,6.6970562748,0,15,30,90,0,0,0
15,12_C_65_17,ATP_C_65_Amalladinne,Komali,0,1,5,45,6.6970562748,0,15,30,90,0,0,0
16,12_C_65_17,ATP_C_65_Amalladinne,Chinnapolamada,0,1,5,45,6.6970562748,0,15,30,90,0,0,0
17,12_C_65_17,ATP_C_65_Amalladinne,Peddapolamada,0,1,5,45,6.6970562748,0,15,30,90,0,0,0
18,12_C_65_17,ATP_C_65_Amalladinne,Nandalapadu,0,1,5,45,6.6970562748,0,15,30,90,0,0,0
19,12_D_46_03,ATP_C_46_Chadam,Dodagatta,0,0,0,45,0,0,15,30,90,0,0,0
20,12_D_46_03,ATP_C_46_Chadam,Hullikal,0,0,0,45,0,0,15,30,90,0,0,0
21,12_D_46_03,ATP_C_46_Chadam,Mechiri,0,0,0,45,0,0,15,30,90,0,0,0
22,12_D_46_03,ATP_C_46_Chadam,Mallapuram,0,0,0,45,0,0,15,30,90,0,0,0
23,12_D_46_03,ATP_C_46_Chadam,Chadam,0,0,0,45,0,0,15,30,90,0,0,0
24,12_D_46_03,ATP_C_46_Chadam,Bondanakal,0,0,0,45,0,0,15,30,90,0,0,0
25,12_D_46_03,ATP_C_46_Chadam,Elangi,250,4,6,45,12.8,0.003,15,30,90,1.44,4.32,5.75
26,12_D_46_01,ATP_D_46_D.Hirehal,Malapanagudi,0,0,0,0,0,0,15,30,90,0,0,0
27,12_D_46_01,ATP_D_46_D.Hirehal,H.Siddapuram,0,0,0,0,0,0,15,30,90,0,0,0
28,12_D_46_01,ATP_D_46_D.Hirehal,Obulapuram,0,0,0,0,0,0,15,30,90,0,0,0
29,12_D_46_01,ATP_D_46_D.Hirehal,D.Hirehal,0,0,0,0,0,0,15,30,90,0,0,0
30,12_D_46_01,ATP_D_46_D.Hirehal,H.Hosahalli,0,0,0,0,0,0,15,30,90,0,0,0
31,12_D_46_01,ATP_D_46_D.Hirehal,Lakshmipuram,0,0,0,0,0,0,15,30,90,0,0,0
32,12_D_46_01,ATP_D_46_D.Hirehal,Madanahalli,0,0,0,0,0,0,15,30,90,0,0,0
33,12_D_46_01,ATP_D_46_D.Hirehal,Lingamanhalli,0,0,0,0,0,0,15,30,90,0,0,0
34,12_D_46_01,ATP_D_46_D.Hirehal,Jajrakal,0,0,0,0,0,0,15,30,90,0,0,0
35,12_D_46_01,ATP_D_46_D.Hirehal,Hirdehal,0,0,0,0,0,0,15,30,90,0,0,0
36,12_D_46_01,ATP_D_46_D.Hirehal,Pulakurthi,10000,5,12,45,20,0.205,15,30,90,92.18,276.55,368.74
37,12_D_46_01,ATP_D_46_D.Hirehal,Nagalapuram,210,2,10,45,13,0.003,15,30,90,1.27,3.8,5.06
38,12_D_46_01,ATP_D_46_D.Hirehal,Somalapuram,2000,4,10,45,17,0.034,15,30,90,15.11,45.33,60.44
39,12_D_46_01,ATP_D_46_D.Hirehal,Kuruvalli,4500,1,10,45,12,0.053,15,30,90,23.69,71.06,94.75
40,12_D_46_01,ATP_D_46_D.Hirehal,Siddarampuram,4500,1,10,45,12,0.053,15,30,90,23.69,71.06,94.75
41,12_D_46_01,ATP_D_46_D.Hirehal,Haresamudram,450,5,10,45,18,0.008,15,30,90,3.74,11.23,14.97
42,12_D_46_01,ATP_D_46_D.Hirehal,Bommanahal,550,4,10,45,17,0.009,15,30,90,4.16,12.47,16.62
