GW Watershed name,IWM MICROBASIN,GW Village name,IWM VILLAGE
ATP_C_65_Kristipadu,ATP_C_65_KRISTIPADU (PART)-MB, Rayalacheruvu,Rayalacheruvu
ATP_D_46_Rayadurg,ATP_D_46_RAYADURG-MB,74 Udegolam,Udegolam-1
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Abbedoddi,Abbedoddi
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Adadakulapalli,Adadakulapalle
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Adavigollapalli,Adivigollapalle
ATP_D_46_Agali,ATP_D_46_AGALI-MB,Agali,Agali-1
ATP_C_67_Pamudurthi,ATP_C_67_PAMUDURTHI-MB,Agraharam,Agraharam-1
 ATP_C_69_Kokkanti ,ATP_C_69_KOKKANTI-MB,Agraharampalle,Agraharampalle
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Akkajampalli,Akkajampalle
ATP_D_46_Agali,ATP_D_46_AGALI-MB,Akkaladevarahalli,Akkagaladevarahalli
ATP_C_66_Rotarypuram,ATP_C_66_ROTARYPURAM-MB,Akuledu,Akuledu
ATP_C_67_Kalasamudram,ATP_C_67_KALASAMUDRAM-MB,Alampur,Alampur
ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,Alamur,Alamuru-1
ATP_C_67_Thippepalli,ATP_C_67_THIPPEPALLI-MB,Allapalle,Allapalle
 ATP_C_67_Nallacheruvu ,ATP_C_67_NALLACHERUVU-MB,Allugundu,Allugundu
ATP_C_65_Alluru,ATP_C_65_ALLURU (PART)-MB,Alur,Alur-2
ATP_C_59_Amadaguru,ATP_C_67_AMADAGURU-MB,Amadaguru,Amadagur-1
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Amaladinne,Amalladinne
ATP_D_46_Amarapuram,ATP_D_46_AMARAPURAM-MB,Amarapuram,Amarapuram-1
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Ameenpalli,Ameenpalle
ATP_C_64_Amidala,ATP_C_64_AMIDALA-MB,Amidala,Amidala-1
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Amidalagondi,Amidalagondi
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Anaganadoddi,Aniganidoddi
 ATP_C_67_VonavoluG,ATP_C_67_VONAVOLU-MB,Anagondapalem,Amagondapalem
ATP_C_65_Tarimala,ATP_C_65_TARIMALA-MB,Anandaraopeta,Anandaraopeta
ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,Anantapur,Anantapur (Rural)
ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,Anchanahal,Hanchanahal
ATP_C_64_Golla,ATP_C_64_GOLLA-MB,Ankampalli,Ankampalle
ATP_C_65_Budedu,ATP_C_65_BUDEDU-MB,Ankampeta,Ankampeta
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Anumpalli,Anumpalle
ATP_C_67_Tadimarri,ATP_C_67_TADIMARRI-MB,Apparacheruvu,Apparacheruvu
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Apparajupeta,Appajipeta
ATP_C_65_Kristipadu,ATP_C_65_KRISTIPADU (PART)-MB,Appecherla,Appecherla
ATP_D_46_Appilepalli,ATP_D_46_APPILEPALLI-MB,Appilepalli ,Appilepalle
ATP_C_67_Thippepalli,ATP_C_67_THIPPEPALLI-MB,Arakabavipalli,Arkabhavipalle
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Arakatavemula,Arakativemula
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Aravedu,Aravedu-1
ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,Athiralladinne,Athiralladinne
ATP_C_66_Vaddupalli,ATP_C_66_VADDUPALLI-MB,Atmakur,Atmakur-2
ATP_D_46_Bhupasamudram,ATP_D_46_BHUPASAMUDRAM-MB,Avuladatla,Avuladatla-1
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Avulampalli,Avulampalle
ATP_D_46_Beluguppa,ATP_D_46_BELUGUPPA-MB,Avulanne,Avulenna
ATP_D_46_Settur,ATP_D_46_SETTUR-MB,Ayyagarlapalli,Ayyagarlapalle
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Ayyavaripalli,Ayyavaripalle-3
ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,B.K.Samudram,Bukkarayasamudram-1
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,B.Pappur,B.Pappuru-1
ATP_C_66_Kurugunta,ATP_C_66_KURUGUNTA-MB,B.Yaleru,Brahmana Yaleru
ATP_D_46_Settur,ATP_D_46_SETTUR-MB,Bachepalli,Bachchupalle
ATP_C_64_Mulakanur,ATP_C_64_MULAKANUR-MB,Badrahalli,Bedrahalli
ATP_D_46_Rayadurg,ATP_D_46_RAYADURG-MB,Baginayanahalli,Baginayakana Halli
 ATP_C_69_Kokkanti ,ATP_C_69_KOKKANTI-MB,Balasamudram,Balasamudram-1
ATP_C_66_Kanaganapalli,ATP_C_66_KANAGANAPALLI-MB,Bandameedapalli,Bandameedapalle
ATP_C_63_Parigi ,ATP_C_63_PARIGI-MB,Bandarlapalli,Bandarlapalle
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,Bandlapalli,Bandlapalle
ATP_C_67_Gonipeta,ATP_C_67_GONIPETA-MB,Bandlapalli,Bandlapalle-2
ATP_C_67_Talupula,ATP_C_67_TALUPULA-MB,Bandlapalli,Bandlapalle-1
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Bandur,Bandur
ATP_D_46_Appilepalli,ATP_D_46_APPILEPALLI-MB,Basapuram,Basapuram-1
ATP_D_46_Basavanahalli,ATP_D_46_BASAVANAHALLI-MB,Basavanahalli,Basavanahalli
ATP_C_65_Utakal,ATP_C_65_UTAKALLU (PART)-MB,Basinepalli,Basinepalle
ATP_C_67_Chigicherla,ATP_C_67_CHIGICHERLA-MB,Bathalapalli,Bathalapalle-1
ATP_C_67_Kadiri,ATP_C_67_KADIRI-MB,Bathalapalli,Bathalapalle-2
 ATP_C_63_Malaguru,ATP_C_63_MALAGURU-MB,Beechiganipalli,Beechiganipalle
 ATP_C_67_VonavoluG,ATP_C_67_VONAVOLU-MB,Beedupalli,Beedupalle
ATP_D_46_Rayadurg,ATP_D_46_RAYADURG-MB,Belodu,Belodu
ATP_D_46_Beluguppa,ATP_D_46_BELUGUPPA-MB,Beluguppa,Beluguppa-1
ATP_D_46_Kanekal,ATP_D_46_KANEKAL-MB,Bennikal,Bennikal
ATP_C_46_Enumuladoddi ,ATP_C_64_ENUMULADODDI-MB,Bestarapalli,Bestharapalle
ATP_C_65_Utakal,ATP_C_65_UTAKALLU (PART)-MB,Bethapalli,Bethapalle
ATP_C_63_Parigi ,ATP_C_63_PARIGI-MB,Bevinahalli,Bevina Halli
ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,Bhogasamudram,Bhogasamudram
ATP_D_46_Bhupasamudram,ATP_D_46_BHUPASAMUDRAM-MB,Bhupasamudram,Bhupasamudram-1
ATP_D_46_Sollapuram,ATP_D_46_SOLLAPURAM (PART-MB,Bidurukotham,Bidurukontham
ATP_C_65_Alluru,ATP_C_65_ALLURU (PART)-MB,Bodaipalli,Bodaipalle
ATP_C_67_Gonipeta,ATP_C_67_GONIPETA-MB,Bojjireddipalli,Bojjireddipalle
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Bokkasampalli,Bokkasampalle
ATP-D-46-Havalgi ,ATP_D_46_HAVALIGI (PART-MB,Bollanaguddam,Bollanaguddam
ATP_D_B.G. Halli,ATP_D_46_B.G. HALLI-MB,Bommagundanahalli,Bommagundanahalli
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Bommanahal,Bommanahal-1
ATP_C_66_Hampapuram,ATP_C_66_HAMPAPURAM-MB,Bommeparthy,Bommaparthy
ATP_C_65_Tadipatri,ATP_C_65_TADIPATRI (PART)-MB,Bondaladinne,Bondaladinne-1
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,Bondalavada,Bondalawada
ATP_C_46_Chadam,ATP_D_46_CHADAM-MB,Bondanakal,Bondankal
 ATP_C_67_Cheekatimanapalli,ATP_C_69_CHEEKATIMANIPALLI (PAR-MB,Bonthalapalle,Bonthalapalle
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Boppepalli,Boppepalle
ATP_C_67_Gonipeta,ATP_C_67_GONIPETA-MB,Boyalapalle,Boyalapalle
ATP_C_67_Mudigubba,ATP_C_67_MUDIGUBBA-MB,Brahmadevaramarri,Brahmadevaramarri
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Brahmanahaplli,Brahmanapalle-3
ATP_C_66_Vaddupalli,ATP_C_66_VADDUPALLI-MB,Brahmanapalle,Brahmanapalle-7
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Brahmanapalli,Brahmanapalle-14
ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,Brahmanapalli,Brahmanapalle-4
ATP_C_67_Mudigubba,ATP_C_67_MUDIGUBBA-MB,Brahmanapalli,Bramhanapalle
 ATP_C_67_VonavoluG,ATP_C_67_VONAVOLU-MB,Brahmanapalli,Brahmanapalle-13
ATP_D_46_Kanekal,ATP_D_46_KANEKAL-MB,Brahmasamudram,Brahmasamudram-1
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Brahmasamudram,Brahmasamudram-3
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Brahmasamudram,Brahmasamudram-2
ATP_C_63_Bucherla,ATP_C_63_BUCHERLA-MB,Bucherla ,Bucharla
ATP_D_46_Uravakonda,ATP_D_46_URAVAKONDA-MB,Budagavi,Budagavi
ATP_C_67_Tadimarri,ATP_C_67_TADIMARRI-MB,Budanampalli,Budanampalle
ATP_C_67_Mudigubba,ATP_C_67_MUDIGUBBA-MB,Buddareddipalli,Buddareddipalle
ATP_C_65_Tarimala,ATP_C_65_TARIMALA-MB,Buddepalli,Buddepalle
ATP_C_65_Budedu,ATP_C_65_BUDEDU-MB,Budedu,Budedu
ATP_C_64_Korrakodu,ATP_C_64_KORRAKODU-MB,Budigumma,Budigumma
 ATP_C_67_Somagatta ,ATP_C_67_SOMAGATTA-MB,Budili,Budili
 ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,Bugumpalli,Buganipalle
ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,Bukkacherla,Bukkacherla
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Bukkapatnam,Bukkapatnam-2
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Bukkapuram,Bukkapuram-5
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Bullasamudram,Bullasamudram
ATP_C_67_Gonipeta,ATP_C_67_GONIPETA-MB,Bushiahgaripalli,Bussaiahgaripalle
 ATP_C_67_VonavoluG,ATP_C_67_VONAVOLU-MB,Bynakuntapalli,Bayanakuntapalle
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Byrapuram,Byrapuram-1
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Byrasamudram,Bhairasamudram
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Byravanithippa,Bhyravanithippa
ATP_C_63_Parigi ,ATP_C_63_PARIGI-MB,C. Kodigepalli,C.Kodigepalle
ATP_C_67_Kanumukkala,ATP_C_67_KANUMUKKALA-MB,C.K.palli ,Chennekothapalle
ATP_C_64_Amidala,ATP_C_64_AMIDALA-MB,C.Musturu,Chinna Musturu
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,C.Vadugur,Chinnavadugur
ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,Chabala,Chabala
ATP_C_46_Chadam,ATP_D_46_CHADAM-MB,Chadam,Chadam
 ATP_C_67_Somagatta ,ATP_C_67_SOMAGATTA-MB,Chagaleru,Chagaluru
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Chagallu,Chagallu-2
ATP_C_67_Mudigubba,ATP_C_67_MUDIGUBBA-MB,Chagapuram,Chagapuram
ATP_C_66_Salakamcheruvu,ATP_C_66_SALAKAMCHERUVU-MB,Chakrayapeta,Chakrayapeta
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Chalakuru,Chalakur-1
ATP_C_67_Kalasamudram,ATP_C_67_KALASAMUDRAM-MB,Chalamakuntapalli,Chalamakuntapalle
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Chalimenahalli,Chelimenahalli
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Chalivemula,Chalavemula
 ATP_C_63_Malaguru,ATP_C_63_MALAGURU-MB,Chalivendula,Chalivendala
