,,,,,,,,Command,,,,Non command,,,,Poor command,,,
SR.NO,GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,ATP_C_63_Cherukuru,Granites,3,11,,,73.67,0,0,0,0,73.67,0,0,73.67,0,0,0,0
2,ATP_C_63_Hindupur,Granites,3,11,,,188.83,0,0,0,0,188.83,0,0,188.83,0,0,0,0
3,ATP_C_63_Malaguru,Granites,3,11,,,160.32,0,0,0,0,142.8033,17.5167,17.5167,160.32,0,0,0,0
4,ATP_C_67_Cheekatimanapalli,Granites,3,11,,,97.8,0,0,0,0,97.8,0,0,97.8,0,0,0,0
5,ATP_C_67_Chilmathur,Granites,3,11,,,276.28,0,0,0,0,235.6099245281,40.6700754719,39.1574,276.28,0,0,0,0
6,ATP_C_67_Kurli,Granites,3,11,,,62.98,0,0,0,0,50.4098,12.5702,12.5702,62.98,0,0,0,0
7,ATP_C_67_Nallacheruvu,Granites,3,11,,,181.38,0,0,0,0,181.38,0,0,181.38,0,0,0,0
8,ATP_C_67_Somagatta,Granites,3,11,,,173,0,0,0,0,172.49,0.51,0.51,173,0,0,0,0
9,ATP_C_67_VonavoluG,Granites,3,11,,,150.68,0,0,0,0,71.08,79.6,79.6,150.68,0,0,0,0
10,ATP_C_69_Kokkanti,Granites,3,11,,,199.58,0,0,0,0,171.2258,28.3542,28.3542,199.58,0,0,0,0
11,ATP_C_46_Chadam,Granites,3,11,,,124.91,21.76,0,0,21.76,84.46,18.69,0,103.15,0,0,0,0
12,ATP_C_46_Enumuladoddi,Granites,3,11,,,342.93,0,0,0,0,312.59,30.34,30.34,342.93,0,0,0,0
13,ATP_C_59_Amadaguru,Granites,3,11,,,159.77,0,0,0,0,121.05,38.72,38.72,159.77,0,0,0,0
14,ATP_C_59_Kacharlakunta,Granites,3,11,,,17.5,17.5,0,0,17.5,0,0,0,0,0,0,0,0
15,ATP_C_63_Bucherla,Granites,3,11,,,26.23,0,0,0,0,26.23,0,0,26.23,0,0,0,0
16,ATP_C_63_Gowrajupalli,Granites,3,11,,,23.8,0,0,0,0,23.8,0,0,23.8,0,0,0,0
17,ATP_C_63_Lepakshi,Granites,3,11,,,132.75,0,0,0,0,125.26,7.4868,7.49,132.75,0,0,0,0
18,ATP_C_63_Madakasira,Granites,3,11,,,288.2,0,0,0,0,259.76,28.44,28.44,288.2,0,0,0,0
19,ATP_C_63_Parigi,Granites,3,11,,,189.72,0,0,0,0,189.72,0,0,189.72,0,0,0,0
20,ATP_C_63_Roddam,Granites,3,11,,,89.33,0,0,0,0,89.33,0,0,89.33,0,0,0,0
21,ATP_C_63_Somandepalli,Granites,3,11,,,289.47,0,0,0,0,274.9,14.57,14.57,289.47,0,0,0,0
22,ATP_C_64_Amidala,Granites,3,11,,,212.89,0,0,0,0,203.68,9.21,9.21,212.89,0,0,0,0
23,ATP_C_64_Golla,Granites,3,11,,,95.39,0,0,0,0,89.61,5.78,6.09,95.39,0,0,0,0
24,ATP_C_64_Kogira,Granites,3,11,,,47.61,0,0,0,0,47.61,0,0,47.61,0,0,0,0
25,ATP_C_64_Korrakodu,Granites,3,11,,,77.89,0,0,0,0,72.22,5.67,5.67,77.89,0,0,0,0
26,ATP_C_64_M.C. Palli,Granites,3,11,,,53.98,0,0,0,0,53.98,0,0,53.98,0,0,0,0
27,ATP_C_64_Manirevu,Granites,3,11,,,58.7,0,0,0,0,58.7,0,0,58.7,0,0,0,0
28,ATP_C_64_Mulakanur,Granites,3,11,,,170.27,0,0,0,0,161.02,9.25,9.25,170.27,0,0,0,0
29,ATP_C_64_Nutimadugu,Granites,3,11,,,181.53,0,0,0,0,178.09,3.44,3.44,181.53,0,0,0,0
