S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,19.29,12.28,22.7,19.43,13.5,7.45,13.5,13.5,0.9,0.9,577,383,194,555.4,346.8,208.6
2,ATP_C_46_Chadam,ATP_D_46_CHADAM-MB,12.4,12.05,14.92,14.22,4.34,2.4,6.17,2.96,1,1,560,312,248,365,122,243
3,ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,19.19,15.84,19.64,22.03,6.36,3.85,10.3,3.1,0.9,0.9,409,234,175,550.4,224,326.4
4,ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,8.47,6.37,8.84,7.77,6.95,6.7,13.25,6.8,0.9,0.9,518,330,188,363.4,145.8,217.6
5,ATP_D_46_Kanekal,ATP_D_46_KANEKAL-MB,15.94,21.92,28.14,28.09,8.5,2.35,8.5,2.8,0.9,0.9,458,278,180,418.2,179,239.2
6,ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,12.7,9.76,10.42,6.52,7,7,7,8.85,1,1,597,372,225,416.2,153.4,262.8
7,ATP_C_65_Budedu,ATP_C_65_BUDEDU-MB,2.8,2.45,2.77,2.13,7.1,7.1,7.1,7.1,0.9,0.9,568,370,198,379.4,179.6,199.8
8,ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,6.8,4.13,6.45,1.83,7.15,5.8,1,2.35,0.9,0.9,515,333,182,872.2,466.8,405.4
9,ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,5.3,5.65,5.1,2.85,5.85,5.85,5.85,5.85,0.9,0.9,464,301,163,446.4,219.8,226.6
10,ATP_C_65_Midthuru,ATP_C_65_MIDTHURU-MB,3.86,1.99,3.78,2.46,3.2,2.6,4.05,2.75,0.9,0.9,515,333,182,872.2,466.8,405.4
11,ATP_C_65_Tarimala,ATP_C_65_TARIMALA-MB,5.05,6.05,4.87,3.18,2.8,2.45,2.77,2.13,1,1,546,359,187,359.6,211,148.6
12,ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,16.55,14.43,17.6,14.46,6.15,5.55,3.2,6.65,0.9,0.9,544,373,171,582.4,349.8,232.6
13,ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,9.05,9.95,15,7.7,7.35,6.3,7.85,3.1,0.9,0.9,577,383,194,505.4,277,228.4
14,ATP_C_66_Rotarypuram,ATP_C_66_ROTARYPURAM-MB,16.55,14.43,17.6,14.46,8.79,8.65,8.76,8.76,0.9,0.9,544,373,171,359.6,211,148.6
15,ATP_C_66_Salakamcheruvu,ATP_C_66_SALAKAMCHERUVU-MB,16.55,14.43,17.6,14.46,2.8,2.45,2.77,2.13,1,1,546,359,187,359.6,211,148.6
16,ATP_D_46_Bhupasamudram,ATP_D_46_BHUPASAMUDRAM-MB,7.23,3.49,6.25,8.82,10.55,7.4,24.65,26.31,0.9,0.9,529,312,217,365,122,243
17,ATP-D-46-Havalgi ,ATP_D_46_HAVALIGI (PART-MB,8.47,6.37,8.84,7.77,6.95,6.7,13.25,6.8,1,1,574,368,206,363.4,145.8,217.6
18,ATP_D_46_Kadlur,ATP_D_46_KADLUR-MB,26.9,26.9,26.9,26.9,4.25,2.25,6.1,2,0.9,0.9,458,278,180,241.6,96,145.6
19,ATP_D_46_Rayadurg,ATP_D_46_RAYADURG-MB,15.94,21.92,28.14,28.09,10.55,17.4,24.65,26.31,1,1,488,271,217,241.6,96,145.6
20,ATP_D_46_Sollapuram,ATP_D_46_SOLLAPURAM (PART-MB,15.55,16.73,22.86,23.65,8.5,2.35,8.5,2.8,0.9,0.9,458,278,180,418.2,179,239.2
21,ATP_D_46_Uravakonda,ATP_D_46_URAVAKONDA-MB,6.6,6.08,7.35,5.93,3.95,3.5,6.15,4.4,1,1,530,326,204,447.2,195.4,251.8
22,ATP_C_63_Bucherla,ATP_C_63_BUCHERLA-MB,15.02,15.42,17.65,15.53,,,,,0.98,0,630,364,266,478.2,154.2,324
23, ATP_C_63_Cherukuru,ATP_C_63_CHERUKURU-MB,15.02,15.42,17.65,15.53,,,,,0.98,0,630,364,266,478.2,154.2,324
24, ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,15.17,14.35,21.7,12.74,,,,,0.98,0,818,818,499,425.2,206,219.2
25,ATP_C_63_Gowrajupalli,ATP_C_63_GOWRAJUPALLI-MB,17.02,15.42,17.65,15.53,,,,,0.98,0,630,364,266,478.2,154.2,324
26, ATP_C_63_Hindupur ,ATP_C_63_HINDUPUR-MB,19.62,20.11,21.38,,,,,,0.98,0,667,396,271,313.6,111,202.6
27,ATP_C_64_Kogira,ATP_C_63_KOGIRA-MB,15.02,15.42,17.65,15.53,,,,,0.98,0,643,401,242,478.2,154.2,324
28,ATP_C_63_Lepakshi,ATP_C_63_LEPAKSHI-MB,24.05,25.16,25.38,25.59,,,,,0.98,0,620,381,239,485.8,255.6,230.2
29,ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,12.06,7.15,10.47,12.62,,,,,0.98,0,607,310,297,502.4,161.6,340.8
30, ATP_C_63_Malaguru,ATP_C_63_MALAGURU-MB,26.59,29.06,33.47,26.61,,,,,0.98,0,608,350,258,507,232.6,274.4
31,ATP_C_63_Parigi ,ATP_C_63_PARIGI-MB,26.59,29.06,33.47,26.61,,,,,0.98,0,608,350,258,502.4,161.6,340.8
32,ATP_C_63_Roddam,ATP_C_63_RODDAM-MB,15.02,15.42,17.65,15.53,,,,,0.98,0,630,364,266,478.2,154.2,324
33,ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,18.41,11.33,23.3,8.7,,,,,0.98,0,635,392,243,478.2,154.2,324
34,ATP_C_64_Amidala,ATP_C_64_AMIDALA-MB,3.88,2.23,2.73,,,,,,0.98,0,530,326,204,447.2,195.4,251.8
35,ATP_C_46_Enumuladoddi ,ATP_C_64_ENUMULADODDI-MB,8.23,5.67,7.72,3.97,,,,,0.98,0,457,241,216,526.2,216.2,310
36,ATP_C_64_Golla,ATP_C_64_GOLLA-MB,14.85,14.88,20.03,16.67,,,,,0.98,0,489,307,182,429,143.8,285.2
37,ATP_C_64_Korrakodu,ATP_C_64_KORRAKODU-MB,10.1,10.86,13.85,9.2,,,,,0.98,0,348,204,144,338.8,170,168.8
38,ATP_C_64_M.C. Palli,ATP_C_64_M.C. PALLI-MB,9.1,6.14,11.18,5.76,,,,,0.98,0,536,310,226,543.8,247.2,296.6
39,ATP_C_64_Manirevu,ATP_C_64_MANIREVU-MB,7.66,7.58,13.06,13.2,,,,,0.98,0,544,305,239,361.8,175.2,186.6
40,ATP_C_64_Mulakanur,ATP_C_64_MULAKANUR-MB,14.43,12.57,17.29,16.2,,,,,0.98,0,457,241,216,390.8,117.8,273
41,ATP_C_64_Nutimadugu,ATP_C_64_NUTIMADUGU-MB,14.43,12.57,17.29,16.2,,,,,0.98,0,457,241,216,429,143.8,285.2
42,ATP_C_64_Palavai,ATP_C_64_PALAVAI-MB,7.66,7.58,13.06,13.2,,,,,0.98,0,544,305,239,429,143.8,285.2
43,ATP_C_64_Ramapuram,ATP_C_64_RAMAPURAM-MB,13.02,10.15,11.59,10.57,,,,,0.98,0,530,326,204,529.6,226.2,303.4
44,ATP_C_64_Udiripikonda,ATP_C_64_UDIRIPIKONDA-MB,3.88,1.95,3.3,2.08,,,,,0.98,0,348,204,144,361.8,175.2,186.6
45,ATP_C_65_Alluru,ATP_C_65_ALLURU (PART)-MB,19.29,12.83,22.7,19.43,,,,,0.98,0,818,319,499,682.6,409.6,273
46,ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,19.56,20.89,24.19,19.83,,,,,0.98,0,818,319,499,682.6,409.6,273
47,ATP_C_65_Igaduru,ATP_C_65_IGADURU-MB,19.56,20.89,24.19,19.83,,,,,0.98,0,818,319,499,682.6,409.6,273
48,ATP_C_65_Kristipadu,ATP_C_65_KRISTIPADU (PART)-MB,35.47,35.58,35.5,51.27,,,,,0.98,0,419,277,142,416.2,153.4,262.8
49,ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,19.56,20.89,24.19,19.83,,,,,0.98,0,469,309,160,416.2,153.4,262.8
50,ATP_C_65_Urachinthala,ATP_C_65_URACHINTHALA (PART)-MB,12,2.65,12,8.2,,,,,0.98,0,667,436,231,682.6,409.6,273
51,ATP_C_65_Utakal,ATP_C_65_UTAKALLU (PART)-MB,12.7,9.76,10.42,6.52,,,,,0.98,0,597,372,225,562.4,216,346.4
52,ATP_C_66_Kanaganapalli,ATP_C_66_KANAGANAPALLI-MB,9.1,6.14,11.18,5.76,,,,,0.98,0,536,310,226,543.8,247.2,296.6
53,ATP_C_67_Chigicherla,ATP_C_67_CHIGICHERLA-MB,7.56,6.64,9.4,6.1,,,,,0.98,0,567,352,215,530.2,161.6,368.6
54,ATP_C_67_Gonipeta,ATP_C_67_GONIPETA-MB,15.75,18.98,28.49,17.69,,,,,0.98,0,635,392,243,951,465.2,485.8
55,ATP_C_67_Kadiri,ATP_C_67_KADIRI-MB,11.32,7.75,12.34,5.55,,,,,0.98,0,666,421,245,722.4,371.2,351.2
56,ATP_C_67_Kalasamudram,ATP_C_67_KALASAMUDRAM-MB,7.74,7.5,9.28,3.1,,,,,0.98,0,666,421,245,722.4,371.2,351.2
57,ATP_C_67_Kanumukkala,ATP_C_67_KANUMUKKALA-MB,3.56,3.4,4.54,4.25,,,,,0.98,0,354,167,499,416.4,168,248.4
58,ATP_C_67_Kondakamarla,ATP_C_67_KONDAKAMARLA-MB,10,10.62,15.02,8.96,,,,,0.98,0,60,380,227,576.9,348.4,228.5
59,ATP_C_67_Kunuthuru,ATP_C_67_KUNUTHURU-MB,20.59,22.16,22.9,20.29,,,,,0.98,0,567,352,215,215,165.2,281
60, ATP_C_67_Kurli,ATP_C_67_KURLI (PART)-MB,7.74,7.5,9.28,3.1,,,,,0.98,0,636,359,277,437.4,251.4,186
61,ATP_C_67_Mudigubba,ATP_C_67_MUDIGUBBA-MB,5.65,5.15,0,5.71,,,,,0.98,0,693,431,262,563,237.8,325.2
62,ATP_C_67_Munimadugu,ATP_C_67_MUNIMADUGU-MB,19.23,11.46,18.38,5.66,,,,,0.98,0,678,413,265,595.4,222,373.4
63, ATP_C_67_Nallacheruvu ,ATP_C_67_NALLACHERUVU-MB,14.55,16.99,18.87,15.84,,,,,0.98,0,594,350,244,566.6,277,289.6
64,ATP_C_67_Nallamada,ATP_C_67_NALLAMADA-MB,10,10.62,15.02,8.96,,,,,0.98,0,577,349,228,310.6,170.2,140.4
65,ATP_C_67_Pamudurthi,ATP_C_67_PAMUDURTHI-MB,5.65,5.15,0,5.71,,,,,0.98,0,703,251,499,513.2,261.8,251.4
66,ATP_C_67_Polepalli,ATP_C_67_POLEPALLI-MB,9.1,6.14,11.18,5.76,,,,,0.98,0,536,226,499,543.8,247.2,296.6
67,ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,9.92,6.93,12.58,3.5,,,,,0.98,0,624,224,499,569.4,306.6,262.8
68,ATP_C_67_Ravulachervu,ATP_C_67_RAVULACHERUVU-MB,7.56,6.64,9.4,6.1,,,,,0.98,0,520,332,198,530.2,161.6,368.6
69,Atp_C_67_Sanivaripalli,ATP_C_67_SANEVARIPALLI-MB,7.74,7.5,9.28,3.1,,,,,0.98,0,693,431,262,693.5,430.4,263.1
