,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of,Days of operation of wells,,yield,No.of,Days of operation of wells,,yield,No.of,Days of operation of wells,,yield,No.of,Days of operation of wells,,yield,No.of,Days of operation of wells,,yield,No.of,Days of operation of wells,,yield,No.of,Days of operation of wells,,,,,,yield,No.of,Days of operation of wells,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
1,ATP_C_65_Amalladinne,DW,4050,176.5714285714,40,90,900,2.2857142857,120,240,3750,0,120,240,4050,384.5714285714,40,90,900,16,120,240,3750,2.1428571429,120,240,4050,0,40,90,,,,,3750,0,120,240
2,ATP_C_65_Amalladinne,DW+PS/DCB,3750,176.5714285714,40,90,4500,2.2857142857,120,240,7500,0,120,240,3750,384.5714285714,40,90,4500,16,120,240,7500,2.1428571429,120,240,7500,0,40,90,,,,,7500,0,120,240
3,ATP_C_65_Amalladinne,BWs,5250,176.5714285714,40,90,6000,2.2857142857,120,240,7500,0,120,240,7500,384.5714285714,40,90,5400,16,120,240,7500,2.1428571429,120,240,15000,0,40,90,,,,,7500,0,120,240
4,ATP_C_65_Amalladinne,STW,23100,176.5714285714,40,90,5400,2.2857142857,120,240,7500,0,120,240,23100,384.5714285714,40,90,5400,16,120,240,7500,2.1428571429,120,240,23100,0,40,90,,,,,7500,0,120,240
5,ATP_C_65_Amalladinne,MTW,47250,176.5714285714,40,90,10800,2.2857142857,120,240,7500,0,120,240,47250,384.5714285714,40,90,10800,16,120,240,7500,2.1428571429,120,240,47250,0,40,90,,,,,7500,0,120,240
6,ATP_C_65_Amalladinne,Deep TW,67500,176.5714285714,40,90,10800,2.2857142857,120,240,15000,0,120,240,67500,384.5714285714,40,90,10800,16,120,240,15000,2.1428571429,120,240,67500,0,40,90,,,,,15000,0,120,240
7,ATP_C_65_Amalladinne,Filter Points,7500,176.5714285714,40,90,5400,2.2857142857,120,240,7500,0,120,240,8250,384.5714285714,40,90,5400,16,120,240,7500,2.1428571429,120,240,7500,0,40,90,,,,,7500,0,120,240
8,ATP_C_46_Chadam,DW,4050,0,40,90,900,0.5714285714,120,240,3750,0,120,240,4050,172.7142857143,40,90,900,4.8571428571,120,240,3750,0,120,240,4050,0,40,90,,,,,3750,0,120,240
9,ATP_C_46_Chadam,DW+PS/DCB,7500,0,40,90,4500,0.5714285714,120,240,7500,0,120,240,6000,172.7142857143,40,90,4500,4.8571428571,120,240,7500,0,120,240,7500,0,40,90,,,,,7500,0,120,240
10,ATP_C_46_Chadam,BWs,15750,0,40,90,5400,0.5714285714,120,240,7500,0,120,240,16500,172.7142857143,40,90,5400,4.8571428571,120,240,7500,0,120,240,15000,0,40,90,,,,,7500,0,120,240
11,ATP_C_46_Chadam,STW,23100,0,40,90,5400,0.5714285714,120,240,7500,0,120,240,23100,172.7142857143,40,90,5400,4.8571428571,120,240,7500,0,120,240,23100,0,40,90,,,,,7500,0,120,240
12,ATP_C_46_Chadam,MTW,47250,0,40,90,10800,0.5714285714,120,240,7500,0,120,240,47250,172.7142857143,40,90,10800,4.8571428571,120,240,7500,0,120,240,47250,0,40,90,,,,,7500,0,120,240
13,ATP_C_46_Chadam,Deep TW,67500,0,40,90,10800,0.5714285714,120,240,15000,0,120,240,67500,172.7142857143,40,90,10800,4.8571428571,120,240,15000,0,120,240,67500,0,40,90,,,,,15000,0,120,240
14,ATP_C_46_Chadam,Filter Points,7500,0,40,90,5400,0.5714285714,120,240,7500,0,120,240,8250,172.7142857143,40,90,5400,4.8571428571,120,240,7500,0,120,240,7500,0,40,90,,,,,7500,0,120,240
15,ATP_D_46_D.Hirehal,DW,4050,273.4285714286,40,90,900,19.2857142857,120,240,3750,0.2857142857,120,240,4050,145.7142857143,40,90,900,17.7142857143,120,240,3750,8.8571428571,120,240,4050,0,40,90,,,,,3750,0,120,240
16,ATP_D_46_D.Hirehal,DW+PS/DCB,3750,273.4285714286,40,90,4500,19.2857142857,120,240,7500,0.2857142857,120,240,6000,145.7142857143,40,90,4500,17.7142857143,120,240,7500,8.8571428571,120,240,7500,0,40,90,,,,,7500,0,120,240
17,ATP_D_46_D.Hirehal,BWs,8250,273.4285714286,40,90,5400,19.2857142857,120,240,7500,0.2857142857,120,240,9000,145.7142857143,40,90,5400,17.7142857143,120,240,7500,8.8571428571,120,240,15000,0,40,90,,,,,7500,0,120,240
18,ATP_D_46_D.Hirehal,STW,23100,273.4285714286,40,90,5400,19.2857142857,120,240,7500,0.2857142857,120,240,23100,145.7142857143,40,90,5400,17.7142857143,120,240,7500,8.8571428571,120,240,23100,0,40,90,,,,,7500,0,120,240
19,ATP_D_46_D.Hirehal,MTW,47250,273.4285714286,40,90,10800,19.2857142857,120,240,7500,0.2857142857,120,240,47250,145.7142857143,40,90,10800,17.7142857143,120,240,7500,8.8571428571,120,240,47250,0,40,90,,,,,7500,0,120,240
