,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
1,10-C-74-41,Ctr-Swarna-Poli-Poli,Anantapadmanabhapuram,0,,,0
2,10-C-74-41,Ctr-Swarna-Poli-Poli,Appalayagunta,0,,,0
3,10-C-74-41,Ctr-Swarna-Poli-Poli,Bahudur venkatapuram,0,,,0
4,10-C-74-41,Ctr-Swarna-Poli-Poli,Bhimavaram,0,,,0
5,10-C-74-41,Ctr-Swarna-Poli-Poli,Poli,0,,,0
6,10-C-74-41,Ctr-Swarna-Poli-Poli,Vampalle,0,,,0
7,10-C-74-41,Ctr-Swarna-Poli-Poli,Chemuru,,,,0
8,10-C-74-41,Ctr-Swarna-Poli-Poli,Chiyyavaram,,,,0
9,10-C-74-41,Ctr-Swarna-Poli-Poli,Kondachenukandriga,,,,0
10,10-C-74-41,Ctr-Swarna-Poli-Poli,Dainedu,,,,0
11,10-C-74-41,Ctr-Swarna-Poli-Poli,Pillamedu,,,,0
12,10-C-74-41,Ctr-Swarna-Poli-Poli,Mamidigunta,,,,0
13,10-C-74-41,Ctr-Swarna-Poli-Poli,Kasaram,,,,0
14,10-C-74-41,Ctr-Swarna-Poli-Poli,Rambatlapalli,,,,0
15,10-C-74-41,Ctr-Swarna-Poli-Poli,Gottipudi,,,,0
16,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakanaparthi,1,0,,1
17,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Thottambedu,,1,,1
18,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,CRN kandriga,,1,,1
19,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Edulagunta,1,0,,1
20,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Poyya,1,0,,1
21,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Karlapudi,1,0,,1
22,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Tatiparti,1,0,,1
23,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gurukulapalem,1,0,,1
24,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gummadigaunta,,1,,1
25,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chinnasingamala,,0,,0
26,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pudi,1,0,,1
27,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,I laganuru,1,0,,1
28,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konathaneri,,1,,1
29,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pennela Padu,,0,,0
30,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konnali,,0,,0
31,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakannali,,0,,0
32,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sambaiahpalem,,1,,1
33,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Basavaiahpalem,,1,,1
34,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Forest,,,,0
35,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chukkalanidigallu,,1,,1
36,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Ramapuram,,1,,1
37,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sahasralingeswarapuram,,0,,0
38,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sri Kalahasthi,,10,,10
39,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Vedam,,1,,1
40,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Modugulapalem,,1,,1
41,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Tangellapalem,,,,0
42,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Gowdamala,,,,0
43,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Routhusuramala,,,,0
44,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Forest,,,,0
45,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Parlapalli,,,,0
