S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge
1,10-C-74-41,Ctr-Swarna-Poli-Poli,Anantapadmanabhapuram,,,,45,0,0,3.5,90,90,0,0,0
2,10-C-74-41,Ctr-Swarna-Poli-Poli,Appalayagunta,,,,45,0,0,3.5,30,90,0,0,0
3,10-C-74-41,Ctr-Swarna-Poli-Poli,Bahudur venkatapuram,,,,45,0,0,3.5,30,90,0,0,0
4,10-C-74-41,Ctr-Swarna-Poli-Poli,Bhimavaram,,,,45,0,0,3.5,30,90,0,0,0
5,10-C-74-41,Ctr-Swarna-Poli-Poli,Poli,,,,45,0,0,3.5,30,90,0,0,0
6,10-C-74-41,Ctr-Swarna-Poli-Poli,Vampalle,,,,45,0,0,3.5,30,90,0,0,0
7,10-C-74-41,Ctr-Swarna-Poli-Poli,Chemuru,,,,45,0,0,3.5,30,90,0,0,0
8,10-C-74-41,Ctr-Swarna-Poli-Poli,Chiyyavaram,,,,45,0,0,3.5,30,90,0,0,0
9,10-C-74-41,Ctr-Swarna-Poli-Poli,Kondachenukandriga,1985,4,10,45,16.1,0.032,3.5,30,90,3.36,10.07,13.43
10,10-C-74-41,Ctr-Swarna-Poli-Poli,Dainedu,0,0,0,45,0,0,3.5,30,90,0,0,0
11,10-C-74-41,Ctr-Swarna-Poli-Poli,Pillamedu,1745,4,10,45,16.1,0.028,3.5,30,90,2.95,8.85,11.81
12,10-C-74-41,Ctr-Swarna-Poli-Poli,Mamidigunta,76,4,10,45,16.1,0.001,3.5,30,90,0.13,0.39,0.51
13,10-C-74-41,Ctr-Swarna-Poli-Poli,Kasaram,1802,4,10,45,16.1,0.029,3.5,30,90,3.05,9.14,12.19
14,10-C-74-41,Ctr-Swarna-Poli-Poli,Rambatlapalli,1936,4,10,45,16.1,0.031,3.5,30,90,3.27,9.82,13.1
15,10-C-74-41,Ctr-Swarna-Poli-Poli,Gottipudi,651,4,10,45,16.1,0.01,3.5,30,90,1.1,3.3,4.4
16,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakanaparthi,,,,45,0,0,3.5,90,90,0,0,0
17,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Thottambedu,,,,45,0,0,3.5,30,90,0,0,0
18,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,CRN kandriga,,,,45,0,0,3.5,30,90,0,0,0
19,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Edulagunta,610,4,10,45,16.8,0.01,3.5,30,90,1.08,3.23,4.3
20,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Poyya,,,,45,0,0,3.5,30,90,0,0,0
21,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Karlapudi,1558,4,10,45,16.8,0.026,3.5,30,90,2.75,8.24,10.99
22,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Tatiparti,,,,45,0,0,3.5,30,90,0,0,0
23,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gurukulapalem,,,,45,0,0,3.5,30,90,0,0,0
24,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gummadigaunta,,,,45,0,0,3.5,30,90,0,0,0
25,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chinnasingamala,,,,45,0,0,3.5,30,90,0,0,0
26,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pudi,,,,45,0,0,3.5,30,90,0,0,0
27,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,I laganuru,1600,4,10,45,16.8,0.027,3.5,30,90,2.82,8.46,11.28
28,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konathaneri,,,,45,0,0,3.5,30,90,0,0,0
29,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pennela Padu,1066,4,10,45,16.8,0.018,3.5,30,90,1.88,5.64,7.52
30,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konnali,1478,4,10,45,16.8,0.025,3.5,30,90,2.61,7.82,10.42
31,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakannali,2248,4,10,45,16.8,0.038,3.5,30,90,3.96,11.89,15.85
32,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sambaiahpalem,,,,,,,,,,,,
33,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Basavaiahpalem,,,,,,,,,,,,
34,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Forest,,,,,,,,,,,,
35,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chukkalanidigallu,,,,,,,,,,,,
36,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Ramapuram,,,,,,,,,,,,
37,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sahasralingeswarapuram,,,,,,,,,,,,
38,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sri Kalahasthi,,,,,,,,,,,,
39,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Vedam,,,,,,,,,,,,
40,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Modugulapalem,,,,,,,,,,,,
41,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Tangellapalem,1459,4,10,45,16.8,0.024,3.5,90,90,7.72,7.72,15.43
42,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Gowdamala,,,,45,0,0,3.5,30,90,0,0,0
43,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Routhusuramala,,,,45,0,0,3.5,30,90,0,0,0
44,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Forest,,,,45,0,0,3.5,30,90,0,0,0
45,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Parlapalli,,,,45,0,0,3.5,30,90,0,0,0
46,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Pallemala,,,,45,0,0,3.5,30,90,0,0,0
47,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Katuru,3044,4,10,45,16.8,0.051,3.5,30,90,5.37,16.1,21.46
48,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Bhavani sankarapuram,,,,45,0,0,3.5,30,90,0,0,0
