GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
ctr_pa_GDNellore_GDNellore,CTR_PALAR__G.D.NELLORE_G.D.NELLORE-MB,100_Gollapalli,Gollapalle-12
Ctr-Ch-CG Gallu Vanka-Rompicherla,CTR_CH__CG GALLU VANKA_ROMPICHERLA-MB,103Reddivaripalle,E.Ramireddigari Palle
Ctr-Kor-Nagari,CTR_KORATLIAR__NAGARI_NAGARI-MB,104 Agaram,Agaram-1
ctr-pa-Mangalampetavanka-puthalapattu,CTR_PALAR__M.C.VANKA_PUTHALAPATTU-MB,106RRgaripalli,Ramireddigaripalle
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,114 Settipalle,Settipalle  @  K.Bandarlapalle
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,115 Settipalle,Settipalle-5
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,13_Gollapalli,Gollapalle-15
ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,144 Otivaripalli,Otiripalle
ctr_pa_Penrevula peddavanka,CTR_PALAR__PP.VANKA_MOGILI-MB,170gollapalli,Gollapalle-13
ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,184 Gollapalli,184.Gollapalle
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,190 Ramapuram,190.Ramapuram
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,197.Ramapuram,197.Ramapuram
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,33 Venkatapuram,Venkatapuram-8
ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,36.Gollapalli,Gollapalle-14
Ctr_Kalangi_Nirpakota,CTR_KALANGI__RALLAERU_NIRPAKOTA-MB,388 Arur,Aroor
ctr-pa-Godduvanka-Thavanampalli,CTR_PALAR__GODDUVANKA_THAVANAMPALLE-MB,45 Kothapalli,Kothapalle-10
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,5 Venkatapuram,S.Venkatapuram
Ctr-Swarna-Bheema-Kotala,CTR_SWARNA__BHEEMA_KOTALA-MB,68_Ramireddipalli,Ramireddi Palle
Ctr-Ch-Chinthalavari Palle-Kalikiri,CTR_CH__CHINTHALAVARIPALLE_KALIKIRI-MB,79 Chinthamakula palli,Chintamakulapalle
Ctr-Ch-Peddavagueast-Sadum,CTR_CH__PEDDAVAGUEAST_SODUM-MB,81 Upparapalli,Upparapalle-5
ctr-pa-Laddigamvanka-Chowdepalli,CTR_PALAR__LADDIGAMVANKA_CHOWDEPALLE-MB,A.Kothakota,A.Kothakota
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,A.L.Puram,Adilakshmamba Puram
ctr-pa-Mangalampetavanka-puthalapattu,CTR_PALAR__M.C.VANKA_PUTHALAPATTU-MB,Achamma Agraharam,Achamma Agraharam
Ctr-Kalangi-KVB Puram-KVB Puram,CTR_KALANGI__KVB PURAM_KVB PURAM-MB,Adaram,Adaram
Ctr-Kalangi-KVB Puram-KVB Puram,CTR_KALANGI__KVB PURAM_KVB PURAM-MB,Adavaram,Adavaram
Ctr-Pa-Adavibuduguru,CTR_PONNIAR__ADAVIBODUGURU_ADAVIBODUGURU-MB,Adavibuduguru,Adavi Budugur
Ctr-Kor-Nagari,CTR_KORATLIAR__NAGARI_NAGARI-MB,Adavikothuru,Adavikothuru
Ctr-Swarna-Gadanki-Gadanki,CTR_SWARNA__GADANKI_GADANKI-MB,Adenapalli,Adenapalle
Ctr-Pa-Adavibuduguru,CTR_PONNIAR__ADAVIBODUGURU_ADAVIBODUGURU-MB,Adivimolakalapalli,Adavimulakapalle
