,,,,,,,, Command,,,,Non command,,,,Poor command,,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,
1,CTR_C_69_PAPAGHNI_KANDUKURU,Grantite,3,10,,,77.11,0,0,0,0,72.21,4.9,0.92,77.11,0,0,0,0,
2,Ctr_Ch_Peddaupparapalle_Peddaupparapalle,Grantite,3,10,,,113.37,0,0,0,0,28.19,85.18,29.35,113.37,0,0,0,0,
3,Ctr_Kalangi_Nirpakota,Gneisses,3,11,,,428.66,273.28,3.1,136.06,276.38,152.28,0,63.19,152.28,0,0,0,0,
4,Ctr_Kor_Vijayapuram,Grantite,3,10,,,110.68,0,0,0,0,103.92,6.76,0,110.68,0,0,0,0,
5,ctr_pa_GDNellore_GDNellore,Grantite,3,10,,,275.24,0,0,0,0,245.66,29.6,8.74,275.24,0,0,0,0,100
6,ctr_pa_Penrevula peddavanka,Grantite,3,10,,,252.18,0,0,0,0,252.18,0,103.56,252.18,0,0,0,0,
7,Ctr_Papa_Gummasamudram,Grantite,3,10,,,474.05,0,0,0,0,426.19,47.86,80.74,474.05,0,0,0,0,
8,Ctr_Papa_K Kota,Grantite,3,10,,,37.66,0,0,0,0,36.82,0.84,0.23,37.66,0,0,0,0,
9,Ctr_Papa_Kush_Pedda,Grantite,3,10,,,276.5,0,0,0,0,232.76,43.74,62.96,276.5,0,0,0,0,
10,Ctr-Arani-Arani-Narayana vanam,Grantite,3,10,,,475.09,0,0,0,0,426.34,48.75,118.79,475.09,0,0,0,0,
11,Ctr-Arani-Nagalapuram-Nagalapuram,Grantite,3,10,,,392.26,115.27,1.35,61.05,116.62,271.77,3.87,145.6,275.64,0,0,0,0,
12,Ctr-Arani-Sivagiri Vanka-Nindra,Grantite,3,10,,,208.65,0,0,0,0,198.03,10.62,53.84,208.65,0,0,0,0,
13,Ctr-Ch-Bahudaeast-Marrikuntapalle,Grantite,3,10,,,195.53,0,0,0,0,184.62,10.91,38.08,195.53,0,0,0,0,
14,Ctr-Ch-Bahudawest-Kalakada,Grantite,3,10,,,40.71,0,0,0,0,38.38,2.33,0,40.71,0,0,0,0,
