sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
1,10-C-74-41,Ctr-Swarna-Poli-Poli,Anantapadmanabhapuram,0,0,1,31,,
2,10-C-74-41,Ctr-Swarna-Poli-Poli,Appalayagunta,0,0,7,14,,
3,10-C-74-41,Ctr-Swarna-Poli-Poli,Bahudur venkatapuram,0,0,3,53,,
4,10-C-74-41,Ctr-Swarna-Poli-Poli,Bhimavaram,0,0,5,69,1,3
5,10-C-74-41,Ctr-Swarna-Poli-Poli,Poli,0,0,8,114,,
6,10-C-74-41,Ctr-Swarna-Poli-Poli,Vampalle,0,0,5,79,,
7,10-C-74-41,Ctr-Swarna-Poli-Poli,Chemuru,0,0,4,70,,
8,10-C-74-41,Ctr-Swarna-Poli-Poli,Chiyyavaram,0,0,3,119,,
9,10-C-74-41,Ctr-Swarna-Poli-Poli,Kondachenukandriga,0,0,4,38,,
10,10-C-74-41,Ctr-Swarna-Poli-Poli,Dainedu,1,23,0,0,,
11,10-C-74-41,Ctr-Swarna-Poli-Poli,Pillamedu,4,47,0,0,,
12,10-C-74-41,Ctr-Swarna-Poli-Poli,Mamidigunta,2,38,0,0,,
13,10-C-74-41,Ctr-Swarna-Poli-Poli,Kasaram,7,151,0,0,,
14,10-C-74-41,Ctr-Swarna-Poli-Poli,Rambatlapalli,3,276,0,0,,
15,10-C-74-41,Ctr-Swarna-Poli-Poli,Gottipudi,4,339,0,0,,
16,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakanaparthi,8,102,0,0,,
17,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Thottambedu,0,0,20,115,,
18,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,CRN kandriga,0,0,1,20,,
19,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Edulagunta,1,10,0,0,,
20,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Poyya,10,471,0,0,,
21,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Karlapudi,1,169,0,0,,
22,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Tatiparti,7,46,0,0,,
23,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gurukulapalem,3,324,0,0,,
24,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gummadigaunta,0,0,6,372,,
25,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chinnasingamala,1,2,0,0,,
26,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pudi,0,0,9,128,,
27,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,I laganuru,5,199,0,0,,
28,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konathaneri,0,0,3,231,,
29,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pennela Padu,0,0,3,213,,
30,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konnali,3,57,0,0,,
31,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakannali,5,189,0,0,,
