Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
1,10-C-74-41,Ctr-Swarna-Poli-Poli,35,Anantapadmanabhapuram,0,0,0,0
2,10-C-74-41,Ctr-Swarna-Poli-Poli,49,Appalayagunta,0,845,845,46475
3,10-C-74-41,Ctr-Swarna-Poli-Poli,19,Bahudur venkatapuram,0,825,825,45375
4,10-C-74-41,Ctr-Swarna-Poli-Poli,12,Bhimavaram,0,510,510,28050
5,10-C-74-41,Ctr-Swarna-Poli-Poli,11,Poli,0,591,591,32505
6,10-C-74-41,Ctr-Swarna-Poli-Poli,,Vampalle,0,478,478,26290
7,10-C-74-41,Ctr-Swarna-Poli-Poli,5,Chemuru,0,818,818,44990
8,10-C-74-41,Ctr-Swarna-Poli-Poli,3,Chiyyavaram,0,1801,1801,99055
9,10-C-74-41,Ctr-Swarna-Poli-Poli,6,Kondachenukandriga,0,0,0,0
10,10-C-74-41,Ctr-Swarna-Poli-Poli,10,Dainedu,390,0,390,21450
11,10-C-74-41,Ctr-Swarna-Poli-Poli,9,Pillamedu,660,0,660,36300
12,10-C-74-41,Ctr-Swarna-Poli-Poli,8,Mamidigunta,293,0,293,16115
13,10-C-74-41,Ctr-Swarna-Poli-Poli,7,Kasaram,1708,0,1708,93940
14,10-C-74-41,Ctr-Swarna-Poli-Poli,2,Rambatlapalli,505,0,505,27775
15,10-C-74-41,Ctr-Swarna-Poli-Poli,1,Gottipudi,557,0,557,30635
16,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Peddakanaparthi,1773,0,1773,97515
17,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Thottambedu,0,2914,2914,160270
18,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,CRN kandriga,0,279,279,15345
19,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Edulagunta,1600,0,1600,88000
20,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Poyya,1717,0,1717,94435
21,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Karlapudi,781,0,781,42955
22,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Tatiparti,398,0,398,21890
23,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Gurukulapalem,654,0,654,35970
24,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Gummadigaunta,0,192,192,10560
25,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Chinnasingamala,499,0,499,27445
26,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Pudi,0,1971,1971,108405
27,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,I laganuru,982,0,982,54010
28,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Konathaneri,0,2070,2070,113850
29,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Pennela Padu,0,547,547,30085
30,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Konnali,462,0,462,25410
31,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Peddakannali,5562,0,5562,305910
32,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Sambaiahpalem,0,1294,1294,71170
33,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Basavaiahpalem,0,1157,1157,63635
34,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Forest,0,0,0,0
35,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Chukkalanidigallu,0,912,912,50160
36,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Ramapuram,0,1360,1360,74800
37,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Sahasralingeswarapuram,0,0,0,0
38,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Sri Kalahasthi,0,10523,10523,578765
39,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Vedam,0,2094,2094,115170
40,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,,Modugulapalem,0,979,979,53845
41,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Tangellapalem,,1132,1132,62260
42,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Gowdamala,675,0,675,37125
43,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Routhusuramala,855,0,855,47025
44,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Forest,,0,0,0
45,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Parlapalli,1012,0,1012,55660
46,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Pallemala,1558,0,1558,85690
47,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Katuru,3309,0,3309,181995
48,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Bhavani sankarapuram,495,0,495,27225
49,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Alathuru,3088,0,3088,169840
50,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Taripedu,43,0,43,2365
51,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Chinnagunta,600,0,600,33000
52,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Putteri,791,0,791,43505
53,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Peddapalavedu,952,0,952,52360
54,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Vijayagopalapuram,876,0,876,48180
55,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,,Kananambedu,3553,0,3553,195415
56,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,,Adavaram,,2082,2082,114510
