,,7,"Command area",,0.3,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
1,"Ctr-Swarna-Poli-Poli","DW",1800,,40,80,270,,120,240,900,,120,240,1575,,40,90,180,,120,240,900,,120,240,1215,,40,90,,,,,900,,120,240
2,"Ctr-Swarna-Poli-Poli","DW+PS/DCB",2250,,40,80,900,,120,240,1575,,120,240,1800,,40,90,675,,120,240,1350,,120,240,2250,,40,90,,,,,1350,,120,240
3,"Ctr-Swarna-Poli-Poli","BWs",3375,,40,80,1350,,120,240,2025,,120,240,2700,,40,90,1125,,120,240,1800,,120,240,4500,,40,90,,,,,1800,,120,240
4,"Ctr-Swarna-Poli-Poli","STW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,1800,,120,240,2250,,120,240,6930,,40,90,,,,,2250,,120,240
5,"Ctr-Swarna-Poli-Poli","MTW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,2250,,120,240,14175,,40,90,,,,,2250,,120,240
6,"Ctr-Swarna-Poli-Poli","Deep TW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,4500,,120,240,20250,,40,90,,,,,4500,,120,240
7,"Ctr-Swarna-Poli-Poli","Filter Points",4950,,40,80,1620,,120,240,2250,,120,240,4500,,40,90,1620,,120,240,2250,,120,240,2250,,40,90,,,,,2250,,120,240
8,"Ctr-Swarna-Sri Kalahasti-Thottambedu","DW",1215,,40,80,270,,120,240,900,,120,240,1215,,40,90,180,,120,240,900,,120,240,1215,,40,90,,,,,900,,120,240
9,"Ctr-Swarna-Sri Kalahasti-Thottambedu","DW+PS/DCB",1350,,40,80,900,,120,240,1575,,120,240,1575,,40,90,675,,120,240,1350,,120,240,2250,,40,90,,,,,1350,,120,240
10,"Ctr-Swarna-Sri Kalahasti-Thottambedu","BWs",3150,,40,80,1350,,120,240,2025,,120,240,2475,,40,90,1125,,120,240,1800,,120,240,4500,,40,90,,,,,1800,,120,240
11,"Ctr-Swarna-Sri Kalahasti-Thottambedu","STW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,2250,,120,240,6930,,40,90,,,,,2250,,120,240
12,"Ctr-Swarna-Sri Kalahasti-Thottambedu","MTW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,2250,,120,240,14175,,40,90,,,,,2250,,120,240
13,"Ctr-Swarna-Sri Kalahasti-Thottambedu","Deep TW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,4500,,120,240,20250,,40,90,,,,,4500,,120,240
14,"Ctr-Swarna-Sri Kalahasti-Thottambedu","Filter Points",4950,,40,80,1620,,120,240,2250,,120,240,4500,,40,90,1620,,120,240,2250,,120,240,2250,,40,90,,,,,2250,,120,240
15,"Ctr-Kalangi-Katuru-Katuru","DW",1215,,40,80,270,,120,240,900,,120,240,1215,,40,90,180,,120,240,900,,120,240,1215,,40,90,,,,,900,,120,240
16,"Ctr-Kalangi-Katuru-Katuru","DW+PS/DCB",1350,,40,80,900,,120,240,1575,,120,240,1575,,40,90,675,,120,240,1350,,120,240,2250,,40,90,,,,,1350,,120,240
17,"Ctr-Kalangi-Katuru-Katuru","BWs",3150,,40,80,1350,,120,240,2025,,120,240,2475,,40,90,1125,,120,240,1800,,120,240,4500,,40,90,,,,,1800,,120,240
18,"Ctr-Kalangi-Katuru-Katuru","STW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,0,,40,90,,,,,0,,120,240
19,"Ctr-Kalangi-Katuru-Katuru","MTW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,0,,40,90,,,,,0,,120,240
20,"Ctr-Kalangi-Katuru-Katuru","Deep TW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,0,,40,90,,,,,0,,120,240
21,"Ctr-Kalangi-Katuru-Katuru","Filter Points",4950,,40,80,1620,,120,240,2250,,120,240,4500,,40,90,1620,,120,240,2250,,120,240,2250,,40,90,,,,,2250,,120,240
22,"Ctr-Kalangi-KVB Puram-KVB Puram","DW",1350,,40,80,270,,120,240,900,,120,240,1215,,40,90,180,,120,240,900,,120,240,1215,,40,90,,,,,900,,120,240
23,"Ctr-Kalangi-KVB Puram-KVB Puram","DW+PS/DCB",1800,,40,80,900,,120,240,1575,,120,240,1800,,40,90,675,,120,240,1350,,120,240,2250,,40,90,,,,,1350,,120,240
