S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,Ctr-Swarna-Poli-Poli,CTR_SWARNA__POLI_POLI-MB,12.05,3.5,8.81,4.5,6.22,1.81,5.95,2.12,1,0.5,1259.6,1167.2,92.4,1062.2,987.8,74.4
2,Ctr-Swarna-Sri Kalahasti-Thottambedu,CTR_SWARNA__SRIKALAHASTI_THOTTAMBEDU-MB,2.05,3.5,8.81,4.5,6.22,1.81,5.95,2.12,1,0.5,1259.6,1167.2,92.4,1062.2,987.8,74.4
3,Ctr-Kalangi-Katuru-Katuru,CTR_KALANGI__KATURU_KATURU-MB,12.71,1.41,8.03,2.69,9.89,2.11,8.42,3.79,1,0.5,719,442,277,464,323,141
4,Ctr-Kalangi-KVB Puram-KVB Puram,CTR_KALANGI__KVB PURAM_KVB PURAM-MB,15.96,3.46,15.31,5.04,11.23,2.11,10.26,3.79,1,0.5,1095.7,1001.4,94.3,1460.6,1232.8,227.8
5,Ctr_Kalangi_Nirpakota,CTR_KALANGI__RALLAERU_NIRPAKOTA-MB,6.82,0.85,6.12,1.6,7.17,6.66,7.29,6.55,1,0.5,1148.7,1030.5,118.2,1319.2,1179.4,139.8
6,Ctr-Arani-Nagalapuram-Nagalapuram,CTR_ARANI__ARANI_NARAYANAVANAM-MB,7.29,3.9,6.71,3.92,7.41,1.14,6.12,1.28,1,0.5,1293.8,1183,110.8,1267.8,1113.6,154.2
7,CTR_C_69_PAPAGHNI_KANDUKURU,CTR_PAPA_PAPAGHNI_KANDUKURU-MB,24.94,16.36,28.32,13.97,,,,,1,,735.3,640.4,94.9,582.4,453.2,129.2
8,Ctr_Papa_K Kota,CTR_PAPA_KADIRINADHUNIKOTA_V.KOTA-MB,31.54,23.25,32.56,22.65,,,,,1,,735.3,640.4,94.9,582.4,453.2,129.2
9,Ctr-Papa-PTM,CTR_PAPA_PTM VANKA_PTM-MB,31.54,23.25,32.56,22.65,,,,,1,,735.3,640.4,94.9,582.4,453.2,129.2
10,Ctr_Papa_Gummasamudram,CTR_PAPA_GUMMASAMUDRAM-MB,31.54,23.25,32.56,22.65,,,,,1,,612,539.5,72.4,427,325.8,101.2
11,Ctr-Papa-Molakalacheruvu,CTR_PAPA_MOLAKALACHERUVU-MB,31.04,20.47,30.56,22.65,,,,,1,,599.7,526.4,73.3,617.6,453.2,164.4
12,Ctr-Papa-Sompalle-Sompalle,CTR_PAPA_SOMPALLE_SOMPALLE-MB,34.65,24.35,33.06,27.84,,,,,1,,599.7,526.4,73.3,617.6,453.2,164.4
13,Ctr-Papa-Peddaeru east- Bandrevu,CTR_PAPA_PEDDAERU EAST _BANDREVU-MB,9.05,5.97,12.44,7.14,,,,,1,,801.5,712.1,89.4,532.4,431.6,100.8
14,Ctr-Papa-Mudivedu,CTR_PAPA_MUDIVEDU_THAMBALLPALLE-MB,21.85,15.16,22.75,17.5,,,,,1,,801.5,712.1,89.4,532.4,431.6,100.8
15,Ctr_Papa_Kush_Pedda,CTR_PAPA_KUSAVATI _PEDDAMANDYAM-MB,22.48,7.74,23.95,6.45,,,,,1,,636.1,546.1,90,611,488.6,122.4
