S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
1,10-C-74-41,Ctr-Swarna-Poli-Poli,Anantapadmanabhapuram,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,
2,10-C-74-41,Ctr-Swarna-Poli-Poli,Appalayagunta,,,,,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,
3,10-C-74-41,Ctr-Swarna-Poli-Poli,Bahudur venkatapuram,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,
4,10-C-74-41,Ctr-Swarna-Poli-Poli,Bhimavaram,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,
5,10-C-74-41,Ctr-Swarna-Poli-Poli,Poli,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,
6,10-C-74-41,Ctr-Swarna-Poli-Poli,Vampalle,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,
7,10-C-74-41,Ctr-Swarna-Poli-Poli,Chemuru,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,
8,10-C-74-41,Ctr-Swarna-Poli-Poli,Chiyyavaram,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
9,10-C-74-41,Ctr-Swarna-Poli-Poli,Kondachenukandriga,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
10,10-C-74-41,Ctr-Swarna-Poli-Poli,Dainedu,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11,10-C-74-41,Ctr-Swarna-Poli-Poli,Pillamedu,9,1.8,0,,,0,2,0.2,,,,,,,,,,,,,,,,,,,,,,
12,10-C-74-41,Ctr-Swarna-Poli-Poli,Mamidigunta,,0,,,,0,3,0.3,,,0,0,,,0,0,,,,,,,,,,,,,,
13,10-C-74-41,Ctr-Swarna-Poli-Poli,Kasaram,2,0.4,2,0.4,7,0.7,1,0.1,,,,,,,,,,,,,,,,,,,,,,
14,10-C-74-41,Ctr-Swarna-Poli-Poli,Rambatlapalli,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
15,10-C-74-41,Ctr-Swarna-Poli-Poli,Gottipudi,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
16,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakanaparthi,1,0.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
17,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Thottambedu,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
18,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,CRN kandriga,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
19,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Edulagunta,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
20,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Poyya,2,0.4,,0,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
21,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Karlapudi,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
22,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Tatiparti,,0,,0,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,
23,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gurukulapalem,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
24,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gummadigaunta,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
25,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chinnasingamala,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
26,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pudi,0,0,0,0,0,0,,,,,0,0,2,0.4,1,0.1,,,,,,,,,,,,,,
27,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,I laganuru,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
28,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konathaneri,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
29,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pennela Padu,,0,,0,0,0,,,,,,0,,0,2,0.2,,,,,,,,,,,,,,
30,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konnali,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
31,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakannali,1,0.2,0,0,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
32,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sambaiahpalem,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
33,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Basavaiahpalem,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
34,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Forest,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
35,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chukkalanidigallu,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
36,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Ramapuram,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
37,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sahasralingeswarapuram,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
38,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sri Kalahasthi,2,0.4,,0,3,0.3,,,,,,,,,,,,,,,,,,,,,,,,
39,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Vedam,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
40,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Modugulapalem,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
41,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Tangellapalem,4,0.8,,0,7,0.7,9,0.9,4,0.4,,0,,0,0,0,,0,,0,,,,,,,,,,
42,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Gowdamala,,0,,0,2,0.2,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
43,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Routhusuramala,1,0.2,2,0.4,1,0.1,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,
44,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Forest,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,
45,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Parlapalli,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,
