Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Singarampalem,1236,989,247,291,1236,0,,,,,,,
2,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,N.Tirupatirajapuram,678,678,,68,678,0,,,,,,,
3,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gandepalli,1244,1244,,,1244,0,,,,,,,
4,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Murari,2352,2117,235,470,2352,0,,,,,,,
5,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gadarada,1402,0,,,,1402,,,1402,,,,
6,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Narasapuram,1430,0,,,,1430,,,1430,,,,
7,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Jambupatnam,776,776,,,776,0,,,,,,,
8,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,N.Agraharam,197,0,,,,197,,,197,,,,
9,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Dosakayalapalli,885,885,,,885,0,,,,,,,
10,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Burugupudi,1722,1722,,,1722,0,,,,,,,
11,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Buchimpeta,702,702,,,702,0,,,,,,,
12,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Madhurapudi,1241,1241,,,1241,0,,,,,,,
13,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Nidigatla,1002,1002,,,1002,0,,,,,,,
14,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gadala,871,871,,,871,0,,,,,,,
15,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Mirtipadu,412,0,,,,412,,,412,,,,
16,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Hundeswarapuram,334,334,,,334,0,,,,,,,
17,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Mulakalanka,1013,1013,,,1013,0,,,,,,,
18,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,S.T.Rajapuram,391,391,,,391,0,,,,,,,
19,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Vadisaleru,2381,0,,,,2381,,,2381,,,,
20,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Nandarada,1015,1015,,,1015,0,,,,,,,
21,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kalavacherla,1973,1973,,,1973,0,,,,,,,
22,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Narendrapuram,1216,1216,,,1216,0,,,,,,,
23,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rajanagaram,945,945,,,945,0,,,,,,,
24,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,J.Agraharam,65,0,,,,65,,,65,,,,
25,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Venkatapuram,331,331,,,331,0,,,,,,,
26,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Velugubanda,1756,1756,,,1756,0,,,,,,,
27,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Palacherla,2792,0,,,,2792,,,2792,,,,
28,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kanavaram,2594,0,,,,2594,,,2594,,,,
29,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Torredu,1103,1103,,,1103,0,,,,,,,
30,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kolamuru,1556,1556,,,1556,0,,,,,,,
31,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kateru,435,435,,,435,0,,,,,,,
32,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rajahmundry(NMA),3108,3108,,,3108,0,,,,,,,
33,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Morampudi,754,0,,,,754,,,754,,,,
34,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Hukumpeta(U),227,0,,,,227,,,227,,,,
35,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Bommuru(U),652,0,,,,652,,,652,,,,
36,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rjajahmundry(M),1948,0,,,,1169,,779,1948,,,,
37,04_E_32_26-003,EG-G-Zk-Rangampet,Duppalapudi,866,866,,,866,0,,,,0,,,
38,04_E_32_26-003,EG-G-Zk-Rangampet,Anaparti,1807,1807,,,1807,0,,,,0,,,
39,04_E_32_26-003,EG-G-Zk-Rangampet,Koppavaram(LNpuram),380,380,,,380,0,,,,0,,,
40,04_E_32_26-003,EG-G-Zk-Rangampet,Vemagiri,897,897,,,897,0,,,,0,,,
41,04_E_32_26-003,EG-G-Zk-Rangampet,Kadiyam,2033,2033,,,2033,0,,,,0,,,
42,04_E_32_26-003,EG-G-Zk-Rangampet,Jegurupadu,2538,2538,,,2538,0,,,,0,,,
43,04_E_32_26-003,EG-G-Zk-Rangampet,Kesavaram,1422,1422,,,1422,0,,,,0,,,
44,04_E_32_26-003,EG-G-Zk-Rangampet,V.Seetayyapalem,1664,1664,,,1664,0,,,,0,,,
45,04_E_32_26-003,EG-G-Zk-Rangampet,Chinadwrapudi,94,0,,,,94,,,94,0,,,
46,04_E_32_26-003,EG-G-Zk-Rangampet,Dwarapudi,361,0,,,,361,,,361,0,,,
47,04_E_32_26-003,EG-G-Zk-Rangampet,Z.Medapadu,379,0,,,,379,,,379,0,,,
48,04_E_32_26-003,EG-G-Zk-Rangampet,Dowlaiswaram,762.348,0,,,,762,,,762,0,,,
49,04_E_32_26-003,EG-G-Zk-Rangampet,Rajavolu,483.992,0,,,,484,,,484,0,,,
50,04_E_32_26-003,EG-G-Zk-Rangampet,Srikrishnapatnam,1163.06,1163,,,1163,0,,,,0,,,
51,04_E_32_26-003,EG-G-Zk-Rangampet,Thokada,1886.24,1886,,,1886,0,,,,0,,,
52,04_E_32_26-003,EG-G-Zk-Rangampet,Mukkinada,983.79,984,,,984,0,,,,0,,,
53,04_E_32_26-003,EG-G-Zk-Rangampet,Pata Thungapadu,2180.85,2181,,,2181,0,,,,0,,,
54,04_E_32_26-003,EG-G-Zk-Rangampet,Bhupalapatnam,669.35,0,,,,669,,,669,0,,,
55,04_E_32_26-003,EG-G-Zk-Rangampet,G.Yerrampalem,1095.48,1095,,,1095,0,,,,0,,,
56,04_E_32_26-003,EG-G-Zk-Rangampet,Kondagunturu,1244.41,1244,,,1244,0,,,,0,,,
57,04_E_32_26-003,EG-G-Zk-Rangampet,Namavaram,836.89,837,,,837,0,,,,0,,,
58,04_E_32_26-003,EG-G-Zk-Rangampet,Rangampeta,1448.77,1448.77,,,1448.77,0,,,,0,,,
59,04_E_32_26-003,EG-G-Zk-Rangampet,Peda Rayavaram,645.88,645.88,,,645.88,0,,,,0,,,
60,04_E_32_26-003,EG-G-Zk-Rangampet,Kotapadu,1153.76,1153.76,,,1153.76,0,,,,0,,,
61,04_E_32_26-003,EG-G-Zk-Rangampet,Venkatapuram,514.76,514.76,,,514.76,0,,,,0,,,
62,04_E_32_26-003,EG-G-Zk-Rangampet,Subhadrampeta,439.89,439.89,,,439.89,0,,,,0,,,
63,04_E_32_26-003,EG-G-Zk-Rangampet,Mukundavaram,737.74,0,,,,738,,,738,0,,,
64,04_E_32_26-003,EG-G-Zk-Rangampet,Elakolanu,1438.25,0,,,,1438.25,,,1438.25,0,,,
65,04_E_32_26-003,EG-G-Zk-Rangampet,Pata Doddigunta,1217.29,1217.29,,,1217.29,0,,,,0,,,
66,04_E_32_26-003,EG-G-Zk-Rangampet,Marripadi,1129.07,1129.07,,,1129.07,0,,,,0,,,
67,04_E_32_26-003,EG-G-Zk-Rangampet,Singampalli,634.55,634.55,,,634.55,0,,,,0,,,
68,04_E_32_26-003,EG-G-Zk-Rangampet,Nallamilli,512.33,512.33,,,512.33,0,,,,0,,,
69,04_E_32_26-003,EG-G-Zk-Rangampet,G.Dontamuru,1310.77,1310.77,,,1310.77,0,,,,0,,,
70,04_E_32_26-003,EG-G-Zk-Rangampet,Veerampalem,620.38,620.38,,,620.38,0,,,,0,,,
71,04_E_32_26-003,EG-G-Zk-Rangampet,Balabhadrapuram,1887.68596,1888,,,1888,0,,,,0,,,
72,04_E_32_26-003,EG-G-Zk-Rangampet,Kapavaram,1085.75,1086,,,1086,0,,,,0,,,
73,04_E_32_26-003,EG-G-Zk-Rangampet,Rangapuram,739,739,,,739,0,,,,0,,,
74,04_E_32_26-003,EG-G-Zk-Rangampet,Tummalapalli,173.20288,173,,,173,0,,,,0,,,
75,04_E_32_26-003,EG-G-Zk-Rangampet,Rallakandrika,81,0,,,,81,,,81,0,,,
76,04_E_32_26-003,EG-G-Zk-Rangampet,Illapalli,501,0,,,,501,,,501,0,,,
77,04_E_32_26-003,EG-G-Zk-Rangampet,Peda Brahmadevam,1716,1716,,,1716,0,,,,0,,,
78,04_E_32_26-003,EG-G-Zk-Rangampet,G.Medapadu,1790,1790,,,1790,0,,,,0,,,
79,04_E_32_26-003,EG-G-Zk-Rangampet,Surampalem,1206,1206,,,1206,0,,,,0,,,
80,04_E_32_26-003,EG-G-Zk-Rangampet,Valutimmapuram,611,611,,,611,0,,,,0,,,
81,04_E_32_26-003,EG-G-Zk-Rangampet,Anuru,1539,1539,,,1539,0,,,,0,,,
82,04_E_32_26-003,EG-G-Zk-Rangampet,Rayabhupalapatnam,1502,1502,,,1502,0,,,,0,,,
83,04_E_32_26-003,EG-G-Zk-Rangampet,Chinabrahmadevaram,1032,1032,,,1032,0,,,,0,,,
84,04_E_32_26-003,EG-G-Zk-Rangampet,Rameswaram,261,0,,,,261,,,261,0,,,
85,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Rajupalem,294.61,294.61,,,294.61,0,,,,0,,,
86,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Veeravaram,693.63,693.63,,,693.63,0,,,,0,,,
87,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mukkollu,534.99,534.99,,,534.99,0,,,,0,,,
88,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Tamarada,416.02,416.02,,,416.02,0,,,,0,,,
89,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Burugupudi,1009.28,1009.28,,,1009.28,0,,,,0,,,
90,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Krishnavaram,368.67,368.67,,,368.67,0,,,,0,,,
91,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Goneda,494.92,494.92,,,494.92,0,,,,0,,,
92,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Somavaram,907.3,907.3,,,907.3,0,,,,0,,,
93,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kandarada,237.55,237.55,,,237.55,0,,,,0,,,
94,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kumarapuram,313.63,313.63,,,313.63,0,,,,0,,,
95,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Jalluru,330.22,330.22,,,330.22,0,,,,0,,,
96,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Govindarajupalem,131.52,131.52,,,131.52,0,,,,0,,,
97,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Fakrudinpalem,239.98,239.98,,,239.98,0,,,,0,,,
98,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mallam,556.44,556.44,,,556.44,0,,,,0,,,
99,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Virawada,668.54,668.54,,,668.54,0,,,,0,,,
100,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Veeraraghavapuram,276.8,276.8,,,276.8,0,,,,0,,,
101,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mangiturti,300.68,300.68,,,300.68,0,,,,0,,,
102,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kolanka,687.15,687.15,,,687.15,0,,,,0,,,
103,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Jammulapalli,190.2,190.2,,,190.2,0,,,,0,,,
104,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Pithapuram,1883,1883,,,1883,0,,,,0,,,
105,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Madhavapuram,395.78,395.78,,,395.78,0,,,,0,,,
106,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Navakandrawada,123.02,123.02,,,123.02,0,,,,0,,,
107,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Agraharam ,490.07,490.07,,,490.07,0,,,,0,,,
108,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Chitrada,378.78,378.78,,,378.78,0,,,,0,,,
109,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Illindarada,114.12,114.12,,,114.12,0,,,,0,,,
110,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Somavaram,250.5,250.5,,,250.5,0,,,,0,,,
111,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Virava,378.38,378.38,,,378.38,0,,,,0,,,
112,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kondevaram,566,566,,,566,0,,,,0,,,
113,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Yendpalli,1050,1050,,,1050,0,,,,0,,,
114,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Vakatippa,247,247,,,247,0,,,,0,,,
115,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kottapalli,405,405,,,405,0,,,,0,,,
116,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kutukudumilli,311,311,,,311,0,,,,0,,,
117,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Subbampeta,91,91,,,91,0,,,,0,,,
118,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Gorsa,349,349,,,349,0,,,,0,,,
119,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Komaragiri,1677,1677,,,1677,0,,,,0,,,
120,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Uppada,137.19,137.19,,,137.19,0,,,,0,,,
121,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Aminabada,239.17,239.17,,,239.17,0,,,,0,,,
122,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Chadalada,183.73,183.73,,,183.73,0,,,,0,,,
123,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Divili,213.27,213.27,,,213.27,0,,,,0,,,
124,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Gudiwada,61.92,61.92,,,61.92,0,,,,0,,,
125,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Gorinta,167.13,167.13,,,167.13,0,,,,0,,,
126,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,G.Ragampeta,859.95,859.95,,,859.95,0,,,,0,,,
127,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,J.Timmapuram,822.72,822.72,,,822.72,0,,,,0,,,
128,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kandrakota,521.23,521.23,,,521.23,0,,,,0,,,
129,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kattamuru,951.41,951.41,,,951.41,0,,,,0,,,
130,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Marlova,241.19,241.19,,,241.19,0,,,,0,,,
131,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Pulimeru,309.58,309.58,,,309.58,0,,,,0,,,
132,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Peddapuram,3910,3910,,,3910,0,,,,0,,,
133,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Siriwada,151.35,151.35,,,151.35,0,,,,0,,,
134,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Tirupati,121.81,121.81,,,121.81,0,,,,0,,,
135,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Tadiparti,547.54,547.54,,,547.54,0,,,,0,,,
136,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Ulimeswram,282.47,282.47,,,282.47,0,,,,0,,,
137,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Vadlamuru,224.6,224.6,,,224.6,0,,,,0,,,
138,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Chandramampalli,121.41,121.41,,,121.41,0,,,,0,,,
