,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
2,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Singarampalem,8,4,0,0,0,0,12
3,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,N.Tirupatirajapuram,0,6,,,0,0,6
4,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gandepalli,5,5,,,0,0,10
5,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Murari,3,9,,,0,0,12
6,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gadarada,0,0,17,6,0,0,23
7,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Narasapuram,0,0,12,9,0,0,21
8,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Jambupatnam,17,1,,,0,0,18
9,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,N.Agraharam,0,0,1,1,0,0,2
10,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Dosakayalapalli,13,12,,,0,0,25
11,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Burugupudi,18,7,,,0,0,25
12,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Buchimpeta,1,2,,,0,0,3
13,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Madhurapudi,4,9,,,0,0,13
14,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Nidigatla,2,8,,,0,0,10
15,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gadala,6,6,,,0,0,12
16,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Mirtipadu,,,0,4,0,0,4
17,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Hundeswarapuram,0,7,,,0,0,7
18,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Mulakalanka,4,6,,,0,0,10
19,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,S.T.Rajapuram,0,2,,,0,0,2
20,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Vadisaleru,0,0,,7,0,0,7
21,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Nandarada,0,30,,,0,0,30
22,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kalavacherla,0,30,,,0,0,30
23,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Narendrapuram,0,25,,,0,0,25
24,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rajanagaram,0,8,,,0,0,8
25,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,J.Agraharam,0,0,,1,0,0,1
26,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Venkatapuram,0,5,,,0,0,5
27,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Velugubanda,0,5,,,0,0,5
28,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Palacherla,0,,,4,0,0,4
29,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kanavaram,0,,,5,0,0,5
30,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Torredu,0,4,,,0,0,4
31,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kolamuru,0,13,,,0,0,13
32,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kateru,0,12,,,0,0,12
33,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rajahmundry(NMA),0,0,,,0,0,0
34,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Morampudi,0,,,34,0,0,34
35,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Hukumpeta(U),0,0,,10,0,0,10
36,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Bommuru(U),0,,,30,0,0,30
37,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rjajahmundry(M),,0,,13,0,0,13
38,04_E_32_26-003,EG-G-Zk-Rangampet,Duppalapudi,0,2,0,0,,,2
39,04_E_32_26-003,EG-G-Zk-Rangampet,Anaparti,0,9,0,0,,,9
40,04_E_32_26-003,EG-G-Zk-Rangampet,Koppavaram(LNpuram),8,1,0,0,,,9
41,04_E_32_26-003,EG-G-Zk-Rangampet,Vemagiri,8,7,0,0,,,15
42,04_E_32_26-003,EG-G-Zk-Rangampet,Kadiyam,11,5,0,0,,,16
43,04_E_32_26-003,EG-G-Zk-Rangampet,Jegurupadu,28,1,0,0,,,29
44,04_E_32_26-003,EG-G-Zk-Rangampet,Kesavaram,0,5,0,0,,,5
45,04_E_32_26-003,EG-G-Zk-Rangampet,V.Seetayyapalem,0,5,0,0,,,5
46,04_E_32_26-003,EG-G-Zk-Rangampet,Chinadwrapudi,0,1,0,0,,,1
47,04_E_32_26-003,EG-G-Zk-Rangampet,Dwarapudi,0,0,0,8,,,8
48,04_E_32_26-003,EG-G-Zk-Rangampet,Z.Medapadu,0,0,0,0,,,0
49,04_E_32_26-003,EG-G-Zk-Rangampet,Dowlaiswaram,0,0,0,13,,,13
