,,,,"CA","NCA","PQA",,,
,,,,"Industrial","Industrial","Industrial",,,
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total ",,
2,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Singarampalem",0,,0,0,,
3,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","N.Tirupatirajapuram",,,0,0,,
4,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gandepalli",6,,0,6,,
5,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Murari",6,,0,6,,
6,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gadarada",,4,0,4,,
7,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Narasapuram",,4,0,4,,
8,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Jambupatnam",8,,0,8,,
9,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","N.Agraharam",,,0,0,,
10,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Dosakayalapalli",5,,0,5,,
11,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Burugupudi",12,,0,12,,
12,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Buchimpeta",1,,0,1,,
13,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Madhurapudi",5,,0,5,,
14,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Nidigatla",,,0,0,,
15,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gadala",7,,0,7,,
16,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Mirtipadu",,4,0,4,,
17,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Hundeswarapuram",1,,0,1,,
18,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Mulakalanka",,,0,0,,
19,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","S.T.Rajapuram",,,0,0,,
20,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Vadisaleru",,,0,0,,
21,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Nandarada",3,,0,3,,
22,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kalavacherla",3,,0,3,,
23,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Narendrapuram",3,,0,3,,
24,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Rajanagaram",35,,0,35,,
25,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","J.Agraharam",,,0,0,,
26,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Venkatapuram",3,,0,3,,
27,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Velugubanda",1,,0,1,,
28,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Palacherla",,4,0,4,,
29,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kanavaram",,5,0,5,,
30,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Torredu",,,0,0,,
31,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kolamuru",9,,0,9,,
32,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kateru",10,,0,10,,
33,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Rajahmundry(NMA)",,,0,0,,
34,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Morampudi",,37,0,37,,
35,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Hukumpeta(U)",,,0,0,,
36,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Bommuru(U)",,12,0,12,,
37,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Rjajahmundry(M)",,,0,0,,
38,"04_E_32_26-003","EG-G-Zk-Rangampet","Duppalapudi",28,0,,28,,
39,"04_E_32_26-003","EG-G-Zk-Rangampet","Anaparti",53,0,,53,,
40,"04_E_32_26-003","EG-G-Zk-Rangampet","Koppavaram(LNpuram)",0,0,,0,,
41,"04_E_32_26-003","EG-G-Zk-Rangampet","Vemagiri",12,0,,12,,
42,"04_E_32_26-003","EG-G-Zk-Rangampet","Kadiyam",39,0,,39,,
43,"04_E_32_26-003","EG-G-Zk-Rangampet","Jegurupadu",4,0,,4,,
44,"04_E_32_26-003","EG-G-Zk-Rangampet","Kesavaram",20,0,,20,,
45,"04_E_32_26-003","EG-G-Zk-Rangampet","V.Seetayyapalem",0,0,,0,,
