,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP",
7,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Singarampalem",0,0,0,9,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","N.Tirupatirajapuram",0,0,0,30,86,26,0,,,,,,,,0,0,0,0,0,0,0,
9,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gandepalli",0,0,0,14,6,45,0,,,,,,,,0,0,0,0,0,0,0,
10,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Murari",0,0,0,20,165,80,0,,,,,,,,0,0,0,0,0,0,0,
11,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gadarada",0,0,0,0,0,0,0,,,,24,,,22,0,0,0,0,0,0,0,
12,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Narasapuram",0,0,0,0,0,0,0,,,,,,,4,0,0,0,0,0,0,0,
13,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Jambupatnam",0,0,0,0,0,0,27,,,,,,,,0,0,0,0,0,0,0,
14,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","N.Agraharam",0,0,0,0,0,0,0,,,,,,,4,0,0,0,0,0,0,0,
15,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Dosakayalapalli",0,0,0,3,0,20,30,,,,,,,,0,0,0,0,0,0,0,
16,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Burugupudi",0,20,25,30,35,0,47,,,,,,,,0,0,0,0,0,0,0,
17,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Buchimpeta",0,3,5,8,10,18,20,,,,,,,,0,0,0,0,0,0,0,
18,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Madhurapudi",0,10,15,19,25,35,75,,,,,,,,0,0,0,0,0,0,0,
19,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Nidigatla",0,0,0,50,60,40,87,,,,,,,,0,0,0,0,0,0,0,
20,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gadala",0,0,0,9,18,12,20,,,,,,,,0,0,0,0,0,0,0,
21,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Mirtipadu",,,,,,,,0,0,0,0,0,0,47,0,0,0,0,0,0,0,
22,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Hundeswarapuram",0,0,0,1,2,5,55,,,,,,,,0,0,0,0,0,0,0,
23,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Mulakalanka",0,0,2,2,4,6,40,,,,,,,,0,0,0,0,0,0,0,
24,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","S.T.Rajapuram",0,0,0,0,2,2,0,,,,,,,,0,0,0,0,0,0,0,
25,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Vadisaleru",0,0,0,0,0,0,0,,,14,17,19,20,22,0,0,0,0,0,0,0,
26,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Nandarada",0,0,21,21,22,24,25,,,,,,,,0,0,0,0,0,0,0,
27,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kalavacherla",0,22,24,25,26,28,36,,,,,,,,0,0,0,0,0,0,0,
28,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Narendrapuram",0,14,14,16,25,36,30,,,,,,,,0,0,0,0,0,0,0,
29,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Rajanagaram",0,0,1,,4,1,0,,,,,,,,0,0,0,0,0,0,0,
30,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","J.Agraharam",0,0,0,0,0,0,0,,,,,,1,,0,0,0,0,0,0,0,
31,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Venkatapuram",0,2,2,2,8,9,25,,,,,,,,0,0,0,0,0,0,0,
