S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,,,,,,,,,,,,
1,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Singarampalem,2560,0.4,0.8,45,1.4788225099,0.0037857856,15,120,0,6.8144141258,0,6.8144141258,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,27,Gandepalli,04042270010101,001,Singarampalem
2,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,N.Tirupatirajapuram,1040,0.3,0.45,45,0.9591168825,0.0009974816,15,120,0,1.795466804,0,1.795466804,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,27,Gandepalli,04042270040104,004,N.Tirupatirajapuram
3,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gandepalli,4125,0.8,3.1,45,4.4576450199,0.0183877857,15,120,0,33.0980142726,0,33.0980142726,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,27,Gandepalli,04042270030103,003,Gandepalli
4,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Murari,4140,0.6,2,45,3.0182337649,0.0124954878,15,120,0,22.4918780161,0,22.4918780161,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,27,Gandepalli,04042270020102,002,Murari
5,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gadarada,6750,0.6,1.5,45,2.5182337649,0.0169980779,15,120,0,30.5965402436,0,30.5965402436,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160100111,010,Gadarada
6,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Narasapuram,3875,0.4,0.6,45,1.2788225099,0.0049554372,15,120,0,8.9197870068,0,8.9197870068,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160100109,008,Narasapuram
7,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Jambupatnam,1040,0.7,2.5,45,3.6879393924,0.003835457,15,120,0,6.9038225426,0,6.9038225426,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160070107,007,Jambupatnam
8,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,N.Agraharam,2650,0.6,1.95,45,2.9682337649,0.0078658195,15,120,0,14.1584750586,0,14.1584750586,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160110100,011,N.Agraharam
9,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Dosakayalapalli,1960,0.4,0.9,45,1.5788225099,0.0030944921,15,120,0,5.5700858151,0,5.5700858151,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160120112,012,Dosakayalapalli
10,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Burugupudi,2630,0.4,0.6,45,1.2788225099,0.0033633032,15,120,0,6.0539457621,0,6.0539457621,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160130113,013,Burugupudi
11,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Buchimpeta,1320,0.3,0.5,45,1.0091168825,0.0013320343,15,120,0,2.3976617127,0,2.3976617127,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160160117,016,Buchimpeta
12,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Madhurapudi,2560,0.3,0.6,45,1.1091168825,0.0028393392,15,120,0,5.1108105943,0,5.1108105943,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160170118,017,Madhurapudi
13,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Nidigatla,906,1.6,5.7,45,8.4152900398,0.0076242528,15,120,0,13.7236549968,0,13.7236549968,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160180119,018,Nidigatla
14,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gadala,307,1.5,8.45,45,10.9955844123,0.0033756444,15,120,0,6.0761599462,0,6.0761599462,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,16,Korukonda,04039160190120,019,Gadala
15,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Mirtipadu,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,15,Sithanagaram,04039150150115,015,Mirtipadu
16,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Hundeswarapuram,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,15,Sithanagaram,04039150160116,016,Hundeswarapuram
17,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Mulakalanka,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,15,Sithanagaram,04039150170117,017,Mulakalanka
18,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,S.T.Rajapuram,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,26,Rangampet,04042260010101,001,S.T.Rajapuram
19,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Vadisaleru,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,26,Rangampet,04042260020102,002,Vadisaleru
20,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Nandarada,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,28,Rajanagaram,04041280010101,001,Nandarada
21,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kalavacherla,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,28,Rajanagaram,04041280020102,002,Kalavacherla
22,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Narendrapuram,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,28,Rajanagaram,04041280030104,003,Narendrapuram
23,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rajanagaram,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,28,Rajanagaram,04041280040105,004,Rajanagaram
24,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,J.Agraharam,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,28,Rajanagaram,04041280050100,005,J.Agraharam
25,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Venkatapuram,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,28,Rajanagaram,04041280060105,006,Venkatapuram
26,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Velugubanda,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,28,Rajanagaram,04041280070108,007,Velugubanda
27,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Palacherla,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,28,Rajanagaram,04041280080110,008,Palacherla
28,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kanavaram,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,28,Rajanagaram,04041280100115,009,Kanavaram
29,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Torredu,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,29,Rajahmundry,04041290010101,1,Torredu
30,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kolamuru,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,29,Rajahmundry,04041290020202,2,Kolamuru
31,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kateru,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,29,Rajahmundry,04041290030103,3,Kateru
32,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rajahmundry(NMA),,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,29,Rajahmundry,040412900,4,Rajahmundry(NMA)
33,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Morampudi,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,29,Rajahmundry,04041290050106,5,Morampudi
34,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Hukumpeta(U),,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,29,Rajahmundry,04041290060106,6,Hukumpeta(U)
35,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Bommuru(U),,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,29,Rajahmundry,04041290070108,7,Bommuru(U)
36,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rjajahmundry(M),,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,04,East Godavari,30,Rajahmundry,04040810010000,1,Rjajahmundry(M)
37,04_E_32_26-003,EG-G-Zk-Rangampet,Duppalapudi,2750,0.45,1.5,45,2.2636753237,0.0062251071,3,120,0,2.2410385704,0,2.2410385704,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,33,Anaparthi,04041330010101,1,Duppalapudi
38,04_E_32_26-003,EG-G-Zk-Rangampet,Anaparti,2800,2.4,18,45,22.0729350596,0.0618042182,3,120,0,22.2495185401,0,22.2495185401,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,33,Anaparthi,04050330020103,2,Anaparti
39,04_E_32_26-003,EG-G-Zk-Rangampet,Koppavaram(LNpuram),133,1.77,6.1,45,9.1037896065,0.001210804,3,120,0,0.4358894464,0,0.4358894464,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,33,Anaparthi,04050330030104,3,Koppavaram(LNpuram)
40,04_E_32_26-003,EG-G-Zk-Rangampet,Vemagiri,552,1.61,6.1,45,8.8322606025,0.0048754079,15,120,0,8.7757341346,0,8.7757341346,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,31,Kadiam,04041310010101,1,Vemagiri
41,04_E_32_26-003,EG-G-Zk-Rangampet,Kadiyam,8780,1.92,13,45,16.2583480477,0.1427482959,3,120,0,51.3893865092,0,51.3893865092,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,31,Kadiam,04041310020102,2,Kadiyam
42,04_E_32_26-003,EG-G-Zk-Rangampet,Jegurupadu,8000,2.78,24.38,45,29.0978164441,0.2327825316,3,120,0,83.8017113589,0,83.8017113589,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,31,Kadiam,04041310030105,3,Jegurupadu
43,04_E_32_26-003,EG-G-Zk-Rangampet,Kesavaram,2500,2.4,18,45,22.0729350596,0.0551823376,3,120,0,19.8656415537,0,19.8656415537,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,32,Mandapeta,04052320010101,1,Kesavaram
44,04_E_32_26-003,EG-G-Zk-Rangampet,V.Seetayyapalem,225,1.8,6.1,45,9.1547012947,0.0020598078,15,120,0,3.7076540244,0,3.7076540244,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,32,Mandapeta,04052320020102,2,V.Seetayyapalem
45,04_E_32_26-003,EG-G-Zk-Rangampet,Chinadwrapudi,2250,1.46,5.4,45,7.8777021613,0.0177248299,15,120,0,31.9046937532,0,31.9046937532,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,32,Mandapeta,04052320030102,3,Chinadwrapudi
46,04_E_32_26-003,EG-G-Zk-Rangampet,Dwarapudi,365,1.77,6.1,45,9.1037896065,0.0033228832,3,120,0,1.1962379543,0,1.1962379543,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,32,Mandapeta,04052320040102,4,Dwarapudi
47,04_E_32_26-003,EG-G-Zk-Rangampet,Z.Medapadu,990,1.77,6.1,45,9.1037896065,0.0090127517,3,120,0,3.2445906157,0,3.2445906157,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,32,Mandapeta,04052320050103,5,Z.Medapadu
48,04_E_32_26-003,EG-G-Zk-Rangampet,Dowlaiswaram,1735,0.4,1.2,45,1.8788225099,0.0032597571,15,120,0,5.8675626985,0,5.8675626985,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,29,Rajahmundry,04041290080109,8,Dowlaiswaram
49,04_E_32_26-003,EG-G-Zk-Rangampet,Rajavolu,2220,0.45,1.5,45,2.2636753237,0.0050253592,15,120,0,9.0456465934,0,9.0456465934,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,29,Rajahmundry,04041290090110,9,Rajavolu
50,04_E_32_26-003,EG-G-Zk-Rangampet,Srikrishnapatnam,5000,0.45,2.5,45,3.2636753237,0.0163183766,15,120,0,29.3730779131,0,29.3730779131,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280090114,010,Srikrishnapatnam
51,04_E_32_26-003,EG-G-Zk-Rangampet,Thokada,8500,0.9,2.5,45,4.0273506474,0.0342324805,15,120,0,61.6184649047,0,61.6184649047,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280110117,011,Thokada
52,04_E_32_26-003,EG-G-Zk-Rangampet,Mukkinada,5500,0.75,2.5,45,3.7727922061,0.0207503571,15,120,0,37.3506428407,0,37.3506428407,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280120118,012,Mukkinada
