"GW Watershed Name","Iwm basin names","GW Village Name","iwm village names"
"EG_G_LGD_ Rcpuram","RAMACHANDRAPURAM-MB","A.K.Agraharam","Ambikapalle Agraharam"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","A.Kottapalli","A. Kothapalle"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","A.Mallavaram","A. Mallavaram"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","A.V.Nagaram","A.V.Nagaram"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","A.VEERAVARAM","A. Veeravaram"
"EG-G-LGD- Amalapuram","AMALAPURAM-MB","A.Vemavaram","A. Vemavaram"
"EG-G-LGD- Mamidikuduru","MAMIDIKUDURU-MB","Aadurru","Adurru"
"EG_G_LGD_ Alamuru","ALAMURU-MB","Aalamuru","Alamuru-2"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Achampeta","Atchampeta"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","Achayyapeta","Atchiyyapeta"
"EG-G-BkNe-Gangavaram","EG-G-BKNE-GANGAVARAM-MB","Achyutapuram","Atchutapuram-1"
"EG_G_LGD_ Kgangavaram","KGANGAVARAMU-MB","Addapalli","Addampalle"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","ADDARIVALASA","Addarivalasa"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","Addateegala","Addateegala-1"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Agraharam ","Agraharam (Rural)"
"EG-G-LGD- Ainavilli","AINAVILLI-MB","Ainvilli","Ainavilli"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","AKUMAMIDIKOTA","Akumamidikota"
"EG-G-Mv- Kondamodalu","EG-G-MV-KONDAMODALU-MB","AKURU","Akuru"
"EG_G_GD_ Allavaram","ALLAVARAM-MB","Allavaram","Allavaram-1"
"EG-MHG-ThW-Tuni","EG-MHG-THW-TUNI-MB","Allipudi","Allipudi"
"EG-G-Sb- Vattigedda","EG-G-SB2-VATTIGEDDA-MB","Allurigedda","Allurigedda"
"EG-G-LGD- Amalapuram","AMALAPURAM-MB","Amalapuram(R)","Amalapuram (Rural)"
"EG-G-LGD- Amalapuram","AMALAPURAM-MB","Amalapuram(U)","Amalapuram (M)"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Amaravilli","Amaravalli"
"EG-MHG-Dg- Bornagudem","EG-MHG-DG-BORNAGUDEM-MB","Ameenabada","Aminabada-1"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Aminabada","Aminabada-2"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","AMMAPETA","Ammapeta"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","AMMIREKALA","Ammirekala"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Ammirekhala","Ammirekhala"
"EG-G-BkNe-Gangavaram","EG-G-BKNE-GANGAVARAM-MB","Amudalabonda","Amudalabanda"
"EG_G_LGD_ Kgangavaram","KGANGAVARAMU-MB","Amujuru","Amjuru"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","ANANTHAGIRI","Ananthagiri-1"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Anantharam","Anantharam"
"EG-G-Zk-Rangampet","EG-G-ZK-RANGAMPETA-MB","Anaparti","Anaparthy"
"EG-G-LGD- Mummidivaram","MUMMIDIVARAMU-MB","Anatavaram","Ananthavaram-7"
"EG_G_LGD_ Kajuluru","KAJULURU-MB","Andragi","Andrangi"
"EG_G_LGD_ Kpuram","KAPILESWARAPURAM-MB","Angara","Angara-1"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","ANGULURU","Anguluru"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","Anigeru","Anigeru"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Ankampalem","Ankampalem"
"EG-G-LGD- Atreyapuram","ATREYAPURAM-MB","Ankampalem","Ankampalem"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","ANNAMPALEM","Annampalem"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Annampalem","Annampalem"
"EG-G-LGD- Mummidivaram","MUMMIDIVARAMU-MB","Annampalli","Andrangi"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Annavaram","Annavaram-7"
"EG_G_LGD_ Sakhinetipalli","SAKHINETIPALLE-MB","Antervedi","Antarvedi"
"EG_G_LGD_ Sakhinetipalli","SAKHINETIPALLE-MB","Antervedipalem","Antarvedipalem"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Anukulapalem","Anukulapalem"
