,,,,,,,, Command,,,,Non command,,,,Poor command,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,EG_G_GD_ Allavaram,Soft rock,16,16,,,119.4026,119.4026,0,0,119.4026,0,0,0,0,0,0,0,0
2,EG_G_LGD_ Alamuru,Soft rock,16,16,,,78.3268,78.3268,0,0,78.3268,0,0,0,0,0,0,0,0
3,EG_G_LGD_ Kajuluru,Soft rock,16,16,,,116.351,116.351,0,0,116.351,0,0,0,0,0,0,0,0
4,EG_G_LGD_ Katrenikona,Soft rock,16,16,,,135.93,135.93,0,0,135.93,0,0,0,0,0,0,0,0
5,EG_G_LGD_ Kgangavaram,Soft rock,16,16,,,98.6377,98.6377,0,0,98.6377,0,0,0,0,0,0,0,0
6,EG_G_LGD_ Kothapeta,Soft rock,16,16,,,79.0874,79.0874,0,0,79.0874,0,0,0,0,0,0,0,0
7,EG_G_LGD_ Kpuram,Soft rock,16,16,,,104.2466,104.2466,0,0,104.2466,0,0,0,0,0,0,0,0
8,EG_G_LGD_ Ravulapalem,Soft rock,16,16,,,71.8279,71.8279,0,0,71.8279,0,0,0,0,0,0,0,0
9,EG_G_LGD_ Rayavaram,Soft rock,16,16,,,79.8321,79.8321,0,0,79.8321,0,0,0,0,0,0,0,0
10,EG_G_LGD_ Razole,Soft rock,16,16,,,79.8907,79.8907,0,0,79.8907,0,0,0,0,0,0,0,0
11,EG_G_LGD_ Rcpuram,Soft rock,16,16,,,116.0323,116.0323,0,0,116.0323,0,0,0,0,0,0,0,0
12,EG_G_LGD_ Sakhinetipalli,Soft rock,16,16,,,99.5177,99.5177,0,0,99.5177,0,0,0,0,0,0,0,0
13,EG_G_LGD_ Tallarevu,Soft rock,16,16,,,128.3538,128.3538,0,0,128.3538,0,0,0,0,0,0,0,0
14,EG_G_LGD_ Upplguptam,Soft rock,16,16,,,116.81,116.81,0,0,116.81,0,0,0,0,0,0,0,0
15,EG_G_LGD_Karapa,Soft rock,16,16,,,107.5327,107.5284,0,0,107.5284,0,0,0,0,0,0,0,0
16,EG_G_LGD_Malkipurm,Soft rock,16,16,,,87.2612,87.2612,0,0,87.2612,0,0,0,0,0,0,0,0
17,EGG_LGD_ Ambajipeta,Soft rock,16,16,,,53.8906,53.8906,0,0,53.8906,0,0,0,0,0,0,0,0
18,EG-G-BkNe-Gangavaram,Hard Rock,3,11,,,390.841,0,0,0,0,304.21239,86.62861,139.61949,390.841,0,0,0,0
