"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
2,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Singarampalem",6,48,,,,
3,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","N.Tirupatirajapuram",4,32,,,,
4,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gandepalli",9,116,,,,
5,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Murari",8,42,,,,
6,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gadarada",,,11,48,,
7,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Narasapuram",,,16,44,,
8,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Jambupatnam",6,38,,,,
9,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","N.Agraharam",,,6,29,,
10,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Dosakayalapalli",5,12,,,,
11,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Burugupudi",16,36,,,,
12,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Buchimpeta",,,,,,
13,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Madhurapudi",12,42,,,,
14,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Nidigatla",7,24,,,,
15,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gadala",8,28,,,,
16,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Mirtipadu",,,,,,
17,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Hundeswarapuram",,,,,,
18,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Mulakalanka",,,,,,
19,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","S.T.Rajapuram",6,32,,,,
20,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Vadisaleru",27,98,,,,
21,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Nandarada",10,84,,,,
22,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kalavacherla",21,166,,,,
23,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Narendrapuram",11,88,,,,
24,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Rajanagaram",18,138,,,,
25,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","J.Agraharam",,,3,14,,
26,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Venkatapuram",3,14,,,,
27,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Velugubanda",24,164,,,,
28,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Palacherla",9,44,,,,
29,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kanavaram",2,12,,,,
30,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Torredu",,,,,,
31,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kolamuru",11,48,,,,
32,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kateru",1,4,,,,
33,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Rajahmundry(NMA)",,,,,,
34,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Morampudi",,,,,,
35,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Hukumpeta(U)",,,,,,
36,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Bommuru(U)",,,,,,
37,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Rjajahmundry(M)",,,,,,
38,"04_E_32_26-003","EG-G-Zk-Rangampet","Duppalapudi",12,36,,,,
39,"04_E_32_26-003","EG-G-Zk-Rangampet","Anaparti",9,44,,,,
40,"04_E_32_26-003","EG-G-Zk-Rangampet","Koppavaram(LNpuram)",3,15,,,,
41,"04_E_32_26-003","EG-G-Zk-Rangampet","Vemagiri",9,36,,,,
42,"04_E_32_26-003","EG-G-Zk-Rangampet","Kadiyam",,,,,,
43,"04_E_32_26-003","EG-G-Zk-Rangampet","Jegurupadu",,,,,,
