"Sr.No","watershed code","gw watershed name","Village code","village name","Population [command area]","Population [non command area]","total Population","LPCD"
1,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",1,"Singarampalem",1159,,1159,63745
2,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",4,"N.Tirupatirajapuram",3165,,3165,174075
3,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",3,"Gandepalli",5624,,5624,309320
4,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",2,"Murari",7606,,7606,418330
5,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",10,"Gadarada",,5614,5614,308770
6,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",8,"Narasapuram",,4187,4187,230285
7,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",7,"Jambupatnam",5861,,5861,322355
8,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",11,"N.Agraharam",,636,636,34980
9,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",12,"Dosakayalapalli",5399,,5399,296945
10,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",13,"Burugupudi",6822,,6822,375210
11,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",16,"Buchimpeta",2738,,2738,150590
12,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",17,"Madhurapudi",2710,,2710,149050
13,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",18,"Nidigatla",2866,,2866,157630
14,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",19,"Gadala",4778,,4778,262790
15,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",15,"Mirtipadu",,3334,3334,183370
16,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",16,"Hundeswarapuram",2988,,2988,164340
17,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",17,"Mulakalanka",1378,,1378,75790
18,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",1,"S.T.Rajapuram",1958,,1958,107690
19,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",2,"Vadisaleru",,8601,8601,473055
20,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",1,"Nandarada",3619,,3619,199045
21,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",2,"Kalavacherla",6456,,6456,355080
22,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",3,"Narendrapuram",5166,,5166,284130
23,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",4,"Rajanagaram",9696,,9696,533280
24,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",5,"J.Agraharam",,555,555,30525
25,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",6,"Venkatapuram",1238,,1238,68090
26,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",7,"Velugubanda",8169,,8169,449295
27,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",8,"Palacherla",,21393,21393,1176615
28,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",9,"Kanavaram",,6526,6526,358930
29,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",1,"Torredu",6145,,6145,337975
30,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",2,"Kolamuru",16581,,16581,911955
31,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram",3,"Kateru",22921,,22921,1260655
