,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,0,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
1,EG-G-BkS-Rajanagaram,DW,2259,100,30,90,875,32,120,240,0,12,120,240,2259,15,40,90,875,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
2,EG-G-BkS-Rajanagaram,DW+PS/DCB,4009,100,30,90,1531,32,120,240,0,12,120,240,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
3,EG-G-BkS-Rajanagaram,BWs,10787,100,30,90,6778,32,120,240,5248,12,120,240,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,40,90,,,,,5248,,120,240
4,EG-G-BkS-Rajanagaram,STW,15306,100,30,90,7289,32,120,240,7289,12,120,240,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,40,90,,,,,7289,,120,240
5,EG-G-BkS-Rajanagaram,MTW,23032,100,30,90,8746,32,120,240,8746,12,120,240,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,40,90,,,,,8746,,120,240
6,EG-G-BkS-Rajanagaram,Deep TW,30612,100,30,90,11662,32,120,240,11662,12,120,240,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,40,90,,,,,11662,,120,240
7,EG-G-BkS-Rajanagaram,Filter Points,13265,100,30,90,8309,32,120,240,6414,12,120,240,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,40,90,,,,,6414,,120,240
8,EG-G-Zk-Rangampet,DW,2259,100,30,90,875,32,120,240,0,12,120,240,2259,15,40,90,875,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
9,EG-G-Zk-Rangampet,DW+PS/DCB,4009,100,30,90,1531,32,120,240,0,12,120,240,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
10,EG-G-Zk-Rangampet,BWs,10787,100,30,90,6778,32,120,240,5248,12,120,240,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,40,90,,,,,5248,,120,240
11,EG-G-Zk-Rangampet,STW,15306,100,30,90,7289,32,120,240,7289,12,120,240,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,40,90,,,,,7289,,120,240
12,EG-G-Zk-Rangampet,MTW,23032,100,30,90,8746,32,120,240,8746,12,120,240,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,40,90,,,,,8746,,120,240
13,EG-G-Zk-Rangampet,Deep TW,30612,100,30,90,11662,32,120,240,11662,12,120,240,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,40,90,,,,,11662,,120,240
14,EG-G-Zk-Rangampet,Filter Points,13265,100,30,90,8309,32,120,240,6414,12,120,240,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,40,90,,,,,6414,,120,240
15,EG-MHG-Ylw- Eleswaram,DW,2259,100,30,90,875,32,120,240,0,12,120,240,2259,15,40,90,875,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
16,EG-MHG-Ylw- Eleswaram,DW+PS/DCB,4009,100,30,90,1531,32,120,240,0,12,120,240,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
17,EG-MHG-Ylw- Eleswaram,BWs,10787,100,30,90,6778,32,120,240,5248,12,120,240,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,40,90,,,,,5248,,120,240
18,EG-MHG-Ylw- Eleswaram,STW,15306,100,30,90,7289,32,120,240,7289,12,120,240,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,40,90,,,,,7289,,120,240
19,EG-MHG-Ylw- Eleswaram,MTW,23032,100,30,90,8746,32,120,240,8746,12,120,240,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,40,90,,,,,8746,,120,240
20,EG-MHG-Ylw- Eleswaram,Deep TW,30612,100,30,90,11662,32,120,240,11662,12,120,240,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,40,90,,,,,11662,,120,240
21,EG-MHG-Ylw- Eleswaram,Filter Points,13265,100,30,90,8309,32,120,240,6414,12,120,240,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,40,90,,,,,6414,,120,240
22,EG-G-BkW- Sitanagaram,DW,2259,100,30,90,875,32,120,240,0,12,120,240,2259,15,40,90,875,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
23,EG-G-BkW- Sitanagaram,DW+PS/DCB,4009,100,30,90,1531,32,120,240,0,12,120,240,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
