S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,EG-G-BkS-Rajanagaram,EG-G-BKS-RAJANAGARAM-MB,3.18,0.69,3.31,0.76,2.43,0.55,2.83,0.69,0.25,0.5,1194,785,409,1510.71,910.0,600.76
2,EG-G-Pm- Kutravada,EG-G-PM-KUTRAVADA-MB,8.74,5.87,7.52,6.39,,,,,1,,1274.5,860.5,414.0,1697.7000049591,1107.1,590.6
3,EG-G-Sb- Gudisa,EG-G-SB5-GUDISA-MB,8.74,5.87,7.52,6.39,,,,,1,,1347,911.0,436.0,1605.9999885559,1170.6,435.4
4,EG-G-Sb- Ijjaluru,EG-G-SB4-IJJALURU-MB,7.49,5.12,6.72,6.24,,,,,1,,1347,911.0,436.0,1510.7116685132,909.95,600.76
5,EG-G-Sb- Nelluru,EG-G-SB3-NELLURU-MB,7.49,5.12,7.16,5.67,,,,,1,,1202,810.0,392,1510.7116685132,909.95,600.76
6,EG-G-Sb-Donkarayi,EG-G-SB1-DONKARAYI-MB,4.79,1.57,3.94,1.54,,,,,1,,1202,810.0,392.0,1510.7116685132,909.95,600.76
7,EG-MHG-Pd- Y.Ramavaram,EG-MHG-PD-Y RAMAVARAM-MB,9.49,7.03,8.34,6.64,,,,,1,,1239.4,828.8,410.6,1510.7116685132,909.95,600.76
8,EG-G-Mv- Kondamodalu,EG-G-MV-KONDAMODALU-MB,7.09,3.29,6.1,3.71,,,,,1,,1298,887.3,410.7,1510.71,910.0,600.8
9,EG-G-Sp- Rchodavaram,EG-G-SP-RAMPACHODAVARAM-MB,10.2,7.81,9.9,8.15,,,,,1,,1298,887.3,410.7,1510.71,909.95,600.76
10,EG-MHG-Dg- Bornagudem,EG-MHG-DG-BORNAGUDEM-MB,5.56,1.91,4.15,2.22,,,,,1,,1299,856.7,442.7,1511,910.0,600.8
11,EG-MHG-Md- Jaddangi,EG-MHG-MD-JADDANGI-MB,7.9,4.51,6.33,4.72,,,,,1,,1365,926.0,439.0,1510.71,910.0,601
12,EG-MHG-Mg- Addateegala,EG-MHG-MG-ADDATEEGALA-MB,7.9,4.51,6.33,4.72,,,,,1,,1365,926.0,439.0,1510.71,910.0,600.8
13,EG-G-Zk-Rangampet,EG-G-ZK-RANGAMPETA-MB,30.18,27.77,31.53,26.47,5.61,1.26,4.62,2.12,0.25,0.5,1142,735.9,406.1,1510.7116685132,909.950001653,600.7616668602
14,EG-MHG-Ylw- Eleswaram,EG-MHG-YLW-ELESWARAM-MB,11.35,7.01,9.1,3.95,4.06,1.78,3.31,2.03,1,1,1150,701,449,1510.7116685132,909.950001653,600.7616668602
