"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
1,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Singarampalem",0,0,7,1.4,3,0.3,0,0,3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","N.Tirupatirajapuram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gandepalli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Murari",0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gadarada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Narasapuram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Jambupatnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","N.Agraharam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Dosakayalapalli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Burugupudi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Buchimpeta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Madhurapudi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Nidigatla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Gadala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Mirtipadu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Hundeswarapuram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Mulakalanka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","S.T.Rajapuram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Vadisaleru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Nandarada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Kalavacherla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Narendrapuram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Rajanagaram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","J.Agraharam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"04_E_31-3_28-004","EG-G-BkS-Rajanagaram","Venkatapuram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
