,,,,"Command Area",,"Non command Area",,"Poor quality area",,
,,,,"Residential",,"Residential",,"Residential",,
"Sr.no","Watershed code","GW watershed name","village name","DWDW/HP","DW PWS","DWDW/HP","DW PWS","DWDW/HP","DW PWS","Total"
2,"07-C-54-60","GNT_C_54_Amarthaluru","Kuchipudi",130,2,0,0,0.01,0.01,132.02
3,"07-C-54-60","GNT_C_54_Amarthaluru","Mulpur",93,1,0,0,0,0,94
4,"07-C-54-60","GNT_C_54_Amarthaluru","Pedapudi",80,1,0,0,0,0,81
5,"07-C-54-60","GNT_C_54_Amarthaluru","Koditadiparru",60,1,0,0,0,0,61
6,"07-C-54-60","GNT_C_54_Amarthaluru","Moparru",110,1,0,0,0,0,111
7,"07-C-54-60","GNT_C_54_Amarthaluru","Turumella",103,1,0,0,0,0,104
8,"07-C-54-60","GNT_C_54_Amarthaluru","Amartaluru",75,1,0,0,0,0,76
9,"07-C-54-60","GNT_C_54_Amarthaluru","Panchalavaram",86,1,0,0,80,0,167
10,"07-C-54-60","GNT_C_54_Amarthaluru","Govada",38,1,0,0,0,0,39
11,"07-C-54-60","GNT_C_54_Amarthaluru","Yalavarru",125,1,0,0,0,0,126
12,"07-C-54-60","GNT_C_54_Amarthaluru","Intur",122,1,0,0,0,0,123
13,"07-C-54-60","GNT_C_54_Amarthaluru","Pyapparru",65,1,0,0,0,0,66
14,"07-C-54-60","GNT_C_54_Amarthaluru","Bodapadu",92,1,0,0,50,0,143
15,"07-C-54-61","GNT_C_54_Bapatla","Gopapuram",21,1,0,0,30,0,52
16,"07-C-54-61","GNT_C_54_Bapatla","Poondla",24,1,0,0,24,0,49
17,"07-C-54-61","GNT_C_54_Bapatla","Etheru",47,1,0,0,45,0,93
18,"07-C-54-61","GNT_C_54_Bapatla","Palaparthipadu",9,1,0,0,8,0,18
19,"07-C-54-61","GNT_C_54_Bapatla","Gudipudi",6,1,0,0,4,0,11
20,"07-C-54-61","GNT_C_54_Bapatla","Neredupalli",43,1,0,0,40,0,84
21,"07-C-54-61","GNT_C_54_Bapatla","Bharthipudi",34,1,0,0,34,0,69
22,"07-C-54-61","GNT_C_54_Bapatla","Appikatla",34,1,0,0,31,0,66
23,"07-C-54-61","GNT_C_54_Bapatla","Velicherla",44,1,0,0,42,0,87
24,"07-C-54-48","GNT_C_54_Bhattiprollu","Sivangulapalem",15,1,0,0,0,0,16
25,"07-C-54-48","GNT_C_54_Bhattiprollu","Addepalli",70,1,0,0,0,0,71
26,"07-C-54-48","GNT_C_54_Bhattiprollu","Vellaturu",68,1,0,0,0,0,69
27,"07-C-54-48","GNT_C_54_Bhattiprollu","Pesaralanka",18,1,0,0,0,0,19
28,"07-C-54-48","GNT_C_54_Bhattiprollu","Pedalanka",40,1,0,0,0,0,41
29,"07-C-54-48","GNT_C_54_Bhattiprollu","Oleru",88,1,0,0,0,0,89
30,"07-C-54-48","GNT_C_54_Bhattiprollu","Gorigapudi",68,1,0,0,0,0,69
31,"07-C-54-48","GNT_C_54_Bhattiprollu","Pedapulivarru",106,1,0,0,0,0,107
32,"07-C-54-48","GNT_C_54_Bhattiprollu","Surepalle",118,1,0,0,0,0,119
33,"07-C-54-48","GNT_C_54_Bhattiprollu","Konetipuram",92,1,0,0,0,0,93
34,"07-C-54-48","GNT_C_54_Bhattiprollu","Pallekona",90,1,0,0,0,0,91
35,"07-C-54-48","GNT_C_54_Bhattiprollu","Bhattiprolu",130,1,0,0,0,0,131
36,"07-C-54-47","GNT-C-54-Cherukupalli","Rambhotlapalem",296,1,0,0,0,0,297
37,"07-C-54-47","GNT-C-54-Cherukupalli","Kavur",330,1,0,0,0,0,331
38,"07-C-54-47","GNT-C-54-Cherukupalli","Arumbaka",804,1,0,0,0,0,805
39,"07-C-54-47","GNT-C-54-Cherukupalli","Ponnpalli",43,1,0,0,0,0,44
40,"07-C-54-47","GNT-C-54-Cherukupalli","Nadimpalli",150,1,0,0,0,0,151
41,"07-C-54-47","GNT-C-54-Cherukupalli","Gudavalli",210,1,0,0,0,0,211
42,"07-C-54-47","GNT-C-54-Cherukupalli","Kanagala",381,1,0,0,0,0,382
43,"07-C-54-47","GNT-C-54-Cherukupalli","Rajavolu",208,1,0,0,0,0,209
44,"07-C-54-47","GNT-C-54-Cherukupalli","Arepalli",294,1,0,0,0,0,295
45,"07-C-54-47","GNT-C-54-Cherukupalli","Balusulapalem",48,1,0,0,0,0,49
46,"07-C-54-62","GNT-C-54-Duggirala","Chiluvuru",28,0,0,0,0,0,28
47,"07-C-54-62","GNT-C-54-Duggirala","Tummapudi",94,0.001,0,0,0,0,94.001
48,"07-C-54-62","GNT-C-54-Duggirala","Srungarapuram",33,0,0,0,0,0,33
49,"07-C-54-62","GNT-C-54-Duggirala","Pedakonduru",113,0,0,0,0,0,113
50,"07-C-54-62","GNT-C-54-Duggirala","Godavarru",40,0,0,0,0,0,40
51,"07-C-54-62","GNT-C-54-Duggirala","Chinapalem",15,0,0,0,0,0,15
