,,,,"CA","NCA","PQA",
,,,,"Industrial","Industrial","Industrial",
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total "
2,"07-C-54-60","GNT_C_54_Amarthaluru","Kuchipudi",0,0,0.01,0.01
3,"07-C-54-60","GNT_C_54_Amarthaluru","Mulpur",0,0,0,0
4,"07-C-54-60","GNT_C_54_Amarthaluru","Pedapudi",0,0,0,0
5,"07-C-54-60","GNT_C_54_Amarthaluru","Koditadiparru",0,0,0,0
6,"07-C-54-60","GNT_C_54_Amarthaluru","Moparru",0,0,0,0
7,"07-C-54-60","GNT_C_54_Amarthaluru","Turumella",0,0,0,0
8,"07-C-54-60","GNT_C_54_Amarthaluru","Amartaluru",2,0,0,2
9,"07-C-54-60","GNT_C_54_Amarthaluru","Panchalavaram",0,0,0,0
10,"07-C-54-60","GNT_C_54_Amarthaluru","Govada",0,0,0,0
11,"07-C-54-60","GNT_C_54_Amarthaluru","Yalavarru",0,0,0,0
12,"07-C-54-60","GNT_C_54_Amarthaluru","Intur",0,0,0,0
13,"07-C-54-60","GNT_C_54_Amarthaluru","Pyapparru",0,0,0,0
14,"07-C-54-60","GNT_C_54_Amarthaluru","Bodapadu",0,0,0,0
15,"07-C-54-61","GNT_C_54_Bapatla","Gopapuram",0,0,0,0
16,"07-C-54-61","GNT_C_54_Bapatla","Poondla",0,0,0,0
17,"07-C-54-61","GNT_C_54_Bapatla","Etheru",0,0,0,0
18,"07-C-54-61","GNT_C_54_Bapatla","Palaparthipadu",0,0,0,0
19,"07-C-54-61","GNT_C_54_Bapatla","Gudipudi",0,0,0,0
20,"07-C-54-61","GNT_C_54_Bapatla","Neredupalli",0,0,0,0
21,"07-C-54-61","GNT_C_54_Bapatla","Bharthipudi",0,0,0,0
22,"07-C-54-61","GNT_C_54_Bapatla","Appikatla",0,0,0,0
23,"07-C-54-61","GNT_C_54_Bapatla","Velicherla",0,0,0,0
24,"07-C-54-48","GNT_C_54_Bhattiprollu","Sivangulapalem",0,0,0,0
25,"07-C-54-48","GNT_C_54_Bhattiprollu","Addepalli",0,0,0,0
26,"07-C-54-48","GNT_C_54_Bhattiprollu","Vellaturu",0,0,0,0
27,"07-C-54-48","GNT_C_54_Bhattiprollu","Pesaralanka",0,0,0,0
28,"07-C-54-48","GNT_C_54_Bhattiprollu","Pedalanka",0,0,0,0
29,"07-C-54-48","GNT_C_54_Bhattiprollu","Oleru",0,0,0,0
30,"07-C-54-48","GNT_C_54_Bhattiprollu","Gorigapudi",0,0,0,0
31,"07-C-54-48","GNT_C_54_Bhattiprollu","Pedapulivarru",0,0,0,0
32,"07-C-54-48","GNT_C_54_Bhattiprollu","Surepalle",0,0,0,0
33,"07-C-54-48","GNT_C_54_Bhattiprollu","Konetipuram",0,0,0,0
34,"07-C-54-48","GNT_C_54_Bhattiprollu","Pallekona",0,0,0,0
35,"07-C-54-48","GNT_C_54_Bhattiprollu","Bhattiprolu",0,0,0,0
36,"07-C-54-47","GNT-C-54-Cherukupalli","Rambhotlapalem",0,0,0,0
37,"07-C-54-47","GNT-C-54-Cherukupalli","Kavur",0,0,0,0
38,"07-C-54-47","GNT-C-54-Cherukupalli","Arumbaka",0,0,0,0
39,"07-C-54-47","GNT-C-54-Cherukupalli","Ponnpalli",0,0,0,0
40,"07-C-54-47","GNT-C-54-Cherukupalli","Nadimpalli",0,0,0,0
41,"07-C-54-47","GNT-C-54-Cherukupalli","Gudavalli",0,0,0,0
42,"07-C-54-47","GNT-C-54-Cherukupalli","Kanagala",0,0,0,0
43,"07-C-54-47","GNT-C-54-Cherukupalli","Rajavolu",0,0,0,0
44,"07-C-54-47","GNT-C-54-Cherukupalli","Arepalli",0,0,0,0
45,"07-C-54-47","GNT-C-54-Cherukupalli","Balusulapalem",0,0,0,0
46,"07-C-54-62","GNT-C-54-Duggirala","Chiluvuru",3,0,0,3
47,"07-C-54-62","GNT-C-54-Duggirala","Tummapudi",4,0,0,4
48,"07-C-54-62","GNT-C-54-Duggirala","Srungarapuram",0,0,0,0
49,"07-C-54-62","GNT-C-54-Duggirala","Pedakonduru",0,0,0,0
50,"07-C-54-62","GNT-C-54-Duggirala","Godavarru",4,0,0,4
51,"07-C-54-62","GNT-C-54-Duggirala","Chinapalem",0,0,0,0
52,"07-C-54-62","GNT-C-54-Duggirala","Perikalapudi",0,0,0,0
