,,,,Command Area,,,,,,,Non-Command Area,,,,,,,Poor GW quality area,,,,,,
,,,,Irrigated,,,,,,,Irrigated,,,,,,,Irrigated,,,,,,
Sr.no,Watershed code,GW watershed name,village name,DW,DW PS,BW,STW,MTW,DTW,FP,DW,DW PS,BW,STW,MTW,DTW,FP,DW,DW PS,BW,STW,MTW,DTW,FP
2,07-C-54-60,GNT_C_54_Amarthaluru,Kuchipudi,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,07-C-54-60,GNT_C_54_Amarthaluru,Mulpur,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,07-C-54-60,GNT_C_54_Amarthaluru,Pedapudi,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,07-C-54-60,GNT_C_54_Amarthaluru,Koditadiparru,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,07-C-54-60,GNT_C_54_Amarthaluru,Moparru,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,07-C-54-60,GNT_C_54_Amarthaluru,Turumella,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,07-C-54-60,GNT_C_54_Amarthaluru,Amartaluru,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,07-C-54-60,GNT_C_54_Amarthaluru,Panchalavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,07-C-54-60,GNT_C_54_Amarthaluru,Govada,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,07-C-54-60,GNT_C_54_Amarthaluru,Yalavarru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,07-C-54-60,GNT_C_54_Amarthaluru,Intur,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,07-C-54-60,GNT_C_54_Amarthaluru,Pyapparru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,07-C-54-60,GNT_C_54_Amarthaluru,Bodapadu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,07-C-54-61,GNT_C_54_Bapatla,Gopapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,07-C-54-61,GNT_C_54_Bapatla,Poondla,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,07-C-54-61,GNT_C_54_Bapatla,Etheru,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,07-C-54-61,GNT_C_54_Bapatla,Palaparthipadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,07-C-54-61,GNT_C_54_Bapatla,Gudipudi,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,07-C-54-61,GNT_C_54_Bapatla,Neredupalli,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,07-C-54-61,GNT_C_54_Bapatla,Bharthipudi,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,07-C-54-61,GNT_C_54_Bapatla,Appikatla,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,07-C-54-61,GNT_C_54_Bapatla,Velicherla,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,07-C-54-48,GNT_C_54_Bhattiprollu,Sivangulapalem,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,07-C-54-48,GNT_C_54_Bhattiprollu,Addepalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,07-C-54-48,GNT_C_54_Bhattiprollu,Vellaturu,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,07-C-54-48,GNT_C_54_Bhattiprollu,Pesaralanka,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
