S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m )
2,07-C-54-60,GNT_C_54_Amarthaluru,Kuchipudi,500,1.5,6,45,8.5455844123,0.0042727922,15,90,90,5.7682694783,5.7682694783,11.5365389566
3,07-C-54-60,GNT_C_54_Amarthaluru,Mulpur,600,1.5,6,45,8.5455844123,0.0051273506,15,90,90,6.9219233739,6.9219233739,13.8438467479
4,07-C-54-60,GNT_C_54_Amarthaluru,Pedapudi,700,1.5,6,45,8.5455844123,0.0059819091,15,90,90,8.0755772696,8.0755772696,16.1511545392
5,07-C-54-60,GNT_C_54_Amarthaluru,Koditadiparru,400,1.5,6,45,8.5455844123,0.0034182338,15,90,90,4.6146155826,4.6146155826,9.2292311653
6,07-C-54-60,GNT_C_54_Amarthaluru,Moparru,650,1.5,6,45,8.5455844123,0.0055546299,15,90,90,7.4987503218,7.4987503218,14.9975006435
7,07-C-54-60,GNT_C_54_Amarthaluru,Turumella,400,1.5,6,45,8.5455844123,0.0034182338,15,90,90,4.6146155826,4.6146155826,9.2292311653
8,07-C-54-60,GNT_C_54_Amarthaluru,Amartaluru,600,1.5,6,45,8.5455844123,0.0051273506,15,90,90,6.9219233739,6.9219233739,13.8438467479
9,07-C-54-60,GNT_C_54_Amarthaluru,Panchalavaram,300,1.5,6,45,8.5455844123,0.0025636753,15,90,90,3.460961687,3.460961687,6.9219233739
10,07-C-54-60,GNT_C_54_Amarthaluru,Govada,450,1.5,6,45,8.5455844123,0.003845513,15,90,90,5.1914425305,5.1914425305,10.3828850609
11,07-C-54-60,GNT_C_54_Amarthaluru,Yalavarru,400,1.5,6,45,8.5455844123,0.0034182338,15,90,90,4.6146155826,4.6146155826,9.2292311653
12,07-C-54-60,GNT_C_54_Amarthaluru,Intur,600,1.5,6,45,8.5455844123,0.0051273506,15,90,90,6.9219233739,6.9219233739,13.8438467479
13,07-C-54-60,GNT_C_54_Amarthaluru,Pyapparru,350,1.5,6,45,8.5455844123,0.0029909545,15,90,90,4.0377886348,4.0377886348,8.0755772696
14,07-C-54-60,GNT_C_54_Amarthaluru,Bodapadu,290,1.5,6,45,8.5455844123,0.0024782195,15,90,90,3.3455962974,3.3455962974,6.6911925948
15,07-C-54-61,GNT_C_54_Bapatla,Gopapuram,600,2,6,45,9.3941125497,0.0056364675,15,90,55,7.6092311653,4.6500857121,12.2593168774
16,07-C-54-61,GNT_C_54_Bapatla,Poondla,700,2,6,45,9.3941125497,0.0065758788,15,90,55,8.8774363595,5.4250999974,14.3025363569
17,07-C-54-61,GNT_C_54_Bapatla,Etheru,500,2,6,45,9.3941125497,0.0046970563,15,90,55,6.341025971,3.8750714267,10.2160973978
18,07-C-54-61,GNT_C_54_Bapatla,Palaparthipadu,100,2,6,45,9.3941125497,0.0009394113,15,90,55,1.2682051942,0.7750142853,2.0432194796
