"Sr.No","watershed code","gw watershed name","Village code","village name","Population [command area]","Population [non command area]","total Population","LPCD"
2,"07-C-54-60","GNT_C_54_Amarthaluru",1,"Kuchipudi",6788,0,6788,373340.55
3,"07-C-54-60","GNT_C_54_Amarthaluru",2,"Mulpur",5387,0,5387,296285
4,"07-C-54-60","GNT_C_54_Amarthaluru",3,"Pedapudi",3395,0,3395,186725
5,"07-C-54-60","GNT_C_54_Amarthaluru",4,"Koditadiparru",757,0,757,41635
6,"07-C-54-60","GNT_C_54_Amarthaluru",5,"Moparru",3324,0,3324,182820
7,"07-C-54-60","GNT_C_54_Amarthaluru",6,"Turumella",1422,0,1422,78210
8,"07-C-54-60","GNT_C_54_Amarthaluru",7,"Amartaluru",6524,0,6524,358820
9,"07-C-54-60","GNT_C_54_Amarthaluru",8,"Panchalavaram",1848,0,1848,101640
10,"07-C-54-60","GNT_C_54_Amarthaluru",9,"Govada",3610,0,3610,198550
11,"07-C-54-60","GNT_C_54_Amarthaluru",10,"Yalavarru",2055,0,2055,113025
12,"07-C-54-60","GNT_C_54_Amarthaluru",11,"Intur",5715,0,5715,314325
13,"07-C-54-60","GNT_C_54_Amarthaluru",12,"Pyapparru",2465,0,2465,135575
14,"07-C-54-60","GNT_C_54_Amarthaluru",13,"Bodapadu",1423,0,1423,78265
15,"07-C-54-48","GNT_C_54_Bhattiprollu",1,"Sivangulapalem",268,0,268,14740.55
16,"07-C-54-48","GNT_C_54_Bhattiprollu",2,"Addepalli",8376,0,8376,460680
17,"07-C-54-48","GNT_C_54_Bhattiprollu",3,"Vellaturu",5956,0,5956,327580
18,"07-C-54-48","GNT_C_54_Bhattiprollu",4,"Pesaralanka",2527,0,2527,138985
19,"07-C-54-48","GNT_C_54_Bhattiprollu",5,"Pedalanka",1385,0,1385,76175
20,"07-C-54-48","GNT_C_54_Bhattiprollu",6,"Oleru",3267,0,3267,179685
21,"07-C-54-48","GNT_C_54_Bhattiprollu",7,"Gorigapudi",2229,0,2229,122595
22,"07-C-54-48","GNT_C_54_Bhattiprollu",8,"Pedapulivarru",5578,0,5578,306790
23,"07-C-54-48","GNT_C_54_Bhattiprollu",9,"Surepalle",2633,0,2633,144815
24,"07-C-54-48","GNT_C_54_Bhattiprollu",10,"Konetipuram",2894,0,2894,159170
25,"07-C-54-48","GNT_C_54_Bhattiprollu",11,"Pallekona",4047,0,4047,222585
26,"07-C-54-48","GNT_C_54_Bhattiprollu",12,"Bhattiprolu",11092,0,11092,610060
27,"07-C-54-47","GNT-C-54-Cherukupalli",1,"Rambhotlapalem",6015,0,6015,330825.55
28,"07-C-54-47","GNT-C-54-Cherukupalli",2,"Kavur",6270,0,6270,344850
29,"07-C-54-47","GNT-C-54-Cherukupalli",3,"Arumbaka",19104,0,19104,1050720
30,"07-C-54-47","GNT-C-54-Cherukupalli",4,"Ponnpalli",3267,0,3267,179685
31,"07-C-54-47","GNT-C-54-Cherukupalli",5,"Nadimpalli",2653,0,2653,145915
32,"07-C-54-47","GNT-C-54-Cherukupalli",6,"Gudavalli",4022,0,4022,221210
33,"07-C-54-47","GNT-C-54-Cherukupalli",7,"Kanagala",7192,0,7192,395560
34,"07-C-54-47","GNT-C-54-Cherukupalli",8,"Rajavolu",3755,0,3755,206525
35,"07-C-54-47","GNT-C-54-Cherukupalli",9,"Arepalli",5538,0,5538,304590
36,"07-C-54-47","GNT-C-54-Cherukupalli",10,"Balusulapalem",2569,0,2569,141295
37,"07-C-54-62","GNT-C-54-Duggirala",1,"Chiluvuru",7952,0,7952,437360.55
38,"07-C-54-62","GNT-C-54-Duggirala",2,"Tummapudi",6738,0,6738,370590
39,"07-C-54-62","GNT-C-54-Duggirala",3,"Srungarapuram",1808,0,1808,99440
40,"07-C-54-62","GNT-C-54-Duggirala",4,"Pedakonduru",4505,0,4505,247775
41,"07-C-54-62","GNT-C-54-Duggirala",5,"Godavarru",1465,0,1465,80575
42,"07-C-54-62","GNT-C-54-Duggirala",6,"Chinapalem",3163,0,3163,173965
43,"07-C-54-62","GNT-C-54-Duggirala",7,"Perikalapudi",4884,0,4884,268620
44,"07-C-54-62","GNT-C-54-Duggirala",8,"Morampudi",4798,0,4798,263890
45,"07-C-54-62","GNT-C-54-Duggirala",9,"K.Konduru",3218,0,3218,176990
46,"07-C-54-62","GNT-C-54-Duggirala",10,"Penumuli",3199,0,3199,175945
47,"07-C-54-62","GNT-C-54-Duggirala",11,"Duggirala",11098,0,11098,610390
48,"07-C-54-62","GNT-C-54-Duggirala",12,"Emani",7998,0,7998,439890
49,"07-C-54-62","GNT-C-54-Duggirala",13,"Chintalapudi",1613,0,1613,88715
50,"07-C-54-62","GNT-C-54-Duggirala",14,"Devarapalli Agraharam",216,0,216,11880
51,"07-C-54-52","GNT-C-54-Karlapalem",1,"Yazali",7975,0,7975,438625.055
52,"07-C-54-52","GNT-C-54-Karlapalem",2,"Bhuddam",1682,0,1682,92510.055
53,"07-C-54-52","GNT-C-54-Karlapalem",3,"Karlapalem",19874,0,19874,1093070.055
54,"07-C-54-52","GNT-C-54-Karlapalem",4,"Ganapavaram",9754,0,9754,536470.055
55,"07-C-54-52","GNT-C-54-Karlapalem",5,"Pareli",11035,0,11035,606925.055
56,"07-C-54-50","GNT-C-54-Kollipara",1,"Vallabhapuram",6753,0,6753,371415.55
57,"07-C-54-50","GNT-C-54-Kollipara",2,"Munnangi",6399,0,6399,351945
58,"07-C-54-50","GNT-C-54-Kollipara",3,"Dhanthaluru",1123,0,1123,61765
59,"07-C-54-50","GNT-C-54-Kollipara",4,"Kunchavaram",534,0,534,29370
60,"07-C-54-50","GNT-C-54-Kollipara",5,"Athota",5628,0,5628,309540
61,"07-C-54-50","GNT-C-54-Kollipara",6,"Siripuram",1041,0,1041,57255
62,"07-C-54-50","GNT-C-54-Kollipara",7,"Chivaluru",1722,0,1722,94710
63,"07-C-54-50","GNT-C-54-Kollipara",8,"Pidaparru",2148,0,2148,118140
64,"07-C-54-50","GNT-C-54-Kollipara",9,"Kollipara",12982,0,12982,714010
65,"07-C-54-50","GNT-C-54-Kollipara",10,"Bommuvaripalem",804,0,804,44220
66,"07-C-54-50","GNT-C-54-Kollipara",11,"Annavaram",3575,0,3575,196625
67,"07-C-54-50","GNT-C-54-Kollipara",12,"Thumuluru",5494,0,5494,302170
68,"07-C-54-50","GNT-C-54-Kollipara",13,"Davuluru",7083,0,7083,389565
69,"07-C-54-50","GNT-C-54-Kollipara",14,"Chemudupadu",1376,0,1376,75680
