S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,GNT_C_54_Amarthaluru,GNT-C-54-AMARTHALURU-MB,0.0,0,0,,3.98,1.43,4.38,1.17,0.7,0.7,900,536,364,1024,575,449
2,GNT_C_54_Bapatla,GNT-C-54-BAPATLA-MB,0.0,0,0,,2.84,1.89,2.81,,0.9,0.9,988,519,469,1388,668,720
3,GNT_C_54_Bhattiprollu,GNT-C-54-BHATTIPROLLU-MB,0.0,0,0,,2.79,1.13,2.46,,0.8,0.8,1061,592,469,1017,542,475
4,GNT-C-54-Cherukupalli,GNT-C-54-CHERUKUPALLI-MB,0.0,0,0,,2.66,1.31,2.88,,0.8,0.8,875,509,366,973,527,446
5,GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,0.0,0,0,,3.13,0.83,3.2,,1,1,897,615,282,1173,728,445
6,GNT-C-54-Karlapalem,GNT-C-54-KARLAPAEM-MB,0.0,0,0,,3.02,2.02,3.11,,0.8,0.8,1014,526,488,1023,576,447
7,GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,0.0,0,0,,3.1,1.46,2.36,,1,1,851,558,293,1280,768,512
8,GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,0.0,0,0,,5.58,2.62,5.82,,1,1,979,626,353,1257,737,520
9,GNT-C-54-Nagaram,GNT-C-54-NAGARAM-MB,0.0,0,0,,2.68,1.31,2.3,,0.8,0.8,1010,564,446,1037,594,443
10,GNT-C-54-Nizampatnam,GNT-C-54-NIZAMPATNAM-MB,0.0,0,0,,2.68,1.31,2.3,,0.6,0.6,1011,530,481,873,495,378
11,GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,0.0,0,0,,3.71,1.59,4.01,,0.8,0.8,871,523,348,1166,666,500
12,GNT-C-54-P.V.Palem,GNT-C-54-P.V.PALEM-MB,0.0,0,0,,2.46,1.06,2.59,,0.8,0.8,925,480,445,911,524,387
13,GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,0.0,0,0,,2.99,2.12,3.06,,0.8,0.8,1047,563,484,1126,551,575
14,GNT-C-54-Tenali,GNT-C-54-TENALI-MB,0.0,0,0,,2.01,0.81,2.23,,1,1,943,632,311,1177,665,512
15,GNT-C-54-Tsunduru,GNT-C-54-TSUNDURU-MB,0.0,0,0,,4.02,1.61,4.45,,0.8,0.8,875,542,333,1028,499,529
16,GNT-C-54-Vemuru,GNT-C-54-VEMURU-MB,0.0,0,0,,4.66,1.41,4.73,,0.9,0.9,944,589,355,987,593,394
17,GNT-C-55-Boddu-Velpuru,GNT-C-55-BODDU-VELPUR-MB,0.0,0,0,,3.28,2.34,3.28,,0.8,0.8,709,420,289,697,294,403
18,GNT-C-55-Isuka-2-Kondaveedu,GNT-C-55-ISSUKA-2-KONDAVEEDU-MB,0.0,0,0,,4.32,2.05,3.42,,0.85,0.85,800,513,287,1226,637,589
19,GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,0.0,0,0,,3.6,2.05,4.99,,0.5,0.5,858,506,352,1061,628,433
20,GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,0.0,0,0,,5.33,2.05,5.96,,0.5,0.5,694,400,294,1059,566,493
21,GNT-C-55-Nalanda-Narasaraopet,GNT-C-55-NALANDA-NARASARAOPET-MB,0.0,0,0,,4.15,3.15,4.29,,0.5,0.5,825,476,349,866,413,453
22,GNT-C-55-Nallama-Pedanandipadu,GNT-C-55-NALLAMA-PEDANANDIPADU-MB,0.0,0,0,,2.84,1.89,2.84,,0.4,0.4,987,518,469,1388,668,720
