,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
1,11_C_65_03,KDP_C_65_03_J.Madugu,Mylavaram,,,,,0,0,2,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
2,11_C_65_03,KDP_C_65_03_J.Madugu,Khadarabad,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
3,11_C_65_03,KDP_C_65_03_J.Madugu,Lingapuram,,,,,2,0,4,8,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
4,11_C_65_03,KDP_C_65_03_J.Madugu,Nelanoothala,,,,,0,0,4,20,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
5,11_C_65_03,KDP_C_65_03_J.Madugu,Rangasayapuram,,,,,16,0,3,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6,11_C_65_03,KDP_C_65_03_J.Madugu,Chowduru,69,0,5,4,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
7,11_C_65_03,KDP_C_65_03_J.Madugu,Peddasettipalli,154,0,2,1,,,,,,,,,,,,,0,0,0,23,,,,,0,0,0,23,,,,,,,,
8,11_C_65_03,KDP_C_65_03_J.Madugu,Dorasanipalli,,,,,48,12,1,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
9,11_C_65_03,KDP_C_65_03_J.Madugu,Kallur,48,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
