Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,11_C_65_03,KDP_C_65_03_J.Madugu,Mylavaram,745,0,,,,745,,,745,0,0,,0
2,11_C_65_03,KDP_C_65_03_J.Madugu,Khadarabad,1904,0,,,,1904,,,1904,0,,,0
3,11_C_65_03,KDP_C_65_03_J.Madugu,Lingapuram,151,0,,,,151,,,151,0,,,0
4,11_C_65_03,KDP_C_65_03_J.Madugu,Nelanoothala,1668,0,,,,1668,,,1668,0,,,0
5,11_C_65_03,KDP_C_65_03_J.Madugu,Rangasayapuram,79,0,,,,79,,,79,0,,,0
6,11_C_65_03,KDP_C_65_03_J.Madugu,Chowduru,1965,1965,,,1965,0,,,,0,,,0
7,11_C_65_03,KDP_C_65_03_J.Madugu,Peddasettipalli,2298,2298,,,2298,0,,,,0,,,0
8,11_C_65_03,KDP_C_65_03_J.Madugu,Dorasanipalli,150,0,,,,150,,,150,0,,,0
9,11_C_65_03,KDP_C_65_03_J.Madugu,Kallur,1666,1666,,,1666,0,,,,0,,,0
10,11_C_65_03,KDP_C_65_03_J.Madugu,Regulapalli,113,0,,,,113,,,113,0,,,0
11,11_C_65_03,KDP_C_65_03_J.Madugu,Nanganurupalli,535,0,,,,535,,,535,0,,,0
12,11_C_65_03,KDP_C_65_03_J.Madugu,Kothapalli,828,828,,,828,0,,,,0,,,0
13,11_C_65_03,KDP_C_65_03_J.Madugu,Modameedipalli,90,90,,,90,0,,,,0,,,0
14,11_C_65_03,KDP_C_65_03_J.Madugu,Rameswaram,1394,1394,,,1394,0,,,,0,,,0
15,11_C_65_03,KDP_C_65_03_J.Madugu,Jammalamadugu,750,750,,,750,0,,,,0,,,0
16,11_C_65_03,KDP_C_65_03_J.Madugu,Kanneluru,472,472,,,472,0,,,,0,,,0
17,11_C_65_03,KDP_C_65_03_J.Madugu,Moragudi,464,464,,,464,0,,,,0,,,0
18,11_C_65_03,KDP_C_65_03_J.Madugu,Goriganuru,1122,1122,,,1122,0,,,,0,,,0
19,11_C_65_03,KDP_C_65_03_J.Madugu,Dharmapuram,651,651,,,651,0,,,,0,,,0
20,11_C_65_03,KDP_C_65_03_J.Madugu,Danavulapadu,812,812,,,812,0,,,,0,,,0
21,11_C_65_03,KDP_C_65_03_J.Madugu,Devagudi,870,870,,,870,0,,,,0,,,0
22,11_C_65_03,KDP_C_65_03_J.Madugu,Purvapu Sugamanchupalle,811,811,,,811,0,,,,0,,,0
23,11_C_65_04,KDP_C_65_04_Gandikota,Gandluru,2444,0,,,,1982,462,0,2444,0,0,,
24,11_C_65_04,KDP_C_65_04_Gandikota,Gudemcheruvu,624,0,,,,624,,0,624,0,,,
25,11_C_65_04,KDP_C_65_04_Gandikota,Ponnathota,1452,1452,,,1452,0,,0,,0,,,
26,11_C_65_04,KDP_C_65_04_Gandikota,Diguvapatnam,448,0,,,,448,,0,448,0,,,
27,11_C_65_04,KDP_C_65_04_Gandikota,Gandikota,4278,0,,,,4278,,0,4278,0,,,
28,11_C_65_04,KDP_C_65_04_Gandikota,Sanjeevapalle,543,0,,,,543,,0,543,0,,,
29,11_C_65_04,KDP_C_65_04_Gandikota,Purvabommepalle,2899,0,,,,2899,,0,2899,0,,,
30,11_C_65_04,KDP_C_65_04_Gandikota,Vemaguntapalle,842,0,,,,842,,0,842,0,,,
31,11_C_65_04,KDP_C_65_04_Gandikota,Ambavaram,856,0,,,,856,,0,856,0,,,
32,11_C_65_04,KDP_C_65_04_Gandikota,Sirigepalle,870,870,,,870,0,,0,,0,,,
33,11_C_65_04,KDP_C_65_04_Gandikota,Peddadandluru,1230,1230,,,1230,0,,0,,0,,,
34,11_C_65_04,KDP_C_65_04_Gandikota,Sunnapurallapalle,1637,1637,,,1637,0,,0,,0,,,
35,11_C_65_04,KDP_C_65_04_Gandikota,Thugutlapalle,1872,1872,,,1872,0,,0,,0,,,
36,11_C_65_04,KDP_C_65_04_Gandikota,Kottagunta Palle,579,0,,,,579,,0,579,0,,,
37,11_C_65_04,KDP_C_65_04_Gandikota,DiguvaBrahmanapalli,491,0,,,,491,,0,491,0,,,
38,11_C_65_04,KDP_C_65_04_Gandikota,Kibili Rangapuram,70,0,,,,70,,0,70,0,,,
39,11_C_65_04,KDP_C_65_04_Gandikota,Obulapuram,718,0,,,,718,,0,718,0,,,
40,11_C_65_04,KDP_C_65_04_Gandikota,korrapadu,2059,0,,,,2059,,0,2059,0,,,
41,11_C_65_04,KDP_C_65_04_Gandikota,Mangapatnam,5167,0,,,,3413,1754,0,5167,0,,,
42,11_C_65_04,KDP_C_65_04_Gandikota,P.Gopalapuram,65,65,,,65,0,,0,,0,,,
43,11_C_65_04,KDP_C_65_04_Gandikota,Chinnadandluru,2207,2207,,,2207,0,,0,,0,,,
44,11_C_65_04,KDP_C_65_04_Gandikota,Illuru,808,808,,,808,0,,0,,0,,,
45,11_C_65_04,KDP_C_65_04_Gandikota,RF,0,,,,,,,0,0,,,,
46,11_C_65_05,KDP_C_65_05_Potladurthi,Potladurthi,2252,2252,,,2252,0,,0,,0,0,,
47,11_C_65_05,KDP_C_65_05_Potladurthi,Hanumangutti,1781,1781,,,1781,0,,0,,0,,,
48,11_C_65_05,KDP_C_65_05_Potladurthi,K.Vengammagaripalli,151,0,,,,151,,0,151,0,,,
