,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
1,11_C_65_03,KDP_C_65_03_J.Madugu,Mylavaram,,,22,3,,,25,,,
2,11_C_65_03,KDP_C_65_03_J.Madugu,Khadarabad,,,0,0,,,0,,,
3,11_C_65_03,KDP_C_65_03_J.Madugu,Lingapuram,,,9,2,,,11,,,
4,11_C_65_03,KDP_C_65_03_J.Madugu,Nelanoothala,,,1,1,,,2,,,
5,11_C_65_03,KDP_C_65_03_J.Madugu,Rangasayapuram,,,1,0,,,1,,,
6,11_C_65_03,KDP_C_65_03_J.Madugu,Chowduru,4,2,,,,,6,,,
7,11_C_65_03,KDP_C_65_03_J.Madugu,Peddasettipalli,22,4,,,,,26,,,
8,11_C_65_03,KDP_C_65_03_J.Madugu,Dorasanipalli,,,7,2,,,9,,,
9,11_C_65_03,KDP_C_65_03_J.Madugu,Kallur,14,3,0,1,,,18,,,
10,11_C_65_03,KDP_C_65_03_J.Madugu,Regulapalli,,,7,1,,,8,,,
11,11_C_65_03,KDP_C_65_03_J.Madugu,Nanganurupalli,,,,,,,0,,,
12,11_C_65_03,KDP_C_65_03_J.Madugu,Kothapalli,19,2,,,,,21,,,
13,11_C_65_03,KDP_C_65_03_J.Madugu,Modameedipalli,11,2,,,,,13,,,
14,11_C_65_03,KDP_C_65_03_J.Madugu,Rameswaram,23,2,,,,,25,,,
15,11_C_65_03,KDP_C_65_03_J.Madugu,Jammalamadugu,16,6,,,,,22,,,
16,11_C_65_03,KDP_C_65_03_J.Madugu,Kanneluru,25,7,,,,,32,,,
17,11_C_65_03,KDP_C_65_03_J.Madugu,Moragudi,16,1,,,,,17,,,
18,11_C_65_03,KDP_C_65_03_J.Madugu,Goriganuru,4,2,,,,,6,,,
19,11_C_65_03,KDP_C_65_03_J.Madugu,Dharmapuram,2,1,,,,,3,,,
20,11_C_65_03,KDP_C_65_03_J.Madugu,Danavulapadu,0,2,,,,,2,,,
21,11_C_65_03,KDP_C_65_03_J.Madugu,Devagudi,3,1,,,,,4,,,
22,11_C_65_03,KDP_C_65_03_J.Madugu,Purvapu Sugamanchupalle,2,1,,,,,3,,,
23,11_C_65_04,KDP_C_65_04_Gandikota,Gandluru,,,4,1,,,5,,,
24,11_C_65_04,KDP_C_65_04_Gandikota,Gudemcheruvu,,,8,2,,,10,,,
25,11_C_65_04,KDP_C_65_04_Gandikota,Ponnathota,3,3,,,,,6,,,
26,11_C_65_04,KDP_C_65_04_Gandikota,Diguvapatnam,,,0,0,,,0,,,
27,11_C_65_04,KDP_C_65_04_Gandikota,Gandikota,,,5,4,,,9,,,
28,11_C_65_04,KDP_C_65_04_Gandikota,Sanjeevapalle,,,0,0,,,0,,,
29,11_C_65_04,KDP_C_65_04_Gandikota,Purvabommepalle,,,10,3,,,13,,,
30,11_C_65_04,KDP_C_65_04_Gandikota,Vemaguntapalle,,,4,2,,,6,,,
31,11_C_65_04,KDP_C_65_04_Gandikota,Ambavaram,,,2,2,,,4,,,
32,11_C_65_04,KDP_C_65_04_Gandikota,Sirigepalle,3,1,,,,,4,,,
33,11_C_65_04,KDP_C_65_04_Gandikota,Peddadandluru,1,2,,,,,3,,,
34,11_C_65_04,KDP_C_65_04_Gandikota,Sunnapurallapalle,3,1,,,,,4,,,
35,11_C_65_04,KDP_C_65_04_Gandikota,Thugutlapalle,0,0,,,,,0,,,
36,11_C_65_04,KDP_C_65_04_Gandikota,Kottagunta Palle,,,0,1,,,1,,,
37,11_C_65_04,KDP_C_65_04_Gandikota,DiguvaBrahmanapalli,,,5,2,,,7,,,
38,11_C_65_04,KDP_C_65_04_Gandikota,Kibili Rangapuram,,,8,1,,,9,,,
39,11_C_65_04,KDP_C_65_04_Gandikota,Obulapuram,,,11,2,,,13,,,
40,11_C_65_04,KDP_C_65_04_Gandikota,korrapadu,,,23,4,,,27,,,
41,11_C_65_04,KDP_C_65_04_Gandikota,Mangapatnam,,,7,1,,,8,,,
42,11_C_65_04,KDP_C_65_04_Gandikota,P.Gopalapuram,2,1,,,,,3,,,
43,11_C_65_04,KDP_C_65_04_Gandikota,Chinnadandluru,9,3,,,,,12,,,
44,11_C_65_04,KDP_C_65_04_Gandikota,Illuru,0,1,,,,,1,,,
45,11_C_65_04,KDP_C_65_04_Gandikota,RF,,,0,0,,,0,,,
46,11_C_65_05,KDP_C_65_05_Potladurthi,Potladurthi,8,3,,,,,11,,,
47,11_C_65_05,KDP_C_65_05_Potladurthi,Hanumangutti,0,2,,,,,2,,,
48,11_C_65_05,KDP_C_65_05_Potladurthi,K.Vengammagaripalli,,,2,1,,,3,,,
49,11_C_65_05,KDP_C_65_05_Potladurthi,Yerraguntla,,,58,12,,,70,,,
50,11_C_65_05,KDP_C_65_05_Potladurthi,Kokatam,12,6,,,,,18,,,
51,11_C_65_05,KDP_C_65_05_Potladurthi,Sambaturu,4,3,,,,,7,,,
