GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,Atloor,Atlur-1
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,Gujjulavaripalli,Gujjalavaripalle
KDP_C_70_55_Muthukuru,KDP_C_70_MUTHUKURU-MB,Jonnavaram,Jannavaram
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,Konduru,Kondur
KDP_C_65_03_J.Madugu,KDP_C_65_J.MADUGU-MB,Rangasayapuram,Rangasayapuram
KDP_C_70_55_Muthukuru,KDP_C_70_MUTHUKURU-MB,Madapuru,Madapur
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,Madur,Maddur-3
KDP_C_70_55_Muthukuru,KDP_C_70_MUTHUKURU-MB,Muthukur,Muthukur-1
KDP_C_70_55_Muthukuru,KDP_C_70_MUTHUKURU-MB,Nallayapalli,Nallayapalle
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,PV Palli,Pidathalaveerayapalle
KDP_C_70_55_Muthukuru,KDP_C_70_MUTHUKURU-MB,Rangampalli,Rangampalle
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,RF,Forest-56
KDP_C_70_55_Muthukuru,KDP_C_70_MUTHUKURU-MB,RF,Forest-49
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,S Venkatapuram,Shrotriya Venkatapuram
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,Thamballagondhi,Thamballagondi
KDP_C_65_03_J.Madugu,KDP_C_65_J.MADUGU-MB,Kanneluru,KANNELURU
KDP_C_65_03_J.Madugu,KDP_C_65_J.MADUGU-MB,Moragudi,Moragudi
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,Varikunta,Varikunta-1
KDP_C_70_55_Muthukuru,KDP_C_70_MUTHUKURU-MB,Vemaluru,Vemalur
KDP_C_65_03_J.Madugu,KDP_C_65_J.MADUGU-MB,Danavulapadu,Danavulapadu
KDP_C_65_03_J.Madugu,KDP_C_65_J.MADUGU-MB,Devagudi,Devagudi
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,Yarraballi,Yerraballe
KDP_C_70_50_PORUMAMILLA,KDP_C_70_PORUMAMILLA-MB,A.Kothapalli,A.Kothapalle
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Gudemcheruvu,Gudemcheruvu
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Ponnathota,Ponnathota
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Diguvapatnam,Diguvapatnam
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Gandikota,Gandikota
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Sanjeevapalle,Sanjeevapalle
KDP_C_70_50_PORUMAMILLA,KDP_C_70_PORUMAMILLA-MB,Ankanagodugunuru,Ankanagodu Gunuru
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Vemaguntapalle,Vemaguntapalle
KDP_C_70_50_PORUMAMILLA,KDP_C_70_PORUMAMILLA-MB,Bodugundupalli,Bodugundupalle
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Sirigepalle,Sirigepalle
KDP_C_70_49_SAVISETTIPALLI,KDP_C_70_SAVISETTIPALLI-MB,Chennakesapuram,Channakesapuram
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Sunnapurallapalle,Sunnapurallapalle
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Thugutlapalle,Thugutlapalle
KDP_C_70_50_PORUMAMILLA,KDP_C_70_PORUMAMILLA-MB,Koduru,Kodur-1
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Kondampalli,Kondampalle
KDP_C_70_50_PORUMAMILLA,KDP_C_70_PORUMAMILLA-MB,Madhavarayunipalli,Madhavarayunipalle
KDP_C_70_50_PORUMAMILLA,KDP_C_70_PORUMAMILLA-MB,Maratipalli,Maratipalle
KDP_C_70_50_PORUMAMILLA,KDP_C_70_PORUMAMILLA-MB,Mekavaripalli,Mekavaripalle
KDP_C_70_49_SAVISETTIPALLI,KDP_C_70_SAVISETTIPALLI-MB,Papanapalli,Papanapalle
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,P.Gopalapuram,P.Gopalapuram
KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,Chinnadandluru,Chinnadandluru
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Peddullapalli,Peddullapalle
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Thangedupalli,Thangedupalle
KDP_C_65_05_Potladurthi,KDP_C_65_POTLADURTHI-MB,Potladurthi,Potladurthi
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Thipparajupalli,Thipparajupalle
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Venkatapuram,Venkatapuram-2
KDP_C_70_52_B.MATAM,KDP_C_70_B.MATAM-MB,Chowdarivaripalli,T.Soudaravaripalle
KDP_C_65_05_Potladurthi,KDP_C_65_POTLADURTHI-MB,Kokatam,Kokatam
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,D.Agraharam,Darbhavariagraharam
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,D.Lingampalli,D.Lingampalle
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,Diguvanelaturu,Diguva Nelatur
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,Dirsavancha,Dirasavancha
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,Eguvanelaturu,Eguvanelatur
KDP_C_70_52_B.MATAM,KDP_C_70_B.MATAM-MB,Jangamrajupalli,Jangamrajupalle
KDP_C_70_52_B.MATAM,KDP_C_70_B.MATAM-MB,Mallepalli,Mallepalle-1
KDP_C_65_08_Sidhout,KDP_C_65_SIDHOUT-MB,Ponnavolu,Ponnavolu
KDP_C_65_08_Sidhout,KDP_C_65_SIDHOUT-MB,Jyothi,Jyothi
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,Nagisettipalli,Nagisettipalle
KDP_C_70_49_SAVISETTIPALLI,KDP_C_70_SAVISETTIPALLI-MB,Palugurallapalli,Palugurallapalle
KDP_C_70_52_B.MATAM,KDP_C_70_B.MATAM-MB,Palugurallapalli(part),Palugurallapalle (Part IV)
KDP_C_70_52_B.MATAM,KDP_C_70_B.MATAM-MB,Papireddypalli,Papireddipalle
KDP_C_70_52_B.MATAM,KDP_C_70_B.MATAM-MB,Somireddypalli,Somireddipalle
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Abbusahebpet,Abbusahebpeta
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Anantarajapuram,Anantharajupuram
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Appajupet,Appajipeta-1
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Badvel,Badvel-1
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Bayanapalli,Bayanapalle
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,C.Kothapalli,C.Kothapalle
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Chennampalli,Chennampalle-3
KDP_C_65_09_Khajipet,KDP_C_65_KHAJIPET-MB,S.Mydukur,S.Mydukur
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Ethirajupalli,Ethirajupalle
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Godugunuru,Godugunur
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,Gopalapuram,Gopalapuram-4
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Guntapalli,Gunthapalle
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Imadapuram,Imadapuram @ Pedakesampalle
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Kondugaripalli,Kondugaripalle
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Kongalaveedu,Kongalaveedu-1
KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,Mohiddinpuram,Mohinuddinpuram
KDP_C_65_09_Khajipet,KDP_C_65_KHAJIPET-MB,Kommaluru,Kommaluru
KDP_C_70_55_Muthukuru,KDP_C_70_MUTHUKURU-MB,Puttayapalli,Puttayapalle
KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,Rajupalem,Rajupalem-5
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,Tippanapalli,Thippanapalle
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,Veerapalli,Veerapalle
KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,Venkatasettipalli,Venkatasettipalle
KDP_C_65_11_CHENNURU,KDP_C_65_CHENNURU-MB,Yadavapuram,Yadavapuram
KDP_C_69_30_Chakrayapeta,KDP_C_69_CHAKRAYAPET-MB,Chakrayapeta,Chakrayapet
KDP_C_69_30_Chakrayapeta,KDP_C_69_CHAKRAYAPET-MB,Chilekampalli,Chilekampalle
KDP_C_69_31_VEMPALLI,KDP_C_69_VEMPALLI-MB,ErraBommanapalli,Errabommanapalle
KDP_C_65_11_CHENNURU,KDP_C_65_CHENNURU-MB,Gurrampadu,Gurrampadu
KDP_C_69_30_Chakrayapeta,KDP_C_69_CHAKRAYAPET-MB,Gandikovur,Gandikovvur
KDP_C_69_28_SURABHI,KDP_C_69_SURABHI-MB,Goltamitta,Gotlamitta
KDP_C_69_29_K.Yerragudi,KDP_C_69_K.YERRAGUDI-MB,Ketineniyarragudi,Kateneniyerragudi
KDP_C_69_26_Veligallu,KDP_C_69_VELIGALLU-MB,Kollurupalli,Kallurupalle
KDP_C_69_31_VEMPALLI,KDP_C_69_VEMPALLI-MB,Komarakalva,Kumarakalva
KDP_C_69_28_SURABHI,KDP_C_69_SURABHI-MB,Kondappagaripalli,Kondappagaripalle
KDP_C_69_27_GALIVEEDU,KDP_C_69_GALIVEEDU-MB,Kuppam,Kuppam-1
KDP_C_65_11_CHENNURU,KDP_C_65_CHENNURU-MB,Kopparthi,Kopparthi
KDP_C_69_28_SURABHI,KDP_C_69_SURABHI-MB,Mahadevapuram,Mahadevapalle
KDP_C_69_30_Chakrayapeta,KDP_C_69_CHAKRAYAPET-MB,Marella madaka,Marellamadaka
KDP_C_65_11_CHENNURU,KDP_C_65_CHENNURU-MB,T.Ramachandrapuram,T.Ramachandrapuram
KDP_C_69_28_SURABHI,KDP_C_69_SURABHI-MB,Nersupalli,Nersupalle
KDP_C_65_11_CHENNURU,KDP_C_65_CHENNURU-MB,Pabbapuram,Pabbapuram
KDP_C_65_11_CHENNURU,KDP_C_65_CHENNURU-MB,Papasahebpet,Papasahebpet
KDP_C_69_26_Veligallu,KDP_C_69_VELIGALLU-MB,Rajupalli,Rajupalle
KDP_C_68_25_MYDUKURU,KDP_C_68_MYDUKURU-MB,Alladupalli,Alladupalle
KDP_C_65_11_CHENNURU,KDP_C_65_CHENNURU-MB,K.Ramachandrapuram,K.Ramachandrapuram
KDP_C_68_23_CHAPADU,KDP_C_68_CHAPADU-MB,Anantapuram,Ananthapuram-1
KDP_C_68_25_MYDUKURU,KDP_C_68_MYDUKURU-MB,Bhadripalli,Bhadripalle
KDP_C_68_23_CHAPADU,KDP_C_68_CHAPADU-MB,Budidepadu,Budidapadu-1
KDP_C_68_23_CHAPADU,KDP_C_68_CHAPADU-MB,Chapadu,Chapad-1
