sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
1,11_C_65_03,KDP_C_65_03_J.Madugu,Mylavaram,,,1,15,,
2,11_C_65_03,KDP_C_65_03_J.Madugu,Khadarabad,,,1,120,,
3,11_C_65_03,KDP_C_65_03_J.Madugu,Lingapuram,,,1,30,,
4,11_C_65_03,KDP_C_65_03_J.Madugu,Nelanoothala,,,1,5,,
5,11_C_65_03,KDP_C_65_03_J.Madugu,Rangasayapuram,,,0,0,,
6,11_C_65_03,KDP_C_65_03_J.Madugu,Chowduru,1,150,,,,
7,11_C_65_03,KDP_C_65_03_J.Madugu,Peddasettipalli,1,25,,,,
8,11_C_65_03,KDP_C_65_03_J.Madugu,Dorasanipalli,,,1,20,,
9,11_C_65_03,KDP_C_65_03_J.Madugu,Kallur,0,0,,,,
10,11_C_65_03,KDP_C_65_03_J.Madugu,Regulapalli,,,0,0,,
11,11_C_65_03,KDP_C_65_03_J.Madugu,Nanganurupalli,,,1,160,,
12,11_C_65_03,KDP_C_65_03_J.Madugu,Kothapalli,1,8,,,,
13,11_C_65_03,KDP_C_65_03_J.Madugu,Modameedipalli,0,0,,,,
14,11_C_65_03,KDP_C_65_03_J.Madugu,Rameswaram,1,160,,,,
15,11_C_65_03,KDP_C_65_03_J.Madugu,Jammalamadugu,1,3,,,,
16,11_C_65_03,KDP_C_65_03_J.Madugu,Kanneluru,1,218,,,,
17,11_C_65_03,KDP_C_65_03_J.Madugu,Moragudi,1,25,,,,
18,11_C_65_03,KDP_C_65_03_J.Madugu,Goriganuru,1,140,,,,
19,11_C_65_03,KDP_C_65_03_J.Madugu,Dharmapuram,1,50,,,,
20,11_C_65_03,KDP_C_65_03_J.Madugu,Danavulapadu,1,63,,,,
21,11_C_65_03,KDP_C_65_03_J.Madugu,Devagudi,1,73,,,,
22,11_C_65_03,KDP_C_65_03_J.Madugu,Purvapu Sugamanchupalle,1,75,,,,
23,11_C_65_04,KDP_C_65_04_Gandikota,Gandluru,,,1,140,,
24,11_C_65_04,KDP_C_65_04_Gandikota,Gudemcheruvu,,,1,130,,
25,11_C_65_04,KDP_C_65_04_Gandikota,Ponnathota,0,0,,,,
26,11_C_65_04,KDP_C_65_04_Gandikota,Diguvapatnam,,,0,0,,
27,11_C_65_04,KDP_C_65_04_Gandikota,Gandikota,,,1,155,,
28,11_C_65_04,KDP_C_65_04_Gandikota,Sanjeevapalle,,,0,0,,
29,11_C_65_04,KDP_C_65_04_Gandikota,Purvabommepalle,,,2,16,,
30,11_C_65_04,KDP_C_65_04_Gandikota,Vemaguntapalle,,,1,5,,
31,11_C_65_04,KDP_C_65_04_Gandikota,Ambavaram,,,1,45,,
32,11_C_65_04,KDP_C_65_04_Gandikota,Sirigepalle,1,45,,,,
33,11_C_65_04,KDP_C_65_04_Gandikota,Peddadandluru,1,125,,,,
34,11_C_65_04,KDP_C_65_04_Gandikota,Sunnapurallapalle,1,121,,,,
35,11_C_65_04,KDP_C_65_04_Gandikota,Thugutlapalle,0,0,,,,
36,11_C_65_04,KDP_C_65_04_Gandikota,Kottagunta Palle,,,0,0,,
37,11_C_65_04,KDP_C_65_04_Gandikota,DiguvaBrahmanapalli,,,0,0,,
38,11_C_65_04,KDP_C_65_04_Gandikota,Kibili Rangapuram,,,0,0,,
39,11_C_65_04,KDP_C_65_04_Gandikota,Obulapuram,,,2,32,,
40,11_C_65_04,KDP_C_65_04_Gandikota,korrapadu,,,0,0,,
41,11_C_65_04,KDP_C_65_04_Gandikota,Mangapatnam,,,1,2,,
42,11_C_65_04,KDP_C_65_04_Gandikota,P.Gopalapuram,1,15,,,,
43,11_C_65_04,KDP_C_65_04_Gandikota,Chinnadandluru,1,240,,,,
44,11_C_65_04,KDP_C_65_04_Gandikota,Illuru,1,93,,,,
45,11_C_65_04,KDP_C_65_04_Gandikota,RF,,,,,,
46,11_C_65_05,KDP_C_65_05_Potladurthi,Potladurthi,1,481,,,,
47,11_C_65_05,KDP_C_65_05_Potladurthi,Hanumangutti,1,240,,,,
48,11_C_65_05,KDP_C_65_05_Potladurthi,K.Vengammagaripalli,,,0,0,,
49,11_C_65_05,KDP_C_65_05_Potladurthi,Yerraguntla,,,0,0,,
50,11_C_65_05,KDP_C_65_05_Potladurthi,Kokatam,1,280,,,,
51,11_C_65_05,KDP_C_65_05_Potladurthi,Sambaturu,1,160,,,,
52,11_C_65_08,KDP_C_65_08_Sidhout,Dumpalagattu,,,,,,
53,11_C_65_08,KDP_C_65_08_Sidhout,Chemullapalli,,,,,,
54,11_C_65_08,KDP_C_65_08_Sidhout,Chennamukkapalli,,,,,,
55,11_C_65_08,KDP_C_65_08_Sidhout,Doulathapuram,,,,,,
56,11_C_65_08,KDP_C_65_08_Sidhout,Bayanapalli,,,,,,
57,11_C_65_08,KDP_C_65_08_Sidhout,Kanuparthi,,,,,,
58,11_C_65_08,KDP_C_65_08_Sidhout,Ponnavolu,,,,,,
59,11_C_65_08,KDP_C_65_08_Sidhout,Jyothi,,,,,,
60,11_C_65_08,KDP_C_65_08_Sidhout,Vonthatipalli,,,,,,
61,11_C_65_08,KDP_C_65_08_Sidhout,S.Rajampet,,,1,60,,
62,11_C_65_08,KDP_C_65_08_Sidhout,Sidhout,,,,,,
63,11_C_65_08,KDP_C_65_08_Sidhout,Jangalapalli,,,,,,
64,11_C_65_08,KDP_C_65_08_Sidhout,Velugupalli,,,,,,
65,11_C_65_08,KDP_C_65_08_Sidhout,Rf,,,,,,
66,11_C_65_09,KDP_C_65_09_Khajipet,Mittamanipalli,,,,,,
67,11_C_65_09,KDP_C_65_09_Khajipet,Settivaripalli,,,,,,
68,11_C_65_09,KDP_C_65_09_Khajipet,Nandyalampet,,,,,,
69,11_C_65_09,KDP_C_65_09_Khajipet,Somayajulapalli,,,,,,
70,11_C_65_09,KDP_C_65_09_Khajipet,Annaluru,,,,,,
71,11_C_65_09,KDP_C_65_09_Khajipet,Sivapuram,,,,,,
72,11_C_65_09,KDP_C_65_09_Khajipet,S.Mydukur,,,,,,
73,11_C_65_09,KDP_C_65_09_Khajipet,Bhumayapalli,,,,,,
74,11_C_65_09,KDP_C_65_09_Khajipet,Buddayapalli,,,,,,
75,11_C_65_09,KDP_C_65_09_Khajipet,Pulluru,1,15,,,,
76,11_C_65_09,KDP_C_65_09_Khajipet,Nagasanipalli,,,,,,
77,11_C_65_09,KDP_C_65_09_Khajipet,Machupalli,,,,,,
78,11_C_65_09,KDP_C_65_09_Khajipet,Pathuru,,,,,,
79,11_C_65_09,KDP_C_65_09_Khajipet,K.Sunkesula,,,,,,
80,11_C_65_09,KDP_C_65_09_Khajipet,Tudumuladinne,,,,,,
81,11_C_65_09,KDP_C_65_09_Khajipet,Kommaluru,,,,,,
82,11_C_65_09,KDP_C_65_09_Khajipet,Thavvaripalli,,,,,,
83,11_C_65_09,KDP_C_65_09_Khajipet,Ravulapalli,1,12,,,,
84,11_C_65_09,KDP_C_65_09_Khajipet,Kotlur,,,,,,
85,11_C_65_09,KDP_C_65_09_Khajipet,RF,,,,,,
86,11_C_65_11,KDP_C_65_11_CHENNURU,Thollaganganapalli,,,,,,
87,11_C_65_11,KDP_C_65_11_CHENNURU,Yadavapuram,,,,,,
88,11_C_65_11,KDP_C_65_11_CHENNURU,Kokkarayapalli,,,,,,
89,11_C_65_11,KDP_C_65_11_CHENNURU,Chennuru,,,,,,
90,11_C_65_11,KDP_C_65_11_CHENNURU,Nazeerbeigpalli,,,,,,
91,11_C_65_11,KDP_C_65_11_CHENNURU,Gurrampadu,,,,,,
92,11_C_65_11,KDP_C_65_11_CHENNURU,Ramanapalli,,,,,,
93,11_C_65_11,KDP_C_65_11_CHENNURU,Upparapalli,,,,,,
94,11_C_65_11,KDP_C_65_11_CHENNURU,Dugganapalli,,,,,,
95,11_C_65_11,KDP_C_65_11_CHENNURU,Chinnamachupalli,,,,,,
96,11_C_65_11,KDP_C_65_11_CHENNURU,Rudrabharatipet,,,,,,
97,11_C_65_11,KDP_C_65_11_CHENNURU,Rachinayanapalli,,,,,,
98,11_C_65_11,KDP_C_65_11_CHENNURU,Mundlapalli,,,,,,
99,11_C_65_11,KDP_C_65_11_CHENNURU,Kopparthi,,,,,,
100,11_C_65_11,KDP_C_65_11_CHENNURU,Tadigotla,,,,,,
101,11_C_65_11,KDP_C_65_11_CHENNURU,Royalapanthulapalli,,,,,,
102,11_C_65_11,KDP_C_65_11_CHENNURU,T.Ramachandrapuram,,,,,,
103,11_C_65_11,KDP_C_65_11_CHENNURU,Krishnapuram,,,,,,
104,11_C_65_11,KDP_C_65_11_CHENNURU,Pabbapuram,,,,,,
105,11_C_65_11,KDP_C_65_11_CHENNURU,Papasahebpet,,,,,,
106,11_C_65_11,KDP_C_65_11_CHENNURU,Cherlopalli,,,,,,
107,11_C_65_11,KDP_C_65_11_CHENNURU,Balupalli,,,,,,
108,11_C_65_11,KDP_C_65_11_CHENNURU,K.Ramachandrapuram,,,,,,
109,11_C_65_11,KDP_C_65_11_CHENNURU,Kammavaripalli,,,,,,
110,11_C_65_11,KDP_C_65_11_CHENNURU,Apparajupalli,,,,,,
111,11_C_65_11,KDP_C_65_11_CHENNURU,Ganganapalli,,,,,,
112,11_C_65_11,KDP_C_65_11_CHENNURU,Tippireddypalli,,,,,,
113,11_C_65_11,KDP_C_65_11_CHENNURU,K.Giriyampalli,,,,,,
114,11_C_65_12,KDP_C_65_12_KADAPA,Guduru,,,,,,
115,11_C_65_12,KDP_C_65_12_KADAPA,Pathacuddapah,,,,,,
116,11_C_65_12,KDP_C_65_12_KADAPA,Ukkayapalli,,,,,,
117,11_C_65_12,KDP_C_65_12_KADAPA,Chemmumiyapet,1,82,,,,
118,11_C_65_12,KDP_C_65_12_KADAPA,Akkyapalli,,,,,,
119,11_C_65_12,KDP_C_65_12_KADAPA,Palempalli,,,,,,
120,11_C_65_12,KDP_C_65_12_KADAPA,Chinnachowk,1,25,,,,
121,11_C_65_12,KDP_C_65_12_KADAPA,Ramarajupalli,,,,,,
122,11_C_65_12,KDP_C_65_12_KADAPA,Nagarajupet,,,,,,
123,11_C_65_12,KDP_C_65_12_KADAPA,Cuddapah,1,197,,,,
124,11_C_65_12,KDP_C_65_12_KADAPA,Putlampalli,3,95,,,,
125,11_C_65_12,KDP_C_65_12_KADAPA,Chintakommadinne,1,96,,,,
126,11_C_65_12,KDP_C_65_12_KADAPA,Utukuru,1,20,,,,
127,11_C_65_12,KDP_C_65_12_KADAPA,Viswanathapuram,,,,,,
128,11_C_65_12,KDP_C_65_12_KADAPA,Mamillapalli,,,,,,
129,11_C_65_12,KDP_C_65_12_KADAPA,Buggalapalli,,,,,,
130,11_C_65_12,KDP_C_65_12_KADAPA,Rudraiahgaripalli,,,,,,
131,11_C_65_12,KDP_C_65_12_KADAPA,Buggaletipalli,,,,,,
132,11_C_65_12,KDP_C_65_12_KADAPA,Kolumulapalli,,,,,,
133,11_C_65_12,KDP_C_65_12_KADAPA,Jamalpalli,,,,,,
134,11_C_65_12,KDP_C_65_12_KADAPA,Chinnakampalli,,,,,,
135,11_C_65_12,KDP_C_65_12_KADAPA,Peddakampalli,1,45,,,,
136,11_C_65_12,KDP_C_65_12_KADAPA,Ippenta,1,45,,,,
137,11_C_65_12,KDP_C_65_12_KADAPA,RF,,,,,,
138,11_C_65_16,KDP_C_67_16_KONDAPURAM,Kondapuram,1,18,,,,
139,11_C_65_16,KDP_C_67_16_KONDAPURAM,Obannapet,1,20,,,,
140,11_C_65_16,KDP_C_67_16_KONDAPURAM,Anantapuram,5,8,,,,
141,11_C_65_16,KDP_C_67_16_KONDAPURAM,Penujuvvi,1,20,,,,
142,11_C_65_16,KDP_C_67_16_KONDAPURAM,Pottipadu,0,0,,,,
143,11_C_65_16,KDP_C_67_16_KONDAPURAM,Donkupalli,0,0,,,,
144,11_C_65_16,KDP_C_67_16_KONDAPURAM,S.Timmapuram,0,0,,,,
145,11_C_65_16,KDP_C_67_16_KONDAPURAM,Lavanur,,,0,0,,
146,11_C_65_16,KDP_C_67_16_KONDAPURAM,Chinnamanenipalli,,,0,0,,
147,11_C_65_16,KDP_C_67_16_KONDAPURAM,Lingamanenipalli,,,0,0,,
148,11_C_65_16,KDP_C_67_16_KONDAPURAM,Venkaiahkalva,0,0,,,,
149,11_C_65_16,KDP_C_67_16_KONDAPURAM,Pydipalem,1,1,,,,
150,11_C_65_16,KDP_C_67_16_KONDAPURAM,Chavvaripalli,0,0,,,,
151,11_C_65_16,KDP_C_67_16_KONDAPURAM,Devathapuram,0,0,,,,
152,11_C_65_16,KDP_C_67_16_KONDAPURAM,RF,,,,,,
153,11_C_65_17,KDP_C_67_17_ETURU,Yeturu,,,,,,
154,11_C_65_17,KDP_C_67_17_ETURU,Beduduru,,,,,,
155,11_C_65_17,KDP_C_67_17_ETURU,Yanamalachintala,,,,,,
156,11_C_65_17,KDP_C_67_17_ETURU,Sivapuram,,,,,,
157,11_C_65_18,KDP_C_67_18_PARNAPALLI,Komanutala,,,,,,
158,11_C_65_18,KDP_C_67_18_PARNAPALLI,Velidandla,,,,,,
159,11_C_65_18,KDP_C_67_18_PARNAPALLI,Parnapalli,,,,,,
160,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnaventurla,,,0,0,,
161,11_C_65_19,KDP_C_68_19_T.M.PATNAM,B. Venkatapuram,,,0,0,,
162,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Bestavemula,,,1,56,,
163,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Kallutla,,,1,143,,
164,11_C_65_19,KDP_C_68_19_T.M.PATNAM,A.Kambaladinne,,,0,0,,
165,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Nawabpet,,,0,0,,
166,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnakomerla,1,16,,,,
167,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Dugganapalli,,,0,0,,
168,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Talamanchipatnam,,,1,81,,
169,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Madhavaram,,,0,0,,
