Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,,,,,,,,,,,,
1,11_C_65_03,KDP_C_65_03_J.Madugu,24,Mylavaram,,4588,4588,252340,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,2,Mylavaram,11158020240116,24,Mylavaram
2,11_C_65_03,KDP_C_65_03_J.Madugu,25,Khadarabad,,0,0,0,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,2,Mylavaram,11158020250117,25,Khadarabad
3,11_C_65_03,KDP_C_65_03_J.Madugu,26,Lingapuram,,544,544,29920,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,2,Mylavaram,11158020260117,26,Lingapuram
4,11_C_65_03,KDP_C_65_03_J.Madugu,28,Nelanoothala,,80,80,4400,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,2,Mylavaram,11158020280117,28,Nelanoothala
5,11_C_65_03,KDP_C_65_03_J.Madugu,1,Rangasayapuram,,158,158,8690,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,15,Proddatur,11157150010101,1,Rangasayapuram
6,11_C_65_03,KDP_C_65_03_J.Madugu,2,Chowduru,2881,,2881,158455,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,15,Proddatur,11157150020101,2,Chowduru
7,11_C_65_03,KDP_C_65_03_J.Madugu,3,Peddasettipalli,5347,,5347,294085,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,15,Proddatur,11157150030103,3,Peddasettipalli
8,11_C_65_03,KDP_C_65_03_J.Madugu,4,Dorasanipalli,,4719,4719,259545,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,15,Proddatur,11157150040104,4,Dorasanipalli
9,11_C_65_03,KDP_C_65_03_J.Madugu,13,Kallur,2945,,2945,161975,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,15,Proddatur,11157150130114,13,Kallur
10,11_C_65_03,KDP_C_65_03_J.Madugu,14,Regulapalli,,439,439,24145,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,15,Proddatur,11157150140113,14,Regulapalli
