,,7,"Command area",,,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
,"KDP_C_65_03_J.Madugu","DW",0,,40,90,857.1428571,,120,240,3571.428571,,120,240,0,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_65_03_J.Madugu","DW+PS/DCB",4285.714286,,40,90,4285.714286,,120,240,7142.857143,,120,240,0,,40,90,4285.714286,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_03_J.Madugu","BWs",8571.428571,42,40,90,5142.857143,,120,240,7142.857143,,120,240,8571.428571,,45,75,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_03_J.Madugu","STW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_03_J.Madugu","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_03_J.Madugu","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_65_03_J.Madugu","Filter Points",7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_04_Gandikota","DW",0,,40,90,857.1428571,,120,240,3571.428571,,120,240,0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,,,,,3571.428571,,120,240
,"KDP_C_65_04_Gandikota","DW+PS/DCB",4285.714286,,40,90,4285.714286,,120,240,7142.857143,,120,240,4285.714286,,40,90,4285.714286,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_04_Gandikota","BWs",8571.428571,,40,90,5142.857143,,120,240,7142.857143,,120,240,8571.428571,,45,75,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_04_Gandikota","STW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_04_Gandikota","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_04_Gandikota","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_65_04_Gandikota","Filter Points",7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_05_Potladurthi","DW",0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_65_05_Potladurthi","DW+PS/DCB",0,,40,90,4285.714286,,120,240,0,,120,240,0,,40,90,4285.714286,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_05_Potladurthi","BWs",8571.428571,,40,90,5142.857143,,120,240,7142.857143,,120,240,8571.428571,,45,75,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_05_Potladurthi","STW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_05_Potladurthi","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_05_Potladurthi","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_65_05_Potladurthi","Filter Points",7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
