S.no,GW watershed  name,IWM Micro basin,,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,KDP_C_65_03_J.Madugu,KDP_C_65_J.MADUGU-MB,5.26,7.24,7.84,,5.26,7.24,7.84,,1,0.9,650,421,229,497,290,207
2,KDP_C_65_04_Gandikota,KDP_C_65_GADIKOTA-MB,5.26,7.24,7.84,,5.26,7.24,7.84,,1,0.9,623,406,217,553,288,553
3,KDP_C_65_05_Potladurthi,KDP_C_65_POTLADURTHI-MB,0.25,2.49,1.87,,0.25,2.49,1.87,,1,0.9,654,412,242,562,260,302
4,KDP_C_65_08_Sidhout,KDP_C_65_SIDHOUT-MB,7.6,6.34,7.95,,4.76,3.51,5.22,,1,0.9,725,430,295,603,296,307
5,KDP_C_65_09_Khajipet,KDP_C_65_KHAJIPET-MB,5.43,4.12,10.52,,5.43,4.12,10.52,,1,0.9,728,452,276,413,242,171
6,KDP_C_65_11_CHENNURU,KDP_C_65_CHENNURU-MB,7.86,8.17,11.25,,4.06,3.19,4.29,,1,0.9,652,386,266,651,352,299
7,KDP_C_65_12_KADAPA,KDP_C_65_KADAPA-MB,7.86,8.17,11.25,,5.26,4.55,5.69,,1,0.9,656,390,266,775,397,378
8,KDP_C_67_16_KONDAPURAM,KDP_C_67_KONDAPURAM-MB,5.95,7.9,11.43,,8.04,10.91,10.96,,1,0.9,612,408,204,404,281,123
9,KDP_C_67_17_ETURU,KDP_C_67_ETURU-MB,5.95,7.9,11.43,,8.04,10.91,10.96,,1,0.9,612,408,204,404,281,123
10,KDP_C_67_18_PARNAPALLI,KDP_C_67_PARNAPALLI-MB,5.95,7.9,11.43,,10.12,10.38,10.48,,1,0.9,615,356,259,388,238,150
11,KDP_C_68_19_T.M.PATNAM,KDP_C_68_T.M.PATNAM-MB,7.56,10.31,11.17,,7.56,10.31,11.17,,1,0.9,631,424,207,524,307,217
12,KDP_C_68_20_DIGUVAKALVATALA,KDP_C_68_DIGUVAKALVATALA-MB,4.84,4.38,5.06,,4.84,4.38,5.06,,1,0.9,687,419,268,529,301,228
13,KDP_C_68_21_PEDDAMUDIUM,KDP_C_68_PEDDAMUDIUM-MB,4.84,4.38,5.06,,4.84,4.38,5.06,,1,0.9,687,419,268,529,301,228
14,KDP_C_68_22_RAJUPALEM,KDP_C_68_RAJUPALEM-MB,4.84,4.38,5.06,,4.18,3.35,4.38,,1,0.9,697,437,260,496,289,207
15,KDP_C_68_23_CHAPADU,KDP_C_68_CHAPADU-MB,5.61,3.93,4.04,,5.61,3.93,4.04,,1,0.9,680,438,242,356,184,172
16,KDP_C_68_24_DUVVURU,KDP_C_68_DUVVURU-MB,2.87,1.03,4.34,,3.23,0.96,2.95,,1,0.9,696,458,238,392,243,149
17,KDP_C_68_25_MYDUKURU,KDP_C_68_MYDUKURU-MB,5.48,6.83,11.29,,4.33,1.93,4.57,,1,0.9,696,458,238,392,243,149
18,KDP_C_69_31_VEMPALLI,KDP_C_69_VEMPALLI-MB,15.7,16.44,19.55,,15.7,16.44,19.55,,1,0.9,642,394,248,496,307,189
19,KDP_C_69_32_TALLAPALLI,KDP_C_69_TALLAPALLI-MB,14.24,15.11,17.37,,15.7,16.44,19.55,,1,0.9,591,364,227,449,258,191
20,KDP_C_69_33_VEMULA,KDP_C_69_VEMULA-MB,14.24,15.11,17.37,,15.46,17.53,19.66,,1,0.7,604,359,245,290,146,144
21,KDP_C_69_35_PULIVENDULA,KDP_C_69_PULIVENDULA-MB,14.24,15.11,17.37,,15.46,17.53,19.66,,1,0.7,628,369,259,260,152,108
22,KDP_C_69_36_LINGALA,KDP_C_69_LINGALA-MB,64.5,59.97,70.1,,64.5,59.97,70.1,,1,0.9,621,356,265,339,192,147
23,KDP_C_69_37_KONAMPALLI,KDP_C_69_KONAMPALLI-MB,14.24,15.11,17.37,,15.46,17.53,19.66,,1,0.9,620,355,265,339,192,147
24,KDP_C_69_38_KAMASAMUDRAM,KDP_C_69_KAMASAMUDRAM-MB,44.03,38.64,52.19,,44.03,38.64,54.19,,1,0.9,639,391,248,355,209,146
25,KDP_C_69_39_SIMHADRIPURAM,KDP_C_69_SIMHADRIPURAM-MB,23.55,17.31,34.27,,44.03,38.64,52.19,,1,0.9,647,435,212,347,231,116
26,KDP_C_70_49_SAVISETTIPALLI,KDP_C_70_SAVISETTIPALLI-MB,5.19,5.54,9.08,,5.19,5.54,9.08,,1,0.9,780,413,367,437,280,157
27,KDP_C_70_50_PORUMAMILLA,KDP_C_70_PORUMAMILLA-MB,5.19,5.54,9.08,,5.19,5.54,9.08,,1,0.9,798,413,385,509,321,188
28,KDP_C_70_51_BADVEL,KDP_C_70_BADVEL-MB,8.57,5.47,18.97,,8.57,5.47,18.97,,1,0.9,821,425,396,535,316,219
29,KDP_C_70_52_B.MATAM,KDP_C_70_B.MATAM-MB,8.59,4.55,17.43,,7.37,5.33,9.42,,1,0.9,757,410,347,413,254,159
30,KDP_C_70_53_REKULAKUNTA,KDP_C_70_REKULAKUNTA-MB,8.59,4.55,17.43,,11.35,13.25,24.09,,1,0.9,812,430,382,500,280,220
31,KDP_C_65_01_Chamaluru,KDP_C_65_CHAMALURU-MB,3.63,3.99,3.98,,,,,,1,,572,380,192,459.9,330.2,129.7
32,KDP_C_65_02_Regadipalli,KDP_C_65_REGADIPALLI-MB,3.63,3.99,3.98,,,,,,1,,572,380,192,459.9,330.2,129.7
33,KDP_C_65_06_Peddapalli,KDP_C_65_PEDDAPALLI-MB,7.79,5.19,7.28,,,,,,1,,749.2,408,408,683.6,316.6,367
34,KDP_C_65_07_Vontimitta,KDP_C_65_VONTIMITTA-MB,8.2,9.73,8.9,,,,,,1,,660,330,331,668.7,266.7,402.0
35,KDP_C_65_10_PENDLIMARI,KDP_C_65_PENDLIMARI-MB,44.39,29.95,38.09,,,,,,1,,692,403.5,288.5,450.2,257.2,193.0
36,KDP_C_65_13_GOPAVARAM,KDP_C_65_GOPAVARAM-MB,4.73,4.13,5.48,,,,,,1,,828,408,420,533,277,255
37,KDP_C_65_14_MALLEMADUGU,KDP_C_65_MALLEMADUGU-MB,4.07,3.96,4.04,,,,,,1,,918,399,519,963,401,562
38,KDP_C_65_15_MUDDANURU,KDP_C_65_MUDDANURU-MB,8.4,9.38,11.48,,,,,,1,,552,363,189,489,250,239
39,KDP_C_69_26_Veligallu,KDP_C_69_VELIGALLU-MB,21.86,14.77,20.92,,,,,,1,,725.4,428,297.4,503.8,258.2,245.6
40,KDP_C_69_27_GALIVEEDU,KDP_C_69_GALIVEEDU-MB,21.86,14.77,20.92,,,,,,1,,725.4,428,297.4,503.8,258.2,245.6
41,KDP_C_69_28_SURABHI,KDP_C_69_SURABHI-MB,6.6,4.73,8.29,,,,,,1,,667.6,389,278.6,452.6,338.4,114.2
42,KDP_C_69_29_K.Yerragudi,KDP_C_69_K.YERRAGUDI-MB,8.87,7.21,12.1,,,,,,1,,667.4,389,278.4,452.6,338.4,114.2
43,KDP_C_69_30_Chakrayapeta,KDP_C_69_CHAKRAYAPET-MB,8.87,7.21,12.2,,,,,,1,,669,389,280,635,395,240
44,KDP_C_69_34_N.PALAGIRI,KDP_C_69_N.PALAGIRI-MB,18.92,15.18,26.23,,,,,,1,,606,375,231,390,226,164
45,KDP_C_69_40_Thonduru,KDP_C_69_THONDURU-MB,6.72,8.45,16.25,,,,,,1,,630,382,248,230,158,72
46,KDP_C_69_41_Uppaluru,KDP_C_69_UPPALURU-MB,19.6,20.23,20.9,,,,,,1,,592.9,381.7,211.2,546.3,277.0,269.3
47,KDP_C_69_42_Payasampalli,KDP_C_69_PAYASAMPALLI-MB,11.11,9.27,14.79,,,,,,1,,622,389,233,536,263,273
48,KDP_C_69_43_Kamlapuram,KDP_C_69_KAMALAPURAM-MB,18.92,15.18,26.23,,,,,,1,,663,410,253,522,232,290
49,KDP_C_69_44_NANDIMANDALAM,KDP_C_69_NANDIMANDALAM-MB,31.66,22.57,33.79,,,,,,1,,692,403.5,288.5,450.2,257.3,192.9
50,KDP_C_70_45_Kothakota,KDP_C_70_KOTHAKOTA-MB,26.69,16.4,27.16,,,,,,1,,888,465,423,681,481,200
51,KDP_C_70_46_Gopavarampalli,KDP_C_70_GOPAVARAMPALLI-MB,50.3,29.8,50.2,,,,,,1,,888,465,423,681,481,200
52,KDP_C_70_47_Kasinayana,KDP_C_70_KASINAYANA-MB,26.69,16.4,27.16,,,,,,1,,890,468,422,550,386,164
53,KDP_C_70_48_Akkalreddypalli,KDP_C_70_AKKALREDDYPALLI-MB,28.8,18.95,32.12,,,,,,1,,907,469,438,538,347,191
54,KDP_C_70_54_Atloor,KDP_C_70_ATLOOR-MB,33.61,43.4,52.8,,,,,,1,,697,359,338,644,199,445
55,KDP_C_70_55_Muthukuru,KDP_C_70_MUTHUKURU-MB,33.61,43.4,52.8,,,,,,1,,696,358,338,644,199,445
56,KDP_C_71_56_Ramapuram,KDP_C_71_RAMAPURAM-MB,7.8,8.07,10.31,,,,,,1,,659,408.5,250.5,531,281,250
57,KDP_C_71_57_L.R.PALLI,KDP_C_71_L.R.PALLI-MB,8.07,9.11,11.77,,,,,,1,,635,382,253,587,274,313
58,KDP_C_71_58_Veeraballi,KDP_C_71_VEERABALLI-MB,5.75,5.87,7.43,,,,,,1,,606,354,252,632,260,372
59,KDP_C_71_59_Chinnamandem,KDP_C_71_CHINNAMANDEM-MB,10.55,13.79,18.74,,,,,,1,,624,349,275,630,215,415
60,KDP_C_71_60_SAMBEPALLI,KDP_C_71_SAMBEPALLI-MB,1.55,13.79,18.74,,,,,,1,,609,342,267,617,245,372
61,KDP_C_71_61_T.Sundupalli,KDP_C_71_T.SUNDUPALLI-MB,9.83,12.27,16.16,,,,,,1,,670,373,297,647,270,377
62,KDP_C_71_62_Reddivaripalli,KDP_C_71_REDDIVARIPALLI-MB,8.4,9.25,11,,,,,,1,,773,408,365,728,287,441
63,KDP_C_71_63_TsundupalleRF,KDP_C_71_T.SUNDUPALLIRF-MB,8.4,9.25,11,,,,,,1,,773,408,365,728,287,441
64,KDP_C_71_64_Mudumpadu,KDP_C_71_MUDUMPADU-MB,5.63,5.82,7.35,,,,,,1,,783,399,384,596,282,314
65,KDP_C_71_65_Rayavaram,KDP_C_71_RAYAVARAM-MB,8.4,9.25,11,,,,,,1,,773,408,365,468,27,441
66,KDP_C_71_66_Sanipaya,KDP_C_71_SANIPAYA-MB,10.2,8.16,11.35,,,,,,1,,611,362,249,597,284,313
67,KDP_C_71_67_RAJAMPET,KDP_C_71_RAJAMPET-MB,20.1,9.36,6.11,,,,,,1,,793,390,403,823,381,442
68,KDP_C_71_68_PULLAMPET,KDP_C_71_PULLAMPET-MB,29.35,18.35,12.86,,,,,,1,,797,341,456,824,397,427
69,KDP_C_71_69_Anantharajupet,KDP_C_71_ANANTHARAJUPET-MB,21.36,20.36,17.2,,,,,,1,,925,348,577,1024,409,615
70,KDP_C_71_70_Koduru,KDP_C_71_KODURU-MB,21.36,20.36,17.2,,,,,,1,,925,348,577,1024,409,615
71,KDP_C_71_71_Settigunta,KDP_C_71_SETTIGUNTA-MB,21.36,20.36,17.2,,,,,,1,,925,348,577,1024,409,615
72,KDP_C_71_72_Seshachala Forest,KDP_C_71_SESHACHAL FOREST-MB,21.36,20.36,17.2,,,,,,1,,925,348,577,1024,409,615
73,KDP_C_71_73_PENAGALURU,KDP_C_71_PENAGALURU-MB,26.69,24.6,23.18,,,,,,1,,849,383,466,895,371,524
74,KDP_C_71_74_Chitvel,KDP_C_71_CHITVEL-MB,16.12,12.56,13.75,,,,,,1,,924,398,526,1049,555,494
75,KDP_C_71_75_KONDURU,KDP_C_71_KONDURU-MB,16.55,14.02,14.43,,,,,,1,,849,383,466,895,371,524
76,KDP_C_71_76_NANDALURU,KDP_C_71_NANDALURU-MB,4.07,3.96,4.58,,,,,,1,,742,367,375,916,355,561
77,KDP_C_71_77_SIRIVARAM,KDP_C_71_SIRIVARAM-MB,4.07,3.96,4.58,,,,,,1,,780,367,413,826,340,486
