S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
1,11_C_65_03,KDP_C_65_03_J.Madugu,Mylavaram,,,,,,,,,,,,,2,0.6,3,0.9,,,,,,,,,,,,,,
2,11_C_65_03,KDP_C_65_03_J.Madugu,Khadarabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11_C_65_03,KDP_C_65_03_J.Madugu,Lingapuram,,,,,,,,,,,,,,,7,2.1,,,,,,,,,,,,,,
4,11_C_65_03,KDP_C_65_03_J.Madugu,Nelanoothala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11_C_65_03,KDP_C_65_03_J.Madugu,Rangasayapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11_C_65_03,KDP_C_65_03_J.Madugu,Chowduru,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
7,11_C_65_03,KDP_C_65_03_J.Madugu,Peddasettipalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11_C_65_03,KDP_C_65_03_J.Madugu,Dorasanipalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11_C_65_03,KDP_C_65_03_J.Madugu,Kallur,,,,,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
10,11_C_65_03,KDP_C_65_03_J.Madugu,Regulapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11_C_65_03,KDP_C_65_03_J.Madugu,Nanganurupalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11_C_65_03,KDP_C_65_03_J.Madugu,Kothapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11_C_65_03,KDP_C_65_03_J.Madugu,Modameedipalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11_C_65_03,KDP_C_65_03_J.Madugu,Rameswaram,,,,,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
15,11_C_65_03,KDP_C_65_03_J.Madugu,Jammalamadugu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11_C_65_03,KDP_C_65_03_J.Madugu,Kanneluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11_C_65_03,KDP_C_65_03_J.Madugu,Moragudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11_C_65_03,KDP_C_65_03_J.Madugu,Goriganuru,,,,,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
19,11_C_65_03,KDP_C_65_03_J.Madugu,Dharmapuram,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
20,11_C_65_03,KDP_C_65_03_J.Madugu,Danavulapadu,,,,,,,15,0.45,,,,,,,,,,,,,,,,,,,,,,
21,11_C_65_03,KDP_C_65_03_J.Madugu,Devagudi,,,,,,,13,0.39,,,,,,,,,,,,,,,,,,,,,,
22,11_C_65_03,KDP_C_65_03_J.Madugu,Purvapu Sugamanchupalle,,,,,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
23,11_C_65_04,KDP_C_65_04_Gandikota,Gandluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,11_C_65_04,KDP_C_65_04_Gandikota,Gudemcheruvu,,,,,,,,,,,,,,,5,1.5,,,,,,,,,,,,,,
25,11_C_65_04,KDP_C_65_04_Gandikota,Ponnathota,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
26,11_C_65_04,KDP_C_65_04_Gandikota,Diguvapatnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,11_C_65_04,KDP_C_65_04_Gandikota,Gandikota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11_C_65_04,KDP_C_65_04_Gandikota,Sanjeevapalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,11_C_65_04,KDP_C_65_04_Gandikota,Purvabommepalle,,,,,,,,,,,1,0.5,1,0.3,10,3,,,,,,,,,,,,,,
30,11_C_65_04,KDP_C_65_04_Gandikota,Vemaguntapalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,11_C_65_04,KDP_C_65_04_Gandikota,Ambavaram,,,,,,,,,,,1,0.5,,,15,4.5,,,,,,,,,,,,,,
32,11_C_65_04,KDP_C_65_04_Gandikota,Sirigepalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11_C_65_04,KDP_C_65_04_Gandikota,Peddadandluru,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
34,11_C_65_04,KDP_C_65_04_Gandikota,Sunnapurallapalle,2,0.5,,,6,1.8,,,,,,,,,,,,,,,,,,,,,,,,
35,11_C_65_04,KDP_C_65_04_Gandikota,Thugutlapalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,11_C_65_04,KDP_C_65_04_Gandikota,Kottagunta Palle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11_C_65_04,KDP_C_65_04_Gandikota,DiguvaBrahmanapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,11_C_65_04,KDP_C_65_04_Gandikota,Kibili Rangapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,11_C_65_04,KDP_C_65_04_Gandikota,Obulapuram,,,,,,,,,,,5,0.5,4,1.2,3,0.9,,,,,,,,,,,,,,
40,11_C_65_04,KDP_C_65_04_Gandikota,korrapadu,,,,,,,,,,,,,6,1.8,1,0.3,,,,,,,,,,,,,,
41,11_C_65_04,KDP_C_65_04_Gandikota,Mangapatnam,,,,,,,,,,,2,0.5,15,4.5,3,0.9,,,,,,,,,,,,,,
42,11_C_65_04,KDP_C_65_04_Gandikota,P.Gopalapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11_C_65_04,KDP_C_65_04_Gandikota,Chinnadandluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,11_C_65_04,KDP_C_65_04_Gandikota,Illuru,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
45,11_C_65_04,KDP_C_65_04_Gandikota,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,11_C_65_05,KDP_C_65_05_Potladurthi,Potladurthi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,11_C_65_05,KDP_C_65_05_Potladurthi,Hanumangutti,,,,,6,1.8,,,,,,,,,,,,,,,,,,,,,,,,
48,11_C_65_05,KDP_C_65_05_Potladurthi,K.Vengammagaripalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,11_C_65_05,KDP_C_65_05_Potladurthi,Yerraguntla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,11_C_65_05,KDP_C_65_05_Potladurthi,Kokatam,,,,,4,1.2,,,,,,,,,,,,,,,,,,,,,,,,
51,11_C_65_05,KDP_C_65_05_Potladurthi,Sambaturu,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
52,11_C_65_08,KDP_C_65_08_Sidhout,Dumpalagattu,,,,,3,0.9,,,,,,,,,,,,,,,,,,,,,,,,
53,11_C_65_08,KDP_C_65_08_Sidhout,Chemullapalli,,,,,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
54,11_C_65_08,KDP_C_65_08_Sidhout,Chennamukkapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,11_C_65_08,KDP_C_65_08_Sidhout,Doulathapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,11_C_65_08,KDP_C_65_08_Sidhout,Bayanapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,11_C_65_08,KDP_C_65_08_Sidhout,Kanuparthi,1,0.5,1,0.3,5,1.5,,,,,,,,,,,,,,,,,,,,,,,,
58,11_C_65_08,KDP_C_65_08_Sidhout,Ponnavolu,,,,,,,,,,,,,,,,,3,0.09,,,,,,,,,,,,
