"Sr.no",,,"Village name","T.Area (ha)","Watershed command area ",,,,"Watershed Non command Area",,,,"Watershed poor quality Area",,,
,"Water shed code","Watershed name",,,"Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total"
1,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Vanikamdinne",520,520,,,520,0,,,,0,,,
2,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Jeenepalli",670,670,,,670,0,,,,0,,,
3,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gumperamanudinne",1450,1450,,,1450,0,,,,0,,,
4,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Erraguntla",1582,1582,,,1582,0,,,,0,,,
5,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Rampalli",490,490,0,,490,0,0,,,0,,0,
6,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Nelampadu",707,707,,,707,0,,,,0,,,
7,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Bramhanapalli",243,243,,,243,0,,,,0,,,
8,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gotluru",1032,1032,,,1032,0,,,,0,,,
9,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Kalugotlapalli",637,637,,,637,0,,,,0,,,
10,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Rajoli",1106,1106,,,1106,0,,,,0,,,
11,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Mallevemula",1004,1004,,,1004,0,,,,0,,,
12,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Bathaluru",2187,2187,,,2187,0,,,,0,,,
13,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","G.Jamuladinne",1004,1004,,,1004,0,,,,0,,,
14,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gubagundam",1191,1191,,,1191,0,,,,0,,,
15,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Devarayapuram",881,881,,,881,0,,,,0,,,
16,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Nallagatla",1526,1526,,,1526,0,,,,0,,,
17,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gopalapuram",261,261,,,261,0,,,,0,,,
18,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Allagadda",1026,1026,,,1026,0,,,,0,,,
19,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","PeddaChinthakuta",2967,2967,,,2967,0,,,,0,,,
20,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","S.Lingamdinne",518,518,,,518,0,,,,0,,,
21,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Patha Kandukuru",1399,1399,,,1399,0,,,,0,,,
22,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Palasagaram",225,225,,,225,0,,,,0,,,
23,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Kotakandukuru",2654,2654,,,2654,0,,,,0,,,
24,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Chinthakommadinne",873,873,,,873,0,,,,0,,,
25,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Kondapuram",484,484,,,484,0,,,,0,,,
26,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Arjunapuram",356,356,,,356,0,,,,0,,,
27,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Gollagutta",543,0,0,,0,263,280,,543,0,,,
28,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Meerapuram",743,0,0,,0,593,150,,743,0,,,
29,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Banaganapalli",849,849,0,,849,0,0,,0,0,,,
30,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Yerragudi",572,0,0,,0,422,150,,572,0,,,
31,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Hussainapuram",468,0,0,,0,468,0,,468,0,,,
32,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Yanagandla",1176,0,0,,0,1176,0,,1176,0,,,
33,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Battalurupadu",229,229,0,,229,0,0,,0,0,,,
34,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Yagantipalli",693,0,0,,0,693,0,,693,0,,,
35,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Bhanumukkala",1405,1395,10,,1405,0,0,,0,0,,,
36,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Reserve Forest",2500,0,,,0,2000,500,,2500,0,,,
37,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Velagaturu",446,446,0,0,446,0,0,0,,0,,,
38,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Bijinivemula",1513,1513,0,0,1513,0,0,0,,0,,,
39,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Peddakopperla",947,947,0,0,947,0,0,0,,0,,,
40,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Chinakopperla",834,834,0,0,834,0,0,0,,0,,,
41,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Vallampadu",785,785,0,0,785,0,0,0,,0,,,
42,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Rayapadu",361,361,0,0,361,0,0,0,,0,,,
43,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kotturu",456,456,0,0,456,0,0,0,,0,,,
44,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Gaggaturu",513,513,0,0,513,0,0,0,,0,,,
45,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Anupuru",1187,1187,0,0,1187,0,0,0,,0,,,
46,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Tangaturu",2055,2055,0,0,2055,0,0,0,,0,,,
47,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Mittapalle",537,537,0,0,537,0,0,0,,0,,,
48,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kaipa",1485,1485,0,0,1485,0,0,0,,0,,,
49,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Sankalapuram",656,656,0,0,656,0,0,0,,0,,,
50,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Appalapuram",1216,1216,0,0,1216,0,0,0,,0,,,
51,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Vittalapuram",744,744,0,0,744,0,0,0,,0,,,
52,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Nandavaram",2824,2824,0,0,2824,0,0,0,,0,,,
53,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Jillela",600,600,0,0,600,0,0,,,0,,,
54,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Tiimmapuram",571,571,0,0,571,0,0,,,0,,,
55,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Nandivargam",1019,1019,0,0,1019,0,0,,,0,,,
56,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Ramateertham",1201,1201,0,0,1201,0,0,,0,0,,,
57,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Beeravolu",778,778,0,0,778,0,0,,,0,,,
58,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Cheruvupalli",887,887,0,0,887,0,0,,,0,,,
59,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Palkur",3289,0,0,0,,3000,289,,3289,0,,,
60,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Venkatapuram",1242,1242,0,0,1242,0,0,,,0,,,
61,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kapulapalli",785,785,0,0,785,0,0,,,0,,,
