"S.No","Watershed code","Watershed Name"," Village Name","Length ","Design depth of flow","Bed width","Side Slopes","WettedPerimeter","Wetted area","Canal seepage factor"," No.of operating days of canal",," Recharge from canal (ha.m)",,"Annual Recharge"
,,,,"mts","mts","mts","( degrees )","mts","( m.sq mts.)","( ha.m/d/m.sq.m )","Monsoon ","N-Monsoon","Monsoon ","Non-Monsoon","( ha.m )"
1,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Vanikamdinne",25970,7,2,45,13.8,0.358,4,90,60,128.74,85.83,214.57
2,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Jeenepalli",20000,6,3,45,12.3,0.247,4,90,60,88.8,59.2,148.01
3,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gumperamanudinne",20000,5,3,45,11.5,0.23,4,90,60,82.69,55.13,137.82
4,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Erraguntla",100,2,5,45,8.4,0.001,4,90,60,0.3,0.2,0.5
5,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Rampalli",100,1,5,45,6.7,0.001,4,90,60,0.24,0.16,0.4
6,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Nelampadu",1000,1,2,45,3.7,0.004,4,90,60,1.33,0.89,2.22
7,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Bramhanapalli",,,,,,,,,,,,
8,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gotluru",,,,,,,,,,,,
9,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Kalugotlapalli",,,,,,,,,,,,
10,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Rajoli",,,,,,,,,,,,
11,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Mallevemula",,,,,,,,,,,,
12,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Bathaluru",,,,,,,,,,,,
13,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","G.Jamuladinne",,,,,,,,,,,,
14,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gubagundam",,,,,,,,,,,,
15,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Devarayapuram",,,,,,,,,,,,
16,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Nallagatla",,,,,,,,,,,,
