"GW Watershed Name","Iwm basin names","GW Village Name","iwm village names"
"KU_C_KD_Orvakal(a)-Nc","KU_C_KD_ORVAKAL(A)-NC-MB","49-Bannur","Bannur-1"
"KU-D-TB-KALLURU(A)","KU_D_TB_KALLURU(A)-MB","A.Gokula padu","A.Gokulapadu"
"KU_D_TB_ALUR_C","KU_D_TB_ALUR_C-MB","A.Gonehal","A.Gonehal"
"Ku_D_TB_Kurnool (c)_NC","KU_D_TB_KURNOOL (C)_NC-MB","A.Thandrapadu","E.Thandrapadu"
"Ku_C_KD_B.Atmakuru(b)","KU_C_KD_B.ATMAKURU(B)-MB","Abdullapuram","Abdullapuram"
"KU_C_KD_KOLIMIGUNDLA","KU_C_KD_KOLIMIGUNDLA-MB","Abdullapuram","Abdullapuram"
"KU_D_TB_ADONI(A)","KU_D_TB_ADONI(A)-MB","Adoni","Adoni (M)"
"KU_D_TB_KOWTHALAM(A)_C","KU_D_TB_KOWTHALAM(A)_C-MB","Agasaladinne","Agasaladinne"
"KU-D_TB_KOSIGI_C","KU-D_TB_KOSIGI_C-MB","Agasanuru","Agasanur"
"KU_D_TB_Devanakonda(b)","KU_D_TB_DEVANAKONDA(B)-MB","Agaveli","Agaveli"
"ku_c_kd_chagalamarri_C","KU_P_KD_CHAGALAMARRI-MB","Ahobilum","Ahobilam-1"
"KU_D-TB_GONEGANDLA","KU_D-TB_GONEGANDLA-MB","Airanbanda","Errabadu"
"KU_C_KD_Sanjamala(a)","KU_C_KD_SANJAMALA(A)-MB","Akumalla","Akumalla-1"
"Ku_C_kd_Miduthuru-c","KU_C_KD_MIDUTHURU-C-MB","Alaganuru","Alaganur"
"KU_D_TB_Krishnagiri(a)","KU_D_TB_KRISHNAGIRI(A)-MB","Alamkonda","Alamkonda"
"KU_C_KD_PANYAM(B)","KU_C_KD_PANYAM(B)-MB","Alamuru","Alamur-1"
"KU_C_KD_ALLAGADDA","KU_C_KD_ALLAGADDA-MB","Alamuru","Alamur-1"
"KU_C_KD_Sanjamala(b)","KU_C_KD_SANJAMALA(B)-MB","Alavakonda","Alvakonda"
"Ku_C_KD_Allagadda (A)","KU_C_KD_ALLAGADDA (A)-MB","Allagadda","Allagadda-1"
"Ku_D_TB_Nandikotkuru_C","KU_D_TB_NANDIKOTKURU_C-MB","Alluru","Allur-1"
"KU_C_KD_UYYALAWADA(A)","KU_C_KD_UYYALAWADA(A)-MB","Alluru","Allur-1"
"KU_D_V V_ halaharvi(a)","KU_D_V V_ HALAHARVI(A)-MB","Aluru","Alur-1"
"KU_D_TB_YEMMIGANUR_C","KU_D_TB_YEMMIGANUR_C-MB","Alvala","Alwala"
"KU_D_TB_KALLURU(B)","KU_D_TB_KALLURU(B)-MB","Amadaguntla","Amadaguntla"
"KU_C_KD_Sanjamala(a)","KU_C_KD_SANJAMALA(A)-MB","Amadala","Amadala"
"KU_D_TB_Dhone (b)","KU_D_TB_DHONE (B)-MB","Amakatadu","Amakathadu"
"KU_C_KD_Banaganapalli(b)","KU_C_KD_BANAGANAPALLI(B)-MB","Ambapuram","Ambapuram-2"
"KU_D_V V_ halaharvi(a)","KU_D_V V_ HALAHARVI(A)-MB","Amrutapuram","Amruthapuram"
"KU_D_TB_ALUR_C","KU_D_TB_ALUR_C-MB","Angasakallu","Angaskal"
"KU_P_KD_Owk","KU_P_KD_OWK-MB","Annavaram","Annavaram"
"KU_D_TB_KALLURU(B)","KU_D_TB_KALLURU(B)-MB","Anugonda","Anugonda"
"KU-C_KD_Banaganapalli-(C)-C","KU-C_KD_BANAGANAPALLI(C)-MB","Anupuru","Anupur"
"KU-C_KD_Banaganapalli-(C)-C","KU-C_KD_BANAGANAPALLI(C)-MB","Appalapuram","Appalapuram"
"KU_D-TB_GONEGANDLA","KU_D-TB_GONEGANDLA-MB","Arakallu","Arekal"
"KU_D_V V_ halaharvi(a)","KU_D_V V_ HALAHARVI(A)-MB","Arikera","Arikera"
"Ku_C_KD_Allagadda (A)","KU_C_KD_ALLAGADDA (A)-MB","Arjunapuram","Arjunapuram"
"KU_D_TB_KOWTHALAM","KU_D_TB_KOWTHALAM-MB","Arlabanda","Arlabanda"
"Ku_D-TB_Aspari(a)","KU_D-TB_ASPARI(A)-MB","Aspari","Aspari-1"
"Ku_D_Lk_Atmakuru(b)","KU_D_LK_ATMAKURU(B)-MB","Atmakuru","Atmakur-6"
"Ku_C_Kd_Bandi Atmakuru (a)_c","KU_C_KD_B.ATMAKURU_-C-MB","Ayyaluru","Ayyalur (Rural)"
"Ku_C_Kd_Bandi Atmakuru (a)_c","KU_C_KD_B.ATMAKURU_-C-MB","Ayyavarikoduru","Ayyavari Kodur"
