,,,,,,,, Command,,,,Non command,,,,Poor command,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,Ku_c_Gkd_Velugodu,Shales,2,4,,,52,0,0,0,0,30,22,0,52,0,0,0,0
2,KU_C_KD_ALLAGADDA,Shales & Lime stones,1,8,,,213.74,106.93,5.5,0,112.43,96.81,4.5,101.31,101.31,0,0,0,0
3,Ku_C_KD_Allagadda (A),Shale,2,5,,,269.93,269.93,0,0,269.93,0,0,0,0,0,0,0,0
4,Ku_C_KD_B.Atmakuru(b),Shales,2,5,,,258.6,174.96,0,0,174.96,83.64,0,6.85,83.64,0,0,0,0
5,KU_C_KD_BANAGANAPALLI(a),Limestone,2,8,,,91.78,24.73,0.1,0,24.83,56.15,10.8,0,66.95,0,0,0,0
6,KU_C_KD_Banaganapalli(b),Limestones,1,7,,,350.92,0,0,0,0,220.42,130.5,117.3,350.92,0,0,0,0
7,Ku_C_Kd_Bandi Atmakuru (a)_c,Shales,2,5,,,417.18,332.18,0,0,332.18,85,0,3.13,85,0,0,0,0
8,ku_c_kd_chagalamarri_C,Limestone,2,8,,,428.96,181.52,0.15,0.39,181.67,135.54,111.75,247.29,247.29,0,0,0,0
9,KU_C_KD_Dornipadu-c,Shales,2,8,,,196.66,102.6,0,0,102.6,94.06,0,0,94.06,0,0,0,0
10,KU_C_KD_Gospadu_c,Shales,2,8,,,352.9,352.9,0,0,352.9,0,0,0,0,0,0,0,0
11,KU_C_KD_KOLIMIGUNDLA,Limestones,1,8,,,151.45,0,0,0,0,128.25,23.2,6.67,151.45,0,0,0,0
12,KU_C_KD_MAHANANDI(RF),Quartzite,1.5,6,,,224.63,0,0,0,0,216.88,7.75,224.63,224.63,0,0,0,0
13,Ku_C_kd_Miduthuru-c,Shales,2,6,,,192.25,115.45,0,0,115.45,76.8,0,0,76.8,0,0,0,0
