"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
1,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Vanikamdinne",,,,,,
2,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Jeenepalli",,,,,,
3,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gumperamanudinne",,,,,,
4,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Erraguntla",,,,,,
5,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Rampalli",,,,,,
6,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Nelampadu",,,,,,
7,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Bramhanapalli",,,,,,
8,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gotluru",,,,,,
9,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Kalugotlapalli",,,,,,
10,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Rajoli",,,,,,
11,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Mallevemula",,,,,,
12,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Bathaluru",,,,,,
13,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","G.Jamuladinne",,,,,,
14,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gubagundam",,,,,,
15,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Devarayapuram",,,,,,
16,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Nallagatla",,,,,,
17,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gopalapuram",,,,,,
18,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Allagadda",,,,,,
19,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","PeddaChinthakuta",,,,,,
20,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","S.Lingamdinne",,,,,,
21,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Patha Kandukuru",,,,,,
22,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Palasagaram",,,,,,
23,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Kotakandukuru",1,25,,,,
24,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Chinthakommadinne",,,,,,
25,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Kondapuram",,,,,,
26,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Arjunapuram",,,,,,
27,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Gollagutta",,,,,,
28,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Meerapuram",,,,,,
29,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Banaganapalli",,,,,,
30,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Yerragudi",,,,,,
31,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Hussainapuram",,,,,,
32,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Yanagandla",,,1,22,,
33,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Battalurupadu",,,,,,
34,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Yagantipalli",,,,,,
35,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Bhanumukkala",,,,,,
36,"13_C_68_44(a)","KU_C_KD_BANAGANAPALLI(a)","Reserve Forest",,,,,,
37,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Velagaturu",,,,,,
38,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Bijinivemula",,,,,,
39,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Peddakopperla",,,,,,
40,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Chinakopperla",,,,,,
41,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Vallampadu",,,,,,
42,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Rayapadu",,,,,,
43,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kotturu",,,,,,
44,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Gaggaturu",,,,,,
45,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Anupuru",,,,,,
46,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Tangaturu",,,,,,
47,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Mittapalle",,,,,,
48,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kaipa",1,49,,,,
49,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Sankalapuram",,,,,,
50,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Appalapuram",,,,,,
51,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Vittalapuram",,,,,,
52,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Nandavaram",,,,,,
53,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Jillela",,,,,,
54,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Tiimmapuram",,,,,,
55,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Nandivargam",,,,,,
56,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Ramateertham",,,,,,
57,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Beeravolu",,,,,,
58,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Cheruvupalli",1,60,,,,
59,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Palkur",,,,,,
60,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Venkatapuram",,,,,,
61,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kapulapalli",,,,,,
62,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Pandlapuram",,,,,,
63,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Reserve Forest",,,,,,
64,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Mothukuru",1,133,,,,
65,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Pedda Devalapuram",1,138,,,,
66,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Narayanapuram",4,102,,,,
67,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","S.Juturu",1,61,,,,
68,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Galichennayapalem",4,113,,,,
69,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ramapuram",2,13,,,,
70,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","B.Atmakuru",1,116,,,,
71,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kakunuru",,,,,,
72,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Parnapalli",,,,,,
73,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Eernapadu",,,,,,
74,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kadamalakalva",,,,,,
75,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ayyavarikoduru",1,,,,,
76,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","B.Koduru",,,,,,
77,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Nandyal",,,,,,
