Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
1,13_c_68_38 (A),Ku_C_KD_Allagadda (A),10,Vanikamdinne,1047,0,1047,57585
2,13_c_68_38 (A),Ku_C_KD_Allagadda (A),11,Jeenepalli,1289,0,1289,70895
3,13_c_68_38 (A),Ku_C_KD_Allagadda (A),12,Gumperamanudinne,3130,0,3130,172150
4,13_c_68_38 (A),Ku_C_KD_Allagadda (A),9,Erraguntla,8584,0,8584,472120
5,13_c_68_38 (A),Ku_C_KD_Allagadda (A),1,Rampalli,501,0,501,27555
6,13_c_68_38 (A),Ku_C_KD_Allagadda (A),9,Nelampadu,1578,0,1578,86790
7,13_c_68_38 (A),Ku_C_KD_Allagadda (A),10,Bramhanapalli,754,0,754,41470
8,13_c_68_38 (A),Ku_C_KD_Allagadda (A),11,Gotluru,773,0,773,42515
9,13_c_68_38 (A),Ku_C_KD_Allagadda (A),13,Kalugotlapalli,841,0,841,46255
10,13_c_68_38 (A),Ku_C_KD_Allagadda (A),12,Rajoli,125,0,125,6875
11,13_c_68_38 (A),Ku_C_KD_Allagadda (A),14,Mallevemula,1131,0,1131,62205
12,13_c_68_38 (A),Ku_C_KD_Allagadda (A),1,Bathaluru,4088,0,4088,224840
13,13_c_68_38 (A),Ku_C_KD_Allagadda (A),4,G.Jamuladinne,3392,0,3392,186560
14,13_c_68_38 (A),Ku_C_KD_Allagadda (A),5,Gubagundam,753,0,753,41415
15,13_c_68_38 (A),Ku_C_KD_Allagadda (A),6,Devarayapuram,1402,0,1402,77110
16,13_c_68_38 (A),Ku_C_KD_Allagadda (A),2,Nallagatla,2528,0,2528,139040
17,13_c_68_38 (A),Ku_C_KD_Allagadda (A),3,Gopalapuram,631,0,631,34705
18,13_c_68_38 (A),Ku_C_KD_Allagadda (A),9,Allagadda,29789,0,29789,1638395
19,13_c_68_38 (A),Ku_C_KD_Allagadda (A),7,PeddaChinthakuta,6732,0,6732,370260
20,13_c_68_38 (A),Ku_C_KD_Allagadda (A),8,S.Lingamdinne,1775,0,1775,97625
21,13_c_68_38 (A),Ku_C_KD_Allagadda (A),19,Patha Kandukuru,1598,0,1598,87890
22,13_c_68_38 (A),Ku_C_KD_Allagadda (A),11,Palasagaram,228,0,228,12540
23,13_c_68_38 (A),Ku_C_KD_Allagadda (A),18,Kotakandukuru,4453,0,4453,244915
24,13_c_68_38 (A),Ku_C_KD_Allagadda (A),20,Chinthakommadinne,945,0,945,51975
25,13_c_68_38 (A),Ku_C_KD_Allagadda (A),6,Kondapuram,1305,0,1305,71775
