,,,"Command area",,,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,3.401360544,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
,"Ku_C_KD_Allagadda (A)","DW",1428.571429,,40,90,857.1428571,,120,240,3571.428571,,120,240,1428.571429,,40,90,857.1428571,,120,240,3571.428571,,120,240,1428.571429,,40,90,,,,,3571.428571,,120,240
,"Ku_C_KD_Allagadda (A)","DW+PS/DCB",5714.285714,,40,90,4285.714286,,120,240,7142.857143,,120,240,5714.285714,,40,90,4285.714286,,120,240,7142.857143,,120,240,5714.285714,,40,90,,,,,7142.857143,,120,240
,"Ku_C_KD_Allagadda (A)","BWs",8571.428571,,40,90,5142.857143,,120,240,7142.857143,,120,240,8571.428571,,40,90,5142.857143,,120,240,7142.857143,,120,240,8571.428571,,40,90,,,,,7142.857143,,120,240
,"Ku_C_KD_Allagadda (A)","STW",22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"Ku_C_KD_Allagadda (A)","MTW",45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"Ku_C_KD_Allagadda (A)","Deep TW",64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"Ku_C_KD_Allagadda (A)","Filter Points",7142.857143,,40,90,5142.857143,,120,240,3571.428571,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
