S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,Ku_C_KD_Allagadda (A),KU_C_KD_ALLAGADDA (A)-MB,8.39,3.97,10.64,,8.39,3.97,10.64,,0.9,0.9,778.8,546.3,232.5,566.26,404.18,162.08
2,KU_C_KD_BANAGANAPALLI(a),KU_C_KD_BANAGANAPALLI(A)-MB,12.44,9.45,12.87,,11.91,9.72,12.35,,0.9,0.9,622.5,399.5,223,747.4,549,198.4
3,KU-C_KD_Banaganapalli-(C)-C,KU-C_KD_BANAGANAPALLI(C)-MB,11.32,8.5,10.73,,11.32,8.5,10.78,,0.9,0.9,685.25,468.25,217,617.45,408.6,208.85
4,Ku_C_Kd_Bandi Atmakuru (a)_c,KU_C_KD_B.ATMAKURU_-C-MB,3.05,1.24,2.81,,3.05,1.24,2.81,,0.2,0.2,817.5,582.25,235.25,790.5,638.8,151.7
5,Ku_C_KD_B.Atmakuru(b),KU_C_KD_B.ATMAKURU(B)-MB,8.94,2.8,7.16,,26.81,8.46,21.48,,0.9,0.9,769.16,553.83,215.33,796.59,624.66,171.93
6,ku_c_kd_chagalamarri_C,KU_P_KD_CHAGALAMARRI-MB,7.08,6.22,10.64,,7.08,6.22,10.64,,0.9,0.9,799,551.5,247.5,476.7,329.6,147.1
7,KU_D_TB_Devanakonda(b),KU_D_TB_DEVANAKONDA(B)-MB,10.7,10.41,11.53,,7.51,7.7,10.21,,0.9,0.9,584,380,204,470.33,286.93,183.4
8,KU_C_KD_Dornipadu-c,KU_C_KD_DORNIPADU-C-MB,3.17,2.46,3.03,,3.17,2.46,3.03,,0.9,0.9,708.5,497,211.5,568.85,366.9,201.95
9,KU_C_KD_Gospadu_c,KU_C_KD_GOSPADU_C-MB,4.96,4.18,5.12,,1.14,0.77,1.39,,0.9,0.9,729.8,508.6,221.2,649.22,448.16,201.06
10,Ku_C_kd_Miduthuru-c,KU_C_KD_MIDUTHURU-C-MB,12.31,4.29,9.77,,24.61,8.57,19.53,,0.9,0.9,702.33,507.33,195,851.4,652.2,199.2
11,Ku_c_kd_Panyam(a),KU_C_KD_PANYAM(A)-MB,17.16,14.8,18.32,,17.16,14.8,18.32,,0.9,0.9,702.25,481.75,220.5,688.3,507.55,180.75
12,KU_C_KD_PANYAM(B),KU_C_KD_PANYAM(B)-MB,13.42,11.08,15.28,,13.42,11.08,15.28,,0.9,0.9,657,456,201,472.4,268.4,204
13,Ku_C_kd_Rudravaram (a),KU_C_KD_RUDRAVARAM NC(A)-MB,9.7,1.72,10.64,,9.7,1.72,10.64,,0.9,0.9,903,674,229,796.6,596.8,199.8
14,Ku_C_Kd_Rudravaram (b),KU_C_KD_RUDRAVARAM (B)-MB,14.05,5.44,26.68,,14.05,5.44,26.68,,0.9,0.9,903,674,229,796.6,596.8,199.8
15,KU_C_KD_Sanjamala(a),KU_C_KD_SANJAMALA(A)-MB,10.85,10.08,11.33,,10.85,10.08,11.33,,0.9,0.9,644.25,425,219.25,577.4,369.3,208.1
