"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
1,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Vanikamdinne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Jeenepalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gumperamanudinne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Erraguntla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Rampalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Nelampadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Bramhanapalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gotluru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Kalugotlapalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Rajoli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Mallevemula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Bathaluru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","G.Jamuladinne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gubagundam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Devarayapuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Nallagatla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Gopalapuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","Allagadda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"13_c_68_38 (A)","Ku_C_KD_Allagadda (A)","PeddaChinthakuta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
