Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,06-D-48-13,Kri-D-48-Budawada,Annavaram,896,746,150,500,896,0,0,0,0,0,,,
2,06-D-48-13,Kri-D-48-Budawada,Budawada,1832,1832,0,0,1832,0,0,0,0,0,,,
3,06-D-48-13,Kri-D-48-Budawada,K.Agraharam,622,0,0,0,0,622,0,0,622,0,,,
4,06-D-48-13,Kri-D-48-Budawada,Mukteswarapuram,1520,0,0,0,0,1520,0,0,1520,0,,,
5,06-D-48-02,Kri-D-48-Jaggaiahpeta,Buchavaram,762,762,0,0,762,0,0,0,0,0,,,
6,06-D-48-02,Kri-D-48-Jaggaiahpeta,Gandrai,1342,1220,122,250,1342,0,0,0,0,0,,,
7,06-D-48-02,Kri-D-48-Jaggaiahpeta,Takkellapadu,542,542,0,0,542,0,0,0,0,0,,,
8,06-D-48-02,Kri-D-48-Jaggaiahpeta,Garikapadu,196,196,0,0,196,0,0,0,0,0,,,
9,06-D-48-02,Kri-D-48-Jaggaiahpeta,R.C.Peta,383,383,0,0,383,0,0,0,0,0,,,
10,06-D-48-02,Kri-D-48-Jaggaiahpeta,Anumanchipalli,1332,1332,0,0,1332,0,0,0,0,,,,
11,06-D-48-02,Kri-D-48-Jaggaiahpeta,Balusupadu,533,340,193,200,533,0,0,0,0,,,,
12,06-D-48-02,Kri-D-48-Jaggaiahpeta,S.M.peta,465,465,0,0,465,0,0,0,0,,,,
13,06-D-48-02,Kri-D-48-Jaggaiahpeta,Tirumalagiri,1119,1119,0,0,1119,0,0,0,0,,,,
14,06-D-48-02,Kri-D-48-Jaggaiahpeta,Chillakallu,1306,1306,0,0,1306,0,0,0,0,,,,
15,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jaggaiahpeta,3643,3496,147,300,3643,0,0,0,0,,,,
16,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jayanthipuram,1105,1105,0,0,1105,0,0,0,0,,,,
17,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravirala,1005,1005,0,0,1005,0,0,0,0,,,,
18,06-D-48-02,Kri-D-48-Jaggaiahpeta,Torraguntapalem,221,221,0,0,221,0,0,0,0,,,,
19,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravikampadu,380,380,0,0,380,0,0,0,0,,,,
20,06-D-48-03,Kri-D-48-Jaggaiahpeta,Tripuravaram,491,491,0,0,491,0,0,0,0,,,,
21,06-D-48-02,Kri-D-48-Jaggaiahpeta,Dachupalem,514,514,0,0,514,0,0,0,0,,,,
22,06-D-48-02,Kri-D-48-Jaggaiahpeta,Mangollu,715,715,0,0,715,0,0,0,0,,,,
23,06-D-48-02,Kri-D-48-Jaggaiahpeta,V.B.Palem,160,160,0,0,160,0,0,0,0,,,,
24,06-D-49-01,Kri-D-49-Vatsavai,Indugupalli,881.8,881.8,0,0,881.8,0,0,0,0,0,,,
25,06-D-49-01,Kri-D-49-Vatsavai,Pedamodupalli,354,354,0,0,354,0,0,0,0,0,,,
26,06-D-49-01,Kri-D-49-Vatsavai,Chinmodupalli,317,317,0,0,317,0,0,0,0,0,,,
27,06-D-49-01,Kri-D-49-Vatsavai,Kanneveedu,764,764,0,0,764,0,0,0,0,0,,,
28,06-D-49-01,Kri-D-49-Vatsavai,Gopinenipalem,339.7,339.7,0,0,339.7,0,0,0,0,0,,,
29,06-D-49-01,Kri-D-49-Vatsavai,Chityala,926,926,0,0,926,0,0,0,0,0,,,
30,06-D-49-01,Kri-D-49-Vatsavai,Makkapeta,860,860,0,0,860,0,0,0,0,,,,
31,06-D-49-01,Kri-D-49-Vatsavai,Bhimavaram,2422.5,2422.5,0,0,2422.5,0,0,0,0,,,,
32,06-D-49-01,Kri-D-49-Vatsavai,Hassanbada,48,48,0,0,48,0,0,0,0,,,,
33,06-D-49-01,Kri-D-49-Vatsavai,Malkapuram,1058,1058,0,0,1058,0,0,0,0,,,,
34,06-D-49-01,Kri-D-49-Vatsavai,Gowravaram,1032,1032,0,0,1032,0,0,0,0,,,,
35,06-D-49-01,Kri-D-49-Vatsavai,Pochampalli,1644,1494,150,80,1644,0,0,0,0,,,,
36,06-D-49-01,Kri-D-49-Vatsavai,Bandipalem,1895,1695,200,345,1895,0,0,0,0,,,,
37,06-D-49-01,Kri-D-49-Vatsavai,Penuganchiprolu,3880,3880,0,0,3880,0,0,0,0,,,,
38,06-D-49-01,Kri-D-49-Vatsavai,Lingagudem,345,345,0,0,345,0,0,0,0,,,,
39,06-D-49-01,Kri-D-49-Vatsavai,Kollikulla,504.6,504.6,0,0,504.6,0,0,0,0,,,,
40,06-D-49-01,Kri-D-49-Vatsavai,Subbayagudem,353.69,353.69,0,0,353.69,0,0,0,0,,,,
41,06-D-49-01,Kri-D-49-Vatsavai,Mundlapadu,1648,1648,0,0,1648,0,0,0,0,,,,
42,06-D-49-01,Kri-D-49-Vatsavai,Konakanchi,1887,1887,0,0,1887,0,0,0,0,,,,
43,06-D-49-01,Kri-D-49-Vatsavai,Nawabpeta,1403,1403,0,0,1403,0,0,0,0,,,,
44,06-D-49-01,Kri-D-49-Vatsavai,Venkatapuram,796,796,0,0,796,0,0,0,0,,,,
45,06-D-49-01,Kri-D-49-Vatsavai,Senagapadu,1085,1085,0,0,1085,0,0,0,0,,,,
46,06-D-49-01,Kri-D-49-Vatsavai,Thotacherala,665,665,0,0,665,0,0,0,0,,,,
47,06-D-49-01,Kri-D-49-Vatsavai,Munagacherla,416,416,0,0,416,0,0,0,0,,,,
48,06-D-49-01,Kri-D-49-Vatsavai,Nandigama,2590,2590,0,0,2590,0,0,0,0,,,,
49,06-D-49-03,Kri-D-49-Penuganchiprolu,Muchintala,746,746,,0,746,0,,0,0,0,,,
50,06-D-49-03,Kri-D-49-Penuganchiprolu,Anigandlapadu,2038,2038,,0,2038,0,,0,0,0,,,
51,06-D-49-03,Kri-D-49-Penuganchiprolu,Gummadiduru,973,973,,0,973,0,,0,0,0,,,
52,06-D-49-03,Kri-D-49-Penuganchiprolu,Allurupadu,274,274,,0,274,0,,0,0,0,,,
53,06-D-49-03,Kri-D-49-Penuganchiprolu,Vemavaram,383,383,,0,383,0,,0,0,0,,,
54,06-D-49-03,Kri-D-49-Penuganchiprolu,Khambhampadu,1453,1453,,0,1453,0,,0,0,0,,,
55,06-D-49-03,Kri-D-49-Penuganchiprolu,Rebbavaram,202,202,,0,202,0,,0,0,,,,
56,06-D-49-03,Kri-D-49-Penuganchiprolu,Polampalli,1782,1782,,0,1782,0,,0,0,,,,
57,06-D-49-03,Kri-D-49-Penuganchiprolu,Dabbakupalli,794.5,794.5,,0,794.5,0,,0,0,,,,
58,06-D-49-03,Kri-D-49-Penuganchiprolu,Pochavaram,224,224,,0,224,0,,0,0,,,,
59,06-D-49-03,Kri-D-49-Penuganchiprolu,Vatsavai,1957,1957,,0,1957,0,,0,0,,,,
60,06-D-49-03,Kri-D-49-Penuganchiprolu,Gangavalli,251,251,,0,251,0,,0,0,,,,
61,06-D-49-03,Kri-D-49-Penuganchiprolu,Lingala,689,689,,0,689,0,,0,0,,,,
62,06-D-49-03,Kri-D-49-Penuganchiprolu,Magallu,1437,1437,,0,1437,0,,0,0,,,,
63,06-D-49-03,Kri-D-49-Penuganchiprolu,Pallagiri,537,537,,0,537,0,,0,0,,,,
64,06-D-49-03,Kri-D-49-Penuganchiprolu,Satyavaram,253,253,,0,253,0,,0,0,,,,
65,06-D-49-03,Kri-D-49-Penuganchiprolu,Ramireddipalli,530,530,,0,530,0,,0,0,,,,
66,06-D-49-03,Kri-D-49-Penuganchiprolu,Konduru,585,585,,0,585,0,,0,0,,,,
67,06-D-49-04,Kri-D-49-Nandigama,Takkellapadu,524,524,,0,524,0,,0,0,0,,,
68,06-D-49-04,Kri-D-49-Nandigama,Lingalapadu,413,413,,0,413,0,,0,0,0,,,
69,06-D-49-04,Kri-D-49-Nandigama,Latchapalem,352,352,,0,352,0,,0,0,0,,,
70,06-D-49-04,Kri-D-49-Nandigama,Adaviravulapadu,683,683,,0,683,0,,0,0,0,,,
71,06-D-49-04,Kri-D-49-Nandigama,K.Kandrika,202,0,,0,0,202,,0,202,0,,,
72,06-D-49-04,Kri-D-49-Nandigama,Chandapuram,660,0,,0,0,660,,0,660,0,,,
73,06-D-49-04,Kri-D-49-Nandigama,Ambarupeta,324,0,,0,0,324,,0,324,,,,
74,06-D-49-04,Kri-D-49-Nandigama,Itavaram,516,0,,0,0,516,,0,516,,,,
75,06-D-49-04,Kri-D-49-Nandigama,Ketaveerunipadu,454,454,,0,454,0,,0,0,,,,
76,06-D-49-04,Kri-D-49-Nandigama,Kanchela,921,921,,0,921,0,,0,0,,,,
77,06-D-49-04,Kri-D-49-Nandigama,Medipalem,310,310,,0,310,0,,0,0,,,,
78,06-D-49-04,Kri-D-49-Nandigama,Munagalapalli,400,0,,0,0,400,,0,400,,,,
79,06-D-49-04,Kri-D-49-Nandigama,Muppala,1584,1584,,0,1584,0,,0,0,,,,
80,06-D-49-04,Kri-D-49-Nandigama,Thurlapadu,1816,1816,,0,1816,0,,0,0,,,,
81,06-D-49-04,Kri-D-49-Nandigama,Thotaravulapadu,1208,0,,0,0,1208,,0,1208,,,,
82,06-D-49-04,Kri-D-49-Nandigama,Chintalapadu,2093,0,,0,0,2093,,0,2093,,,,
83,06-D-49-04,Kri-D-49-Nandigama,Eturu,1148,1148,,0,1148,0,,0,0,,,,
84,06-D-49-04,Kri-D-49-Nandigama,Gandepalli,1065,1065,,0,1065,0,,0,0,,,,
85,06-D-49-04,Kri-D-49-Nandigama,Keesara,662,662,,0,662,0,,0,0,,,,
86,06-D-49-04,Kri-D-49-Nandigama,Saidapuram,248,248,,0,248,0,,0,0,,,,
87,06-D-49-04,Kri-D-49-Nandigama,Pendyala,979,979,,0,979,0,,0,0,,,,
88,06-D-49-04,Kri-D-49-Nandigama,Vemulapalli,952,952,,0,952,0,,0,0,,,,
89,06-D-49-04,Kri-D-49-Nandigama,S.Amaravaram,763,763,,0,763,0,,0,0,,,,
90,06-D-49-04,Kri-D-49-Nandigama,Moguluru,1329,1329,,0,1329,0,,0,0,,,,
91,06-D-49-04,Kri-D-49-Nandigama,Munnaluru,299,299,,0,299,0,,0,0,,,,
92,06-D-51-19,Kri-D-51-Chandarlapadu,Vedadri,971,0,0,0,0,971,0,0,971,0,,,
93,06-D-51-19,Kri-D-51-Chandarlapadu,Peddavaram,2255,2105,150,0,2255,0,0,0,0,0,,,
94,06-D-51-19,Kri-D-51-Chandarlapadu,Katrenipalli,334,334,0,75,334,0,0,0,0,0,,,
95,06-D-51-19,Kri-D-51-Chandarlapadu,Gudimetla,2385,2385,0,175,2385,0,0,0,0,,,,
96,06-D-51-19,Kri-D-51-Chandarlapadu,Brahma botlapalem,133,0,0,0,0,133,0,0,133,,,,
97,06-D-51-19,Kri-D-51-Chandarlapadu,Konayapalem,1353,0,0,0,0,1353,0,0,1353,,,,
98,06-D-51-19,Kri-D-51-Chandarlapadu,Gudimetlapalem,381,0,0,0,0,381,0,0,381,,,,
99,06-D-51-19,Kri-D-51-Chandarlapadu,Bobbillapadu,1061,1061,0,0,1061,0,0,0,0,,,,
100,06-D-51-19,Kri-D-51-Chandarlapadu,Chandarlapadu ,1353,0,0,0,0,1353,0,0,1353,,,,
101,06-D-51-19,Kri-D-51-Chandarlapadu,Patempadu,500,0,0,0,0,500,0,0,500,,,,
102,06-D-51-19,Kri-D-51-Chandarlapadu,Kasarabada,885,885,0,0,885,0,0,0,0,,,,
103,06-D-51-19,Kri-D-51-Chandarlapadu,Ustepalli,751,751,0,0,751,0,0,0,0,,,,
104,06-D-51-19,Kri-D-51-Chandarlapadu,Pokkunuru,862,862,0,0,862,0,0,0,0,,,,
105,06-D-51-19,Kri-D-51-Chandarlapadu,Kodavatikallu,1773,1773,0,0,1773,0,0,0,0,,,,
106,06-D-51-19,Kri-D-51-Chandarlapadu,Veladikothapalem,621,621,0,0,621,0,0,0,0,,,,
107,06-D-51-19,Kri-D-51-Chandarlapadu,Punnavalli,262,262,0,0,262,0,0,0,0,,,,
108,06-D-51-19,Kri-D-51-Chandarlapadu,Popuru,672,672,0,0,672,0,0,0,0,,,,
109,06-D-51-19,Kri-D-51-Chandarlapadu,Vipareetalapadu,416,0,0,0,0,416,0,0,416,,,,
110,06-D-49-02,Kri-D-49-Nemali,Ummadidevarapalli,245,245,0,0,245,1E-13,0,0,1E-13,0,,,
111,06-D-49-02,Kri-D-49-Nemali,Nemali,851,851,0,0,851,0,0,0,0,0,,,
112,06-D-49-02,Kri-D-49-Nemali,Konijerla,1138,1138,0,0,1138,0,0,0,0,0,,,
113,06-D-49-04,Kri-D-49-Utukuru,Utukuru,2282,2282,0,0,2282,0,0,0,0,0,,,
114,06-D-49-04,Kri-D-49-Utukuru,Dundiralapadu,813,813,0,0,813,0,0,0,0,0,,,
115,06-D-49-04,Kri-D-49-Utukuru,Penugolenu,2342,2342,0,0,2342,0,0,0,0,0,,,
116,06-D-49-04,Kri-D-49-Utukuru,Tunikipadu,1133,1133,0,0,1133,0,0,0,0,,,,
117,06-D-49-04,Kri-D-49-Utukuru,Rajavaram,383,383,0,0,383,0,0,0,0,,,,
118,06-D-49-07,Kri-D-49-Talluru,Kakaravai,663,663,0,0,663,0,0,0,0,,,,
119,06-D-49-07,Kri-D-49-Talluru,Machinenipalem,396,396,0,0,396,0,0,0,0,,,,
120,06-D-49-07,Kri-D-49-Talluru,Talluru,446,446,0,0,446,0,0,0,0,,,,
121,06-D-49-07,Kri-D-49-Talluru,Vemulanarva,982,982,0,0,982,0,0,0,0,,,,
122,06-D-49-10,Kri-D-49--K.Atmakuru,K.Atmakuru,539,539,0,0,539,0,0,0,0,0,,,
123,06-D-49-10,Kri-D-49--K.Atmakuru,Jonnalagadda,402,402,0,0,402,0,0,0,0,0,,,
124,06-D-49-10,Kri-D-49--K.Atmakuru,V.Annavaram,359,359,0,0,359,0,0,0,0,0,,,
125,06-D-49-05,Kri-D-49-Veerulapadu,Torragudipadu,264,264,0,0,264,0,0,0,0,0,,,
126,06-D-49-05,Kri-D-49-Veerulapadu,Damuluru,692,692,0,0,692,0,0,0,0,0,,,
127,06-D-49-05,Kri-D-49-Veerulapadu,Somavaram,812,812,0,0,812,0,0,0,0,0,,,
128,06-D-49-05,Kri-D-49-Veerulapadu,Rudravaram,409,409,0,0,409,0,0,0,0,,,,
129,06-D-49-05,Kri-D-49-Veerulapadu,Gollamudi,829,829,0,0,829,0,0,0,0,,,,
130,06-D-49-05,Kri-D-49-Veerulapadu,Raghavapuram,1331,1331,0,0,1331,0,0,0,0,,,,
131,06-D-49-05,Kri-D-49-Veerulapadu,Pallempalli,291,291,0,0,291,0,0,0,0,,,,
132,06-D-49-05,Kri-D-49-Veerulapadu,Konatanapalli,1092,1092,0,0,1092,0,0,0,0,,,,
133,06-D-49-05,Kri-D-49-Veerulapadu,Choutapalli,359,359,0,0,359,0,0,0,0,,,,
134,06-D-49-05,Kri-D-49-Veerulapadu,Chattannavaram,404,404,0,0,404,0,0,0,0,,,,
135,06-D-49-05,Kri-D-49-Veerulapadu,Dachavaram,232,232,0,0,232,0,0,0,0,,,,
