,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
1,06-D-48-13,Kri-D-48-Budawada,Annavaram,7,1,0,0,,,8,,,
2,06-D-48-13,Kri-D-48-Budawada,Budawada,32,4,0,0,,,36,,,
3,06-D-48-13,Kri-D-48-Budawada,K.Agraharam,0,0,18,1,,,19,,,
4,06-D-48-13,Kri-D-48-Budawada,Mukteswarapuram,0,0,11,1,,,12,,,
5,06-D-48-02,Kri-D-48-Jaggaiahpeta,Buchavaram,10,2,0,0,,,12,,,
6,06-D-48-02,Kri-D-48-Jaggaiahpeta,Gandrai,26,2,0,0,,,28,,,
7,06-D-48-02,Kri-D-48-Jaggaiahpeta,Takkellapadu,13,3,0,0,,,16,,,
8,06-D-48-02,Kri-D-48-Jaggaiahpeta,Garikapadu,6,4,0,0,,,10,,,
9,06-D-48-02,Kri-D-48-Jaggaiahpeta,R.C.Peta,8,1,0,0,,,9,,,
10,06-D-48-02,Kri-D-48-Jaggaiahpeta,Anumanchipalli,15,2,0,0,,,17,,,
11,06-D-48-02,Kri-D-48-Jaggaiahpeta,Balusupadu,12,2,0,0,,,14,,,
12,06-D-48-02,Kri-D-48-Jaggaiahpeta,S.M.peta,24,4,0,0,,,28,,,
13,06-D-48-02,Kri-D-48-Jaggaiahpeta,Tirumalagiri,8,0,0,0,,,8,,,
14,06-D-48-02,Kri-D-48-Jaggaiahpeta,Chillakallu,41,2,0,0,,,43,,,
15,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jaggaiahpeta,136,4,0,0,,,140,,,
16,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jayanthipuram,25,3,0,0,,,28,,,
17,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravirala,7,1,0,0,,,8,,,
18,06-D-48-02,Kri-D-48-Jaggaiahpeta,Torraguntapalem,6,2,0,0,,,8,,,
19,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravikampadu,0,2,0,0,,,2,,,
20,06-D-48-03,Kri-D-48-Jaggaiahpeta,Tripuravaram,3,1,0,0,,,4,,,
21,06-D-48-02,Kri-D-48-Jaggaiahpeta,Dachupalem,8,1,0,0,,,9,,,
22,06-D-48-02,Kri-D-48-Jaggaiahpeta,Mangollu,15,2,0,0,,,17,,,
23,06-D-48-02,Kri-D-48-Jaggaiahpeta,V.B.Palem,0,0,0,0,,,0,,,
24,06-D-49-01,Kri-D-49-Vatsavai,Indugupalli,14,2,0,0,,,16,,,
25,06-D-49-01,Kri-D-49-Vatsavai,Pedamodupalli,7,2,0,0,,,9,,,
26,06-D-49-01,Kri-D-49-Vatsavai,Chinmodupalli,12,1,0,0,,,13,,,
27,06-D-49-01,Kri-D-49-Vatsavai,Kanneveedu,16,2,0,0,,,18,,,
28,06-D-49-01,Kri-D-49-Vatsavai,Gopinenipalem,13,1,0,0,,,14,,,
29,06-D-49-01,Kri-D-49-Vatsavai,Chityala,11,2,0,0,,,13,,,
30,06-D-49-01,Kri-D-49-Vatsavai,Makkapeta,20,2,0,0,,,22,,,
31,06-D-49-01,Kri-D-49-Vatsavai,Bhimavaram,19,3,0,0,,,22,,,
32,06-D-49-01,Kri-D-49-Vatsavai,Hassanbada,0,1,0,0,,,1,,,
33,06-D-49-01,Kri-D-49-Vatsavai,Malkapuram,13,2,0,0,,,15,,,
34,06-D-49-01,Kri-D-49-Vatsavai,Gowravaram,16,2,0,0,,,18,,,
35,06-D-49-01,Kri-D-49-Vatsavai,Pochampalli,14,1,0,0,,,15,,,
36,06-D-49-01,Kri-D-49-Vatsavai,Bandipalem,28,2,0,0,,,30,,,
37,06-D-49-01,Kri-D-49-Vatsavai,Penuganchiprolu,53,3,0,0,,,56,,,
38,06-D-49-01,Kri-D-49-Vatsavai,Lingagudem,8,1,0,0,,,9,,,
39,06-D-49-01,Kri-D-49-Vatsavai,Kollikulla,9,2,0,0,,,11,,,
40,06-D-49-01,Kri-D-49-Vatsavai,Subbayagudem,10,1,0,0,,,11,,,
41,06-D-49-01,Kri-D-49-Vatsavai,Mundlapadu,21,2,0,0,,,23,,,
42,06-D-49-01,Kri-D-49-Vatsavai,Konakanchi,19,3,0,0,,,22,,,
43,06-D-49-01,Kri-D-49-Vatsavai,Nawabpeta,29,2,0,0,,,31,,,
44,06-D-49-01,Kri-D-49-Vatsavai,Venkatapuram,7,2,0,0,,,9,,,
45,06-D-49-01,Kri-D-49-Vatsavai,Senagapadu,10,1,0,0,,,11,,,
46,06-D-49-01,Kri-D-49-Vatsavai,Thotacherala,11,2,0,0,,,13,,,
47,06-D-49-01,Kri-D-49-Vatsavai,Munagacherla,11,2,0,0,,,13,,,
48,06-D-49-01,Kri-D-49-Vatsavai,Nandigama,80,3,0,0,,,83,,,
49,06-D-49-03,Kri-D-49-Penuganchiprolu,Muchintala,6,2,0,0,,,8,,,
