,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
1,06-D-48-13,Kri-D-48-Budawada,Annavaram,1,0,,1
2,06-D-48-13,Kri-D-48-Budawada,Budawada,1,0,,1
3,06-D-48-13,Kri-D-48-Budawada,K.Agraharam,0,2,,2
4,06-D-48-13,Kri-D-48-Budawada,Mukteswarapuram,0,2,,2
5,06-D-48-02,Kri-D-48-Jaggaiahpeta,Buchavaram,0,,,0
6,06-D-48-02,Kri-D-48-Jaggaiahpeta,Gandrai,6,,,6
7,06-D-48-02,Kri-D-48-Jaggaiahpeta,Takkellapadu,0,,,0
8,06-D-48-02,Kri-D-48-Jaggaiahpeta,Garikapadu,0,,,0
9,06-D-48-02,Kri-D-48-Jaggaiahpeta,R.C.Peta,0,,,0
10,06-D-48-02,Kri-D-48-Jaggaiahpeta,Anumanchipalli,4,,,4
11,06-D-48-02,Kri-D-48-Jaggaiahpeta,Balusupadu,0,,,0
12,06-D-48-02,Kri-D-48-Jaggaiahpeta,S.M.peta,36,,,36
13,06-D-48-02,Kri-D-48-Jaggaiahpeta,Tirumalagiri,26,,,26
14,06-D-48-02,Kri-D-48-Jaggaiahpeta,Chillakallu,14,,,14
15,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jaggaiahpeta,51,,,51
16,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jayanthipuram,0,,,0
17,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravirala,0,,,0
18,06-D-48-02,Kri-D-48-Jaggaiahpeta,Torraguntapalem,1,,,1
19,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravikampadu,2,,,2
20,06-D-48-03,Kri-D-48-Jaggaiahpeta,Tripuravaram,0,,,0
21,06-D-48-02,Kri-D-48-Jaggaiahpeta,Dachupalem,1,,,1
22,06-D-48-02,Kri-D-48-Jaggaiahpeta,Mangollu,3,,,3
23,06-D-48-02,Kri-D-48-Jaggaiahpeta,V.B.Palem,0,,,0
24,06-D-49-01,Kri-D-49-Vatsavai,Indugupalli,0,0,,0
25,06-D-49-01,Kri-D-49-Vatsavai,Pedamodupalli,1,0,,1
26,06-D-49-01,Kri-D-49-Vatsavai,Chinmodupalli,0,0,,0
27,06-D-49-01,Kri-D-49-Vatsavai,Kanneveedu,2,0,,2
28,06-D-49-01,Kri-D-49-Vatsavai,Gopinenipalem,1,0,,1
29,06-D-49-01,Kri-D-49-Vatsavai,Chityala,1,0,,1
30,06-D-49-01,Kri-D-49-Vatsavai,Makkapeta,4,0,,4
31,06-D-49-01,Kri-D-49-Vatsavai,Bhimavaram,5,0,,5
32,06-D-49-01,Kri-D-49-Vatsavai,Hassanbada,0,0,,0
33,06-D-49-01,Kri-D-49-Vatsavai,Malkapuram,1,0,,1
34,06-D-49-01,Kri-D-49-Vatsavai,Gowravaram,6,0,,6
35,06-D-49-01,Kri-D-49-Vatsavai,Pochampalli,2,0,,2
36,06-D-49-01,Kri-D-49-Vatsavai,Bandipalem,4,0,,4
37,06-D-49-01,Kri-D-49-Vatsavai,Penuganchiprolu,21,0,,21
38,06-D-49-01,Kri-D-49-Vatsavai,Lingagudem,0,0,,0
39,06-D-49-01,Kri-D-49-Vatsavai,Kollikulla,0,0,,0
40,06-D-49-01,Kri-D-49-Vatsavai,Subbayagudem,2,0,,2
41,06-D-49-01,Kri-D-49-Vatsavai,Mundlapadu,2,0,,2
42,06-D-49-01,Kri-D-49-Vatsavai,Konakanchi,2,0,,2
43,06-D-49-01,Kri-D-49-Vatsavai,Nawabpeta,4,0,,4
44,06-D-49-01,Kri-D-49-Vatsavai,Venkatapuram,1,0,,1
45,06-D-49-01,Kri-D-49-Vatsavai,Senagapadu,1,0,,1
46,06-D-49-01,Kri-D-49-Vatsavai,Thotacherala,1,0,,1
47,06-D-49-01,Kri-D-49-Vatsavai,Munagacherla,1,0,,1
48,06-D-49-01,Kri-D-49-Vatsavai,Nandigama,52,0,,52
49,06-D-49-03,Kri-D-49-Penuganchiprolu,Muchintala,2,,,2
50,06-D-49-03,Kri-D-49-Penuganchiprolu,Anigandlapadu,6,,,6
51,06-D-49-03,Kri-D-49-Penuganchiprolu,Gummadiduru,4,,,4
52,06-D-49-03,Kri-D-49-Penuganchiprolu,Allurupadu,0,,,0
