S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,
1,06-D-48-13,Kri-D-48-Budawada,Annavaram,2000,0.5,1,45,2.4142135624,0.0048284271,3.5,110,0,1.858944443,0,1.858944443,Paleru,Minor 
2,06-D-48-13,Kri-D-48-Budawada,Budawada,3000,0.5,1,45,2.4142135624,0.0072426407,3.5,110,0,2.7884166645,0,2.7884166645,Paleru,Minor 
3,06-D-48-13,Kri-D-48-Budawada,K.Agraharam,,,,,,,,,,,,,,
4,06-D-48-13,Kri-D-48-Budawada,Mukteswarapuram,,,,,,,,,,,,,,
5,06-D-48-02,Kri-D-48-Jaggaiahpeta,Buchavaram,,,,60,0,0,3.5,30,20,0,0,0,,
6,06-D-48-02,Kri-D-48-Jaggaiahpeta,Gandrai,1763,0.51,0.3,60,1.4777945491,0.0026053518,3.5,30,20,0.273561938,0.1823746253,0.4559365633,Gandrai,Minor 
7,06-D-48-02,Kri-D-48-Jaggaiahpeta,Takkellapadu,,,,,,,,,,,,,,
8,06-D-48-02,Kri-D-48-Jaggaiahpeta,Garikapadu,,,,,,,,,,,,,,
9,06-D-48-02,Kri-D-48-Jaggaiahpeta,R.C.Peta,,,,,,,,,,,,,,
10,06-D-48-02,Kri-D-48-Jaggaiahpeta,Anumanchipalli,,,,,,,,,,,,,,
11,06-D-48-02,Kri-D-48-Jaggaiahpeta,Balusupadu,,,,,,,,,,,,,,
12,06-D-48-02,Kri-D-48-Jaggaiahpeta,S.M.peta,,,,,,,,,,,,,,
13,06-D-48-02,Kri-D-48-Jaggaiahpeta,Tirumalagiri,,,,,,,,,,,,,,
14,06-D-48-02,Kri-D-48-Jaggaiahpeta,Chillakallu,7071,0.45,0.72,60,1.7592304845,0.0124395188,3.5,30,20,1.3061494694,0.8707663129,2.1769157823,Chillakallur major-I,Major
15,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jaggaiahpeta,4257,0.37,0.52,60,1.3744783984,0.0058511545,3.5,30,20,0.6143712269,0.4095808179,1.0239520448,Jaggaiahpeta major,Major
16,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jayanthipuram,,,,,,,,,,,,,,
17,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravirala,,,,,,,,,,,,,,
18,06-D-48-02,Kri-D-48-Jaggaiahpeta,Torraguntapalem,,,,,,,,,,,,,,
19,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravikampadu,4215,0.6,0.73,60,2.1156406461,0.0089174253,3.5,30,20,0.9363296589,0.6242197726,1.5605494315,Ravikampadu major-I ,Major
20,,,Ravikampadu,3443,0.53,1.3,60,2.5239825707,0.008690072,3.5,30,20,0.912457559,0.6083050394,1.5207625984,Ravikampadu major -II,Major
21,06-D-48-02,Kri-D-48-Jaggaiahpeta,Dachupalem,,,,,,,,,,,,,,
22,06-D-48-02,Kri-D-48-Jaggaiahpeta,Mangollu,,,,,,,,,,,,,,
23,06-D-48-02,Kri-D-48-Jaggaiahpeta,V.B.Palem,,,,,,,,,,,,,,
24,06-D-49-01,Kri-D-49-Vatsavai,Indugupalli,4813,0.67,0.625,60,2.1722987214,0.0104552737,3.5,30,20,1.0978037434,0.7318691622,1.8296729056,Indugapalli major,Major
25,,,Indugupalli,2312,0.45,0.61,60,1.6492304845,0.0038130209,3.5,30,20,0.4003671924,0.2669114616,0.667278654,Indugapalli major-II,Major
26,06-D-49-01,Kri-D-49-Vatsavai,Pedamodupalli,635,0.3,0.3,60,0.992820323,0.0006304409,3.5,30,20,0.066196295,0.0441308634,0.1103271584,Pedamodugapalli major,Major
27,06-D-49-01,Kri-D-49-Vatsavai,Chinmodupalli,,,,,,,,,,,,,,
28,06-D-49-01,Kri-D-49-Vatsavai,Kanneveedu,,,,,,,,,,,,,,
29,06-D-49-01,Kri-D-49-Vatsavai,Gopinenipalem,,,,,,,,,,,,,,
30,,Kri-D-49-Vatsavai,Chityala,,,,,,,,,,,,,,
31,,Kri-D-49-Vatsavai,Makkapeta,,,,,,,,,,,,,,
32,,Kri-D-49-Vatsavai,Bhimavaram,680,0.34,0.3,60,1.0851963661,0.0007379335,3.5,30,20,0.0774830205,0.051655347,0.1291383676,Bhimavaram major-I,Major
33,,,Bhimavaram,2750,0.4,0.795,60,1.7187604307,0.0047265912,3.5,30,20,0.4962920744,0.3308613829,0.8271534573,Bhimavaram major-II,Major
34,,Kri-D-49-Vatsavai,Hassanbada,,,,,,,,,,,,,,
35,,Kri-D-49-Vatsavai,Malkapuram,2673,0.48,0.645,60,1.7535125168,0.004687139,3.5,30,20,0.4921495905,0.328099727,0.8202493176,Malkapuram major,Major
36,,Kri-D-49-Vatsavai,Gowravaram,,,,,,,,,,,,,,
37,,Kri-D-49-Vatsavai,Pochampalli,1250,1.64,0.3,60,4.0874177659,0.0051092722,3.5,30,20,0.5364735818,0.3576490545,0.8941226363,Pochampalli major-I,Major
38,,,Pochampalli,402,0.15,0.325,60,0.6714101615,0.0002699069,3.5,30,20,0.0283402229,0.0188934819,0.0472337049,Pochampalli major-II,Major
39,,Kri-D-49-Vatsavai,Bandipalem,2614,0.3,0.475,60,1.167820323,0.0030526823,3.5,30,20,0.3205316441,0.2136877627,0.5342194068,Bandipalem Major,Major
40,,Kri-D-49-Vatsavai,Penuganchiprolu,12180,0.91,2.21,60,4.3115549799,0.0525147397,3.5,30,20,5.5140476637,3.6760317758,9.1900794396,Penuganchirpolu Major,Major
41,,Kri-D-49-Vatsavai,Lingagudem,,,,,,,,,,,,,,
42,,Kri-D-49-Vatsavai,Kollikulla,,,,,,,,,,,,,,
43,,Kri-D-49-Vatsavai,Subbayagudem,,,,,,,,,,,,,,
44,,Kri-D-49-Vatsavai,Mundlapadu,,,,,,,,,,,,,,
45,,Kri-D-49-Vatsavai,Konakanchi,402,0.21,0.45,33.69,1.2071671064,0.0004852812,3.5,30,20,0.0509545236,0.0339696824,0.0849242059,Konakanchi,Minor
46,,Kri-D-49-Vatsavai,Nawabpeta,2681,0.5,1.92,33.69,3.7227788247,0.00998077,3.5,30,20,1.0479808531,0.698653902,1.7466347551,Nawabpeta,Minor
47,,,Nawabpeta,5273,0.73,0.3,60,1.985862786,0.0104714545,3.5,30,20,1.0995027194,0.733001813,1.8325045324,Nawabpeta Major-I,Major
48,,,Nawabpeta,5296,0.48,0.845,60,1.9535125168,0.0103458023,3.5,30,20,1.0863092404,0.7242061602,1.8105154006,Nawabpeta Major-II,Major
49,,Kri-D-49-Vatsavai,Venkatapuram,,,,,,,,,,,,,,
50,,Kri-D-49-Vatsavai,Senagapadu,16733,0.97,2.745,60,4.9851190445,0.083415997,3.5,30,20,8.7586796819,5.839119788,14.5977994699,Senagapadu Major-I,Major
51,,,Senagapadu,13963,0.88,2.265,60,4.2972729475,0.0600028222,3.5,30,20,6.3002963275,4.2001975517,10.5004938792,Senagapadu Major-II,Major
52,,Kri-D-49-Vatsavai,Thotacherala,,,,,,,,,,,,,,
53,,Kri-D-49-Vatsavai,Munagacherla,1105,0.15,0.6,33.69,1.1408336474,0.0012606212,3.5,30,20,0.1323652239,0.0882434826,0.2206087066,Munagacherla-II,Minor
54,,,Munagacherla,1239,0.15,0.53,33.69,1.0708336474,0.0013267629,3.5,30,20,0.1393101034,0.0928734022,0.2321835056,Munagacherla-III,Minor
55,,Kri-D-49-Vatsavai,Nandigama,,,,,,,,,,,,,,
56,06-D-49-03,Kri-D-49-Penuganchiprolu,Muchintala,3200,1.5,6.6,45,10.8426406871,0.0346964502,3.5,120,20,14.5725090835,2.4287515139,17.0012605974,Munneru,Main
57,06-D-49-03,Kri-D-49-Penuganchiprolu,Anigandlapadu,8600,1.5,6.3,45,10.5426406871,0.0906667099,3.5,120,20,38.0800181619,6.3466696936,44.4266878555,Munneru,Main
58,06-D-49-03,Kri-D-49-Penuganchiprolu,Gummadiduru,3400,1.5,5.8,45,10.0426406871,0.0341449783,3.5,120,20,14.3408909012,2.3901484835,16.7310393847,Munneru,Main
59,06-D-49-03,Kri-D-49-Penuganchiprolu,Allurupadu,1000,1.5,8.1,45,12.3426406871,0.0123426407,3.5,120,20,5.1839090886,0.8639848481,6.0478939367,Munneru,Main
60,06-D-49-03,Kri-D-49-Penuganchiprolu,Vemavaram,1600,1.5,8.1,45,12.3426406871,0.0197482251,3.5,120,20,8.2942545417,1.382375757,9.6766302987,Munneru,Main
61,,Kri-D-49-Penuganchiprolu,Khambhampadu,1920,1.5,6.6,45,10.8426406871,0.0208178701,3.5,120,20,8.7435054501,1.4572509083,10.2007563584,Munneru,Main
62,,Kri-D-49-Penuganchiprolu,Rebbavaram,2280,1.5,6.6,45,10.8426406871,0.0247212208,3.5,120,20,10.382912722,1.7304854537,12.1133981756,Munneru,Main
63,,Kri-D-49-Penuganchiprolu,Polampalli,4800,1.5,8.1,45,12.3426406871,0.0592446753,3.5,120,20,24.8827636252,4.1471272709,29.0298908961,Munneru,Main
64,,Kri-D-49-Penuganchiprolu,Dabbakupalli,,,,45,0,0,3.5,0,0,0,0,0,,
65,,Kri-D-49-Penuganchiprolu,Pochavaram,1700,1.5,8.1,45,12.3426406871,0.0209824892,3.5,120,20,8.8126454506,1.4687742418,10.2814196924,Munneru,Main
66,,Kri-D-49-Penuganchiprolu,Vatsavai,3900,1.5,8.1,45,12.3426406871,0.0481362987,3.5,120,20,20.2172454455,3.3695409076,23.5867863531,Munneru,Main
67,,Kri-D-49-Penuganchiprolu,Gangavalli,1000,1.5,8.1,45,12.3426406871,0.0123426407,3.5,120,20,5.1839090886,0.8639848481,6.0478939367,Munneru,Main
68,,Kri-D-49-Penuganchiprolu,Lingala,3000,1.5,8.1,45,12.3426406871,0.0370279221,3.5,120,20,15.5517272658,2.5919545443,18.1436818101,Munneru,Main
69,,Kri-D-49-Penuganchiprolu,Magallu,1620,1.5,3.35,60,6.8141016151,0.0110388446,3.5,120,20,4.6363147389,0.7727191232,5.4090338621,Munneru,Main
70,,Kri-D-49-Penuganchiprolu,Pallagiri,3350,1.5,1.8,60,5.2641016151,0.0176347404,3.5,120,20,7.4065909725,1.2344318287,8.6410228012,Munneru,Main
71,,Kri-D-49-Penuganchiprolu,Satyavaram,,,,60,0,0,3.5,0,0,0,0,0,,
72,,Kri-D-49-Penuganchiprolu,Ramireddipalli,2000,1.5,5.8,45,10.0426406871,0.0200852814,3.5,120,20,8.4358181772,1.4059696962,9.8417878734,Munneru,Main
73,,Kri-D-49-Penuganchiprolu,Konduru,800,1.5,3.7,45,7.9426406871,0.0063541125,3.5,120,20,2.6687272709,0.4447878785,3.1135151494,Munneru,Main
74,06-D-49-04,Kri-D-49-Nandigama,Takkellapadu,682,0.3,0.9,33.69,1.9816672948,0.0013514971,3.5,120,20,0.5676287799,0.0946047967,0.6622335766,Takkellapadu minor,Minor
75,06-D-49-04,Kri-D-49-Nandigama,Lingalapadu,905,0.4,1.14,33.69,2.5822230598,0.0023369119,3.5,120,20,0.981502985,0.1635838308,1.1450868159,Lingalapadu minor,Minor
76,,,Lingalapadu,1844,0.38,0.9,33.69,2.2701119068,0.0041860864,3.5,120,20,1.7581562696,0.2930260449,2.0511823145,Lingalapadu minor-II,Minor
77,06-D-49-04,Kri-D-49-Nandigama,Latchapalem,,,,33.69,0,0,3.5,,,0,0,0,,
78,06-D-49-04,Kri-D-49-Nandigama,Adaviravulapadu,1407,0.15,0.6,33.69,1.1408336474,0.0016051529,3.5,120,20,0.6741642356,0.1123607059,0.7865249415,Adiviravulapadu minor,Minor
79,06-D-49-04,Kri-D-49-Nandigama,K.Kandrika,,,,33.69,0,0,3.5,,,0,0,0,,
