GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
Kri-D-49-Vissannapeta,KRI-D-49-VISSANNAPETA-MB,A.Konduru,A.Konduru
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Adavinekkalam,Adivinekkalam
Kri-D-49-Nandigama,KRI-D-49-NANDIGAMA-MB,Adaviravulapadu,Adiviravulapadu
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Agiripalli,Agiripalle-1
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Ajjempudi,Ajjampudi
Kri-D-49-Peddavaram,KRI-D-49-PEDDAVARAM-MB,Akkapalem,Akkapalem
Kri-I-40-Musunuru,KRI-I-40-MUSUNURU-MB,Akkireddigudem,Akkireddigudem
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Allapuram,Allapuram
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Alluru,Alluru-1
Kri-D-49-Penuganchiprolu,KRI-D-49-PENUGANCHIPROLU-MB,Allurupadu,Allurupadu
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Ambapuram,Ambapuram-4
Kri-D-49-Nandigama,KRI-D-49-NANDIGAMA-MB,Ambarupeta,Ambarupeta
Kri-I-42-Bapulapadu,KRI-I-42-BAPULAPADU-MB,Ampapuram,Ampapuram
Kri-I-42-Bapulapadu,KRI-I-42-BAPULAPADU-MB,Anathasagaram,Ananthasagaram-2
Kri-D-49-Penuganchiprolu,KRI-D-49-PENUGANCHIPROLU-MB,Anigandlapadu,Anigandlapadu
Kri-D-49-Tiruvuru,KRI-D-49-TIRUVURU-MB,Anjaneyapuram,Anjaneyapuram-1
Kri-D-48-Budawada,KRI-D-48-BUDAWADA-MB,Annavaram,Annavaram-2
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,Annavaram,Annavaram-2
Kri-I-42-Reddigudem,KRI-I-42-REDDIGUDEM-MB,Anneraopeta,Anneraopeta
Kri-D-48-Jaggaiahpeta,KRI-D-48-JAGGAYYAPETA-MB,Anumanchipalli,Anumanchipalle
Kri-D-49-Gampalagudem,KRI-D-49-GAMPALAGUDEM-MB,Anumullanka,Anumollanka
Kri-D-49-Gampalagudem,KRI-D-49-GAMPALAGUDEM-MB,Arlapadu,Arlapadu-1
Kri-I-40-Chatrai,KRI-I-40-CHATRAI-MB,Arugolanupeta,Arugolanupeta
kri-I-42-Ganginenipalem,KRI-I-42-GANGINENIPALEM-MB,Atkuru,Atukuru
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Atkuru,Atkuru
Kri-D-49-Vissannapeta,KRI-D-49-VISSANNAPETA-MB,Atlapragada,Atlapragada
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,B.B.Gudem,Bahubalendrunigudem
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,B.Kandrika,Bommuluru Khandrika
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Baddanapalli,Boddanapalle
Kri-I-42-Chillaboinapalli,KRI-I-40-CHILLABOYINAPAL-MB,Balive,Balive
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Balliparru,Balliparru
Kri-D-48-Jaggaiahpeta,KRI-D-48-JAGGAYYAPETA-MB,Balusupadu,Balusupadu
Kri-I-42-Bapulapadu,KRI-I-42-BAPULAPADU-MB,Bandarugudem,Bandarugudem
Kri-D-49-Vatsavai,KRI-D-49-VATSAVAI-MB,Bandipalem,Bandipalem
Kri-I-42-Bapulapadu,KRI-I-42-BAPULAPADU-MB,Bapulapadu,Bapulapadu
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Bathinapadu,Bathinapadu
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Bathulavarigudem,Bathulavarigudem
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Bhavanipuram,Vijayawada (M)
Kri-D-49-Vatsavai,KRI-D-49-VATSAVAI-MB,Bhimavaram,Bhimavaram-2
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Bhimavarappadu,Bhimavarappadu-1
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,Billanapalli,Billanapalle
Kri-D-51-Chandarlapadu,KRI-D-51-CHANDARLAPADU-MB,Bobbillapadu,Bobbellapadu
Kri-D-49-Veerulapadu,KRI-D-49-VEERULAPADU-MB,Bodawada,Bodavada-1
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,Bommuluru,Bommuluru
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,Boravancha,Boravancha
Kri-D-51-Chandarlapadu,KRI-D-51-CHANDARLAPADU-MB,Brahma botlapalem,Brahmabotlapalem
Kri-D-48-Jaggaiahpeta,KRI-D-48-JAGGAYYAPETA-MB,Buchavaram,Buchavaram
Kri-D-48-Budawada,KRI-D-48-BUDAWADA-MB,Budawada,Budawada-1
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Buddavaram,Buddavaram
Kri-I-40-Chatrai,KRI-I-40-CHATRAI-MB,Buruggudem,Burugugudem
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Buthumillipadu,Buthumillipadu
kri-I-42-Ganginenipalem,KRI-I-42-GANGINENIPALEM-MB,Ch.Madhavaram,Cheruvu Madhavaram
Kri-D-49-Nandigama,KRI-D-49-NANDIGAMA-MB,Chandapuram,Chandapuram
Kri-D-51-Chandarlapadu,KRI-D-51-CHANDARLAPADU-MB,Chandarlapadu ,Chandarlapadu-1
Kri-I-42-Reddigudem,KRI-I-42-REDDIGUDEM-MB,Chandrala,Chandrala-1
Kri-I-42-Mylavaram,KRI-I-42-MYLAVARAM-MB,Chandrugudem,Chandragudem
Kri-D-49-Vissannapeta,KRI-D-49-VISSANNAPETA-MB,Chandrupatla,Chandrupatla
Kri-D-49-Vissannapeta,KRI-D-49-VISSANNAPETA-MB,Chanubanda,Chanubanda
Kri-I-40-Chatrai,KRI-I-40-CHATRAI-MB,Chatrai,Chatrai-1
Kri-D-49-Veerulapadu,KRI-D-49-VEERULAPADU-MB,Chattannavaram,Chattannavaram
Kri-I-42-Reddigudem,KRI-I-42-REDDIGUDEM-MB,Cheemalapadu,Cheemalapadu-2
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Chegireddipadu,Chegireddipadu
Kri-I-40-Musunuru,KRI-I-40-MUSUNURU-MB,Chekkapalli,Chakkapalle
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Chennaraopalem,Chennaraopalem
Kri-D-49-Gampalagudem,KRI-D-49-GAMPALAGUDEM-MB,Chennavaram,Chennavaram-1
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Chevitikallu,Chevitikallu
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Chevuturu,Chevuturu
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Chikkavaram,Chikkavaram
Kri-I-42-Chillaboinapalli,KRI-I-40-CHILLABOYINAPAL-MB,Chillaboinapalli,Chillaboyinapalle
Kri-D-48-Jaggaiahpeta,KRI-D-48-JAGGAYYAPETA-MB,Chillakallu,Chillakallu
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Chilukuru,Chilukuru
Kri-D-49-Vatsavai,KRI-D-49-VATSAVAI-MB,Chinmodupalli,China Modugapalle
Kri-I-40-Chatrai,KRI-I-40-CHATRAI-MB,Chinnampeta,Chinnampet
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Chinnaoutapalli,China Avutapalle
Kri-D-49-Nandigama,KRI-D-49-NANDIGAMA-MB,Chintalapadu,Chilakalapudi (Rural)
Kri-D-49-Peddavaram,KRI-D-49-PEDDAVARAM-MB,Chintalapadu,Chilakalapudi (Rural)
Kri-I-40-Musunuru,KRI-I-40-MUSUNURU-MB,Chintalavalli,Chintalavalli
Kri-I-40-Chatrai,KRI-I-40-CHATRAI-MB,Chittapur,Chittapur
Kri-D-49-Tiruvuru,KRI-D-49-TIRUVURU-MB,Chittela,Chittela
Kri-D-49-Vatsavai,KRI-D-49-VATSAVAI-MB,Chityala,Chittela-1
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Chopparametla,Chopparametla
Kri-D-49-Veerulapadu,KRI-D-49-VEERULAPADU-MB,Choutapalli,Chavatapalle
Kri-D-49-Penuganchiprolu,KRI-D-49-PENUGANCHIPROLU-MB,Dabbakupalli,Dabbakupalle
Kri-D-49-Veerulapadu,KRI-D-49-VEERULAPADU-MB,Dachavaram,Dachavaram
Kri-D-48-Jaggaiahpeta,KRI-D-48-JAGGAYYAPETA-MB,Dachupalem,Dechupalem
Kri-D-49-Veerulapadu,KRI-D-49-VEERULAPADU-MB,Damuluru,Damuluru
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Damuluru,Damuluru
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Dane Atkuru,Done Atkuru
Kri-I-42-Mylavaram,KRI-I-42-MYLAVARAM-MB,Dasullapalem,Dasullapalem
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,Devaragunta,Devaragunta
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,Digavalli,Digavalli
Kri-D-49-Jayanthi,KRI-D-49-JAYANTHI-MB,Dodda Devarapadu,Dodda Devarapadu
kri-I-42-Ganginenipalem,KRI-I-42-GANGINENIPALEM-MB,Duggiralapadu,Duggiralapadu
Kri-D-49-Utukuru,KRI-D-49-UTUKURU-MB,Dundiralapadu,Dundiralapadu
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Eadara,Edara
Kri-I-42-Bapulapadu,KRI-I-42-BAPULAPADU-MB,Eadulagudem,Edulagudem
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Eanamadala,Enamadala-2
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Enikepadu,Enikepadu
Kri-D-49-Peddavaram,KRI-D-49-PEDDAVARAM-MB,Erramadu,Erramadu
Kri-D-49-Nandigama,KRI-D-49-NANDIGAMA-MB,Eturu,Eturu-2
kri-I-42-Ganginenipalem,KRI-I-42-GANGINENIPALEM-MB,G.Konduru,Bhimavarappadu-1
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,G.Madhavaram,Gudem  Madhavaram
kri-I-42-Ganginenipalem,KRI-I-42-GANGINENIPALEM-MB,Gaddamanugu,Gaddamanugu
Kri-D-49-Gampalagudem,KRI-D-49-GAMPALAGUDEM-MB,Gampalagudem,Gampalagudem-1
Kri-I-42-Reddigudem,KRI-I-42-REDDIGUDEM-MB,Ganapavaram,Ganapavaram-7
Kri-D-49-Nandigama,KRI-D-49-NANDIGAMA-MB,Gandepalli,Gandepalle-1
Kri-D-48-Jaggaiahpeta,KRI-D-48-JAGGAYYAPETA-MB,Gandrai,Gandrai
Kri-D-49-Penuganchiprolu,KRI-D-49-PENUGANCHIPROLU-MB,Gangavalli,Gangavalli
kri-I-42-Ganginenipalem,KRI-I-42-GANGINENIPALEM-MB,Ganginenipalem,Ganginenipalem
Kri-I-42-Agiripalli,KRI-I-42-AGIRIPALLI-MB,Gannavaram,Gannavaram-3
Kri-D-49-Vissannapeta,KRI-D-49-VISSANNAPETA-MB,Ganugapadu,Ganugapadu
Kri-D-48-Jaggaiahpeta,KRI-D-48-JAGGAYYAPETA-MB,Garikapadu,Garikapadu-1
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Ghani Atkur,Ganiatukuru
Kri-D-49-Veerulapadu,KRI-D-49-VEERULAPADU-MB,Gokharajupalli,Gokarajupalle
Kri-D-49-Vissannapeta,KRI-D-49-VISSANNAPETA-MB,Gollamandala,Gollamandala
Kri-D-49-Veerulapadu,KRI-D-49-VEERULAPADU-MB,Gollamudi,Gollamudi
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Gollanapalli,Gollanapalle
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,Gollapalli,Gollapalle-16
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Gollapudi,Gollapudi
Kri-I-40-Musunuru,KRI-I-40-MUSUNURU-MB,Gopavaram,Gopavaram-6
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Gopavarapugudem,Gopavarapugudem
