sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
1,06-D-48-13,Kri-D-48-Budawada,Annavaram,0,0,0,0,,
2,06-D-48-13,Kri-D-48-Budawada,Budawada,0,0,0,0,,
3,06-D-48-13,Kri-D-48-Budawada,K.Agraharam,0,0,1,5,,
4,06-D-48-13,Kri-D-48-Budawada,Mukteswarapuram,0,0,0,0,,
5,06-D-48-02,Kri-D-48-Jaggaiahpeta,Buchavaram,1,13,0,0,,
6,06-D-48-02,Kri-D-48-Jaggaiahpeta,Gandrai,1,68,0,0,,
7,06-D-48-02,Kri-D-48-Jaggaiahpeta,Takkellapadu,0,0,0,0,,
8,06-D-48-02,Kri-D-48-Jaggaiahpeta,Garikapadu,0,0,0,0,,
9,06-D-48-02,Kri-D-48-Jaggaiahpeta,R.C.Peta,0,0,0,0,,
10,06-D-48-02,Kri-D-48-Jaggaiahpeta,Anumanchipalli,1,69,0,0,,
11,06-D-48-02,Kri-D-48-Jaggaiahpeta,Balusupadu,0,0,0,0,,
12,06-D-48-02,Kri-D-48-Jaggaiahpeta,S.M.peta,1,61,0,0,,
13,06-D-48-02,Kri-D-48-Jaggaiahpeta,Tirumalagiri,0,0,0,0,,
14,06-D-48-02,Kri-D-48-Jaggaiahpeta,Chillakallu,1,24,0,0,,
15,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jaggaiahpeta,1,171,0,0,,
16,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jayanthipuram,0,0,0,0,,
17,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravirala,0,0,0,0,,
18,06-D-48-02,Kri-D-48-Jaggaiahpeta,Torraguntapalem,0,0,0,0,,
19,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravikampadu,0,0,0,0,,
20,06-D-48-03,Kri-D-48-Jaggaiahpeta,Tripuravaram,0,0,0,0,,
21,06-D-48-02,Kri-D-48-Jaggaiahpeta,Dachupalem,2,9,0,0,,
22,06-D-48-02,Kri-D-48-Jaggaiahpeta,Mangollu,2,8,0,0,,
23,06-D-48-02,Kri-D-48-Jaggaiahpeta,V.B.Palem,0,0,0,0,,
24,06-D-49-01,Kri-D-49-Vatsavai,Indugupalli,1,26.6,0,0,,
25,06-D-49-01,Kri-D-49-Vatsavai,Pedamodupalli,0,0,0,0,,
26,06-D-49-01,Kri-D-49-Vatsavai,Chinmodupalli,0,0,0,0,,
27,06-D-49-01,Kri-D-49-Vatsavai,Kanneveedu,1,14.2,0,0,,
28,06-D-49-01,Kri-D-49-Vatsavai,Gopinenipalem,0,0,0,0,,
29,06-D-49-01,Kri-D-49-Vatsavai,Chityala,1,11,0,0,,
30,06-D-49-01,Kri-D-49-Vatsavai,Makkapeta,4,18,0,0,,
31,06-D-49-01,Kri-D-49-Vatsavai,Bhimavaram,2,14.7,0,0,,
32,06-D-49-01,Kri-D-49-Vatsavai,Hassanbada,0,0,0,0,,
33,06-D-49-01,Kri-D-49-Vatsavai,Malkapuram,1,23,0,0,,
34,06-D-49-01,Kri-D-49-Vatsavai,Gowravaram,1,35.6,0,0,,
35,06-D-49-01,Kri-D-49-Vatsavai,Pochampalli,1,32.3,0,0,,
36,06-D-49-01,Kri-D-49-Vatsavai,Bandipalem,0,0,0,0,,
37,06-D-49-01,Kri-D-49-Vatsavai,Penuganchiprolu,1,111.26,0,0,,
