Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,
1,06-D-48-13,Kri-D-48-Budawada,01984600,Annavaram,1757,0,1757,96635,,
2,06-D-48-13,Kri-D-48-Budawada,01984700,Budawada,4805,0,4805,264275,,
3,06-D-48-13,Kri-D-48-Budawada,01985400,K.Agraharam,0,2759,2759,151745,,
4,06-D-48-13,Kri-D-48-Budawada,01985500,Mukteswarapuram,0,2742,2742,150810,,
5,06-D-48-02,Kri-D-48-Jaggaiahpeta,01983800,Buchavaram,836,0,836,45980,,
6,06-D-48-02,Kri-D-48-Jaggaiahpeta,01983700,Gandrai,5734,0,5734,315370,,
7,06-D-48-02,Kri-D-48-Jaggaiahpeta,01983500,Takkellapadu,1852,0,1852,101860,,
8,06-D-48-02,Kri-D-48-Jaggaiahpeta,01984400,Garikapadu,332,0,332,18260,,
9,06-D-48-02,Kri-D-48-Jaggaiahpeta,01983600,R.C.Peta,764,0,764,42020,,
10,06-D-48-02,Kri-D-48-Jaggaiahpeta,01984300,Anumanchipalli,3583,0,3583,197065,,
11,06-D-48-02,Kri-D-48-Jaggaiahpeta,01984500,Balusupadu,2205,0,2205,121275,,
12,06-D-48-02,Kri-D-48-Jaggaiahpeta,01984200,S.M.peta,5996,0,5996,329780,,
13,06-D-48-02,Kri-D-48-Jaggaiahpeta,01984000,Tirumalagiri,1478,0,1478,81290,,
14,06-D-48-02,Kri-D-48-Jaggaiahpeta,01985000,Chillakallu,11734,0,11734,645370,,
15,06-D-48-02,Kri-D-48-Jaggaiahpeta,41601000,Jaggaiahpeta,40373,0,40373,2220515,,
16,06-D-48-02,Kri-D-48-Jaggaiahpeta,01985300,Jayanthipuram,2348,0,2348,129140,,
17,06-D-48-02,Kri-D-48-Jaggaiahpeta,01985600,Ravirala,3295,0,3295,181225,,
18,06-D-48-02,Kri-D-48-Jaggaiahpeta,01984900,Torraguntapalem,2227,0,2227,122485,,
19,06-D-48-02,Kri-D-48-Jaggaiahpeta,01984100,Ravikampadu,16,0,16,880,,
20,06-D-48-03,Kri-D-48-Jaggaiahpeta,01984800,Tripuravaram,128,0,128,7040,,
21,06-D-48-02,Kri-D-48-Jaggaiahpeta,01982000,Dachupalem,1125,0,1125,61875,,
22,06-D-48-02,Kri-D-48-Jaggaiahpeta,01981800,Mangollu,4392,0,4392,241560,,
23,06-D-48-02,Kri-D-48-Jaggaiahpeta,01982100,V.B.Palem,0,0,0,0,,
24,06-D-49-01,Kri-D-49-Vatsavai,01981500,Indugupalli,2311,0,2311,127105,,
25,06-D-49-01,Kri-D-49-Vatsavai,01981600,Pedamodupalli,1150,0,1150,63250,,
26,06-D-49-01,Kri-D-49-Vatsavai,01981700,Chinmodupalli,978,0,978,53790,,
27,06-D-49-01,Kri-D-49-Vatsavai,01981400,Kanneveedu,2182,0,2182,120010,,
28,06-D-49-01,Kri-D-49-Vatsavai,01981800,Gopinenipalem,2752,0,2752,151360,,
29,06-D-49-01,Kri-D-49-Vatsavai,01982500,Chityala,3175,0,3175,174625,,
30,06-D-49-01,Kri-D-49-Vatsavai,01982300,Makkapeta,4306,0,4306,236830,,
31,06-D-49-01,Kri-D-49-Vatsavai,01982200,Bhimavaram,5543,0,5543,304865,,
32,06-D-49-01,Kri-D-49-Vatsavai,01982400,Hassanbada,0,0,0,0,,
33,06-D-49-01,Kri-D-49-Vatsavai,01983900,Malkapuram,2798,0,2798,153890,,
34,06-D-49-01,Kri-D-49-Vatsavai,01985100,Gowravaram,4781,0,4781,262955,,
35,06-D-49-01,Kri-D-49-Vatsavai,01985200,Pochampalli,3798,0,3798,208890,,
36,06-D-49-01,Kri-D-49-Vatsavai,01985800,Bandipalem,4568,0,4568,251240,,
37,06-D-49-01,Kri-D-49-Vatsavai,01986000,Penuganchiprolu,14374,0,14374,790570,,
38,06-D-49-01,Kri-D-49-Vatsavai,01985900,Lingagudem,1847,0,1847,101585,,
39,06-D-49-01,Kri-D-49-Vatsavai,01986500,Kollikulla,1392,0,1392,76560,,
40,06-D-49-01,Kri-D-49-Vatsavai,01986000,Subbayagudem,1713,0,1713,94215,,
41,06-D-49-01,Kri-D-49-Vatsavai,01986600,Mundlapadu,3254,0,3254,178970,,
42,06-D-49-01,Kri-D-49-Vatsavai,01986800,Konakanchi,3372,0,3372,185460,,
43,06-D-49-01,Kri-D-49-Vatsavai,01986900,Nawabpeta,4826,0,4826,265430,,
44,06-D-49-01,Kri-D-49-Vatsavai,01986400,Venkatapuram,1318,0,1318,72490,,
45,06-D-49-01,Kri-D-49-Vatsavai,01987100,Senagapadu,3916,0,3916,215380,,
46,06-D-49-01,Kri-D-49-Vatsavai,01987000,Thotacherala,2028,0,2028,111540,,
47,06-D-49-01,Kri-D-49-Vatsavai,01987400,Munagacherla,1296,0,1296,71280,,
48,06-D-49-01,Kri-D-49-Vatsavai,01988400,Nandigama,44359,0,44359,2439745,,
49,06-D-49-03,Kri-D-49-Penuganchiprolu,01986100,Muchintala,1662,0,1662,91410,,
50,06-D-49-03,Kri-D-49-Penuganchiprolu,01986200,Anigandlapadu,1907,0,1907,104885,,
51,06-D-49-03,Kri-D-49-Penuganchiprolu,01986300,Gummadiduru,295,0,295,16225,,
52,06-D-49-03,Kri-D-49-Penuganchiprolu,01982700,Allurupadu,1916,0,1916,105380,,
53,06-D-49-03,Kri-D-49-Penuganchiprolu,01982600,Vemavaram,0,0,0,0,,
